时间,振次,轴位移,力,变形,围压,孔压,反压
0.0,0.0,133.7,21.5,-6.046,299,242,222
0.2,0.02,133.7,21.52,-6.044,300,242,223
0.4,0.04,133.6,21.64,-6.042999999999999,300,242,223
0.61,0.06,133.7,22.22,-6.0360000000000005,300,242,223
0.81,0.08,133.7,23.07,-6.037000000000001,300,242,223
1.01,0.1,133.8,25.06,-5.992999999999999,300,241,222
1.21,0.12,133.8,26.19,-5.959,300,241,222
1.41,0.14,133.8,27.1,-5.939,300,241,221
1.62,0.16,133.9,29.13,-5.901,301,240,221
1.82,0.18,133.8,29.88,-5.877999999999999,301,240,220
2.02,0.2,133.9,30.54,-5.857,301,239,220
2.22,0.22,134.0,31.63,-5.822,301,238,219
2.42,0.24,134.1,31.98,-5.796,302,237,219
2.63,0.26,134.0,32.21,-5.77,301,237,218
2.83,0.28,134.0,32.43,-5.7589999999999995,301,237,218
3.03,0.3,134.1,32.48,-5.724,301,236,218
3.23,0.32,134.2,32.45,-5.718999999999999,301,236,217
3.43,0.34,134.1,32.27,-5.705,301,236,217
3.64,0.36,134.1,31.82,-5.683,301,236,217
3.84,0.38,134.2,31.67,-5.683,300,236,217
4.04,0.4,134.2,31.35,-5.681,301,236,217
4.24,0.42,134.2,31.24,-5.678999999999999,300,236,217
4.44,0.44,134.2,29.69,-5.681,300,236,217
4.65,0.46,134.2,28.71,-5.684,300,236,217
4.85,0.48,134.2,27.94,-5.707000000000001,300,236,217
5.05,0.5,134.1,25.33,-5.728,299,236,217
5.25,0.52,134.1,24.19,-5.747000000000001,299,236,217
5.45,0.54,134.1,22.97,-5.763999999999999,299,236,217
5.66,0.56,134.1,21.68,-5.789,299,237,218
5.86,0.58,134.1,19.45,-5.84,299,237,218
6.06,0.6,134.0,18.34,-5.865,298,237,218
6.26,0.62,134.0,17.45,-5.893,299,238,219
6.46,0.64,134.0,15.5,-5.9510000000000005,298,239,220
6.67,0.66,133.8,14.8,-5.984,298,239,220
6.87,0.68,133.9,13.88,-6.018,297,240,221
7.07,0.7,133.8,12.42,-6.082999999999999,297,242,222
7.27,0.72,133.8,11.98,-6.115,297,242,223
7.47,0.74,133.7,11.47,-6.14,297,242,223
7.68,0.76,133.7,11.08,-6.166,298,243,224
