,时间,振次,轴位移,力,变形,围压,孔压,反压
0,0.0,0.0,101.4,21.23,-7.011,300,239,219
1,0.2,0.02,101.4,21.19,-7.023,300,238,219
2,0.4,0.04,101.3,21.25,-7.023,300,239,219
3,0.61,0.06,101.4,21.49,-7.02,300,239,219
4,0.81,0.08,101.3,22.31,-7.024,300,238,219
5,1.01,0.1,101.4,22.67,-7.017,300,239,219
6,1.21,0.12,101.4,23.19,-7.029,300,238,219
7,1.41,0.14,101.4,23.49,-7.013999999999999,301,238,219
8,1.62,0.16,101.6,24.01,-7.024,300,238,218
9,1.82,0.18,101.6,24.11,-7.002999999999999,301,238,218
10,2.02,0.2,101.7,24.21,-6.968,301,238,218
11,2.22,0.22,101.9,24.51,-6.9,301,237,218
12,2.42,0.24,102.0,24.64,-6.854,301,237,218
13,2.63,0.26,102.1,24.86,-6.827000000000001,301,237,218
14,2.83,0.28,102.2,24.97,-6.776,301,237,218
15,3.03,0.3,102.5,25.32,-6.6770000000000005,301,237,217
16,3.23,0.32,102.7,25.37,-6.642,301,237,217
17,3.43,0.34,102.7,25.42,-6.587000000000001,301,237,217
18,3.64,0.36,103.0,25.53,-6.51,301,236,217
19,3.84,0.38,103.0,25.48,-6.482,301,236,217
20,4.04,0.4,103.1,25.44,-6.446000000000001,301,236,217
21,4.24,0.42,103.2,25.24,-6.405,301,237,217
22,4.44,0.44,103.1,25.04,-6.397,300,236,217
23,4.65,0.46,103.2,24.66,-6.391,300,237,217
24,4.85,0.48,103.2,24.5,-6.385,301,236,217
25,5.05,0.5,103.3,24.17,-6.376,301,237,217
26,5.25,0.52,103.2,23.86,-6.381,300,236,217
27,5.45,0.54,103.2,23.79,-6.379,300,236,217
28,5.66,0.56,103.2,22.84,-6.369,301,237,217
29,5.86,0.58,103.2,22.25,-6.372000000000001,300,237,217
30,6.06,0.6,103.2,21.59,-6.38,300,237,218
31,6.26,0.62,103.2,20.87,-6.397,300,237,217
32,6.46,0.64,103.1,19.54,-6.4079999999999995,300,237,217
33,6.67,0.66,103.1,18.91,-6.417999999999999,300,237,217
34,6.87,0.68,103.1,18.34,-6.4270000000000005,300,237,217
35,7.07,0.7,103.1,17.35,-6.439,300,236,217
36,7.27,0.72,103.1,16.92,-6.447,300,237,217
37,7.47,0.74,103.1,16.67,-6.456,300,237,217
38,7.68,0.76,103.1,16.29,-6.456,299,237,218
39,7.88,0.78,103.0,15.91,-6.457000000000001,300,237,218
40,8.08,0.8,103.1,15.82,-6.4670000000000005,299,237,218
41,8.28,0.82,103.0,15.67,-6.48,299,237,218
42,8.48,0.84,103.0,15.69,-6.478,299,237,218
43,8.69,0.86,103.0,15.64,-6.48,299,237,218
44,8.89,0.88,103.0,15.68,-6.483,299,237,219
45,9.09,0.9,103.1,15.74,-6.478,299,237,218
46,9.29,0.92,103.0,15.82,-6.483,299,237,218
47,9.49,0.94,103.0,16.2,-6.481,300,237,218
48,9.7,0.96,103.1,16.95,-6.474,300,237,218
49,9.9,0.99,103.0,18.01,-6.468999999999999,300,238,218
50,10.1,1.01,103.0,18.72,-6.462999999999999,300,238,218
51,10.3,1.03,103.0,19.5,-6.449,300,238,218
52,10.5,1.05,103.1,20.94,-6.422000000000001,299,237,218
53,10.71,1.07,103.3,21.77,-6.4079999999999995,299,238,219
54,10.91,1.09,103.2,22.39,-6.398,300,238,218
55,11.11,1.11,103.2,23.07,-6.395,299,238,219
56,11.31,1.13,103.2,24.11,-6.365,300,238,218
57,11.51,1.15,103.2,24.62,-6.337999999999999,299,238,219
58,11.72,1.17,103.2,24.92,-6.321000000000001,299,238,218
59,11.92,1.19,103.3,25.57,-6.28,300,237,217
60,12.12,1.21,103.5,25.7,-6.247999999999999,299,237,218
61,12.32,1.23,103.5,25.94,-6.207999999999999,300,237,218
62,12.52,1.25,103.6,26.12,-6.132999999999999,300,236,217
63,12.73,1.27,103.8,26.19,-6.103,300,236,217
64,12.93,1.29,103.8,26.33,-6.055,301,236,217
65,13.13,1.31,103.9,26.47,-6.021,301,236,217
66,13.33,1.33,103.9,26.5,-5.949,300,235,217
67,13.53,1.35,104.1,26.53,-5.901,301,236,217
68,13.74,1.37,104.1,26.52,-5.877999999999999,301,236,217
69,13.94,1.39,104.3,26.2,-5.821000000000001,300,236,216
70,14.14,1.41,104.3,26.03,-5.807,300,236,216
71,14.34,1.43,104.2,25.85,-5.803,300,236,217
72,14.54,1.45,104.3,25.61,-5.792999999999999,300,236,216
73,14.75,1.47,104.3,25.16,-5.784,300,236,217
74,14.95,1.49,104.2,24.93,-5.787000000000001,300,236,217
75,15.15,1.51,104.3,24.74,-5.781000000000001,300,236,217
76,15.35,1.53,104.3,24.07,-5.785,300,236,217
77,15.55,1.55,104.4,23.28,-5.779,300,236,216
78,15.76,1.57,104.2,22.67,-5.792999999999999,300,236,217
79,15.96,1.59,104.3,21.92,-5.809,300,236,217
80,16.16,1.61,104.2,20.41,-5.832999999999999,300,236,216
81,16.36,1.63,104.2,19.7,-5.845,300,237,217
82,16.56,1.65,104.2,18.95,-5.857,300,236,217
83,16.77,1.67,104.2,17.97,-5.876,299,236,217
84,16.97,1.69,104.2,17.47,-5.895,300,236,218
