时间,振次,轴位移,力,变形,围压,孔压,反压,N,d1,pp
0.0,0.0,133.7,21.5,-6.046,299,242,222,0.0,0.0,0
0.2,0.02,133.7,21.52,-6.044,300,242,223,0.02,0.0,0
0.4,0.04,133.6,21.64,-6.042999999999999,300,242,223,0.04,-0.09999999999999432,0
0.61,0.06,133.7,22.22,-6.0360000000000005,300,242,223,0.06,0.0,0
0.81,0.08,133.7,23.07,-6.037000000000001,300,242,223,0.08,0.0,0
1.01,0.1,133.8,25.06,-5.992999999999999,300,241,222,0.1,0.10000000000002274,-1
1.21,0.12,133.8,26.19,-5.959,300,241,222,0.12,0.10000000000002274,-1
1.41,0.14,133.8,27.1,-5.939,300,241,221,0.14,0.10000000000002274,-1
1.62,0.16,133.9,29.13,-5.901,301,240,221,0.16,0.20000000000001705,-2
1.82,0.18,133.8,29.88,-5.877999999999999,301,240,220,0.18,0.10000000000002274,-2
2.02,0.2,133.9,30.54,-5.857,301,239,220,0.2,0.20000000000001705,-3
2.22,0.22,134.0,31.63,-5.822,301,238,219,0.22,0.30000000000001137,-4
2.42,0.24,134.1,31.98,-5.796,302,237,219,0.24,0.4000000000000057,-5
2.63,0.26,134.0,32.21,-5.77,301,237,218,0.26,0.30000000000001137,-5
2.83,0.28,134.0,32.43,-5.7589999999999995,301,237,218,0.28,0.30000000000001137,-5
3.03,0.3,134.1,32.48,-5.724,301,236,218,0.3,0.4000000000000057,-6
3.23,0.32,134.2,32.45,-5.718999999999999,301,236,217,0.32,0.5,-6
3.43,0.34,134.1,32.27,-5.705,301,236,217,0.34,0.4000000000000057,-6
3.64,0.36,134.1,31.82,-5.683,301,236,217,0.36,0.4000000000000057,-6
3.84,0.38,134.2,31.67,-5.683,300,236,217,0.38,0.5,-6
4.04,0.4,134.2,31.35,-5.681,301,236,217,0.4,0.5,-6
4.24,0.42,134.2,31.24,-5.678999999999999,300,236,217,0.42,0.5,-6
4.44,0.44,134.2,29.69,-5.681,300,236,217,0.44,0.5,-6
4.65,0.46,134.2,28.71,-5.684,300,236,217,0.46,0.5,-6
4.85,0.48,134.2,27.94,-5.707000000000001,300,236,217,0.48,0.5,-6
5.05,0.5,134.1,25.33,-5.728,299,236,217,0.5,0.4000000000000057,-6
5.25,0.52,134.1,24.19,-5.747000000000001,299,236,217,0.52,0.4000000000000057,-6
5.45,0.54,134.1,22.97,-5.763999999999999,299,236,217,0.54,0.4000000000000057,-6
5.66,0.56,134.1,21.68,-5.789,299,237,218,0.56,0.4000000000000057,-5
5.86,0.58,134.1,19.45,-5.84,299,237,218,0.58,0.4000000000000057,-5
6.06,0.6,134.0,18.34,-5.865,298,237,218,0.6,0.30000000000001137,-5
6.26,0.62,134.0,17.45,-5.893,299,238,219,0.62,0.30000000000001137,-4
6.46,0.64,134.0,15.5,-5.9510000000000005,298,239,220,0.64,0.30000000000001137,-3
6.67,0.66,133.8,14.8,-5.984,298,239,220,0.66,0.10000000000002274,-3
6.87,0.68,133.9,13.88,-6.018,297,240,221,0.68,0.20000000000001705,-2
7.07,0.7,133.8,12.42,-6.082999999999999,297,242,222,0.7000000000000001,0.10000000000002274,0
7.27,0.72,133.8,11.98,-6.115,297,242,223,0.72,0.10000000000002274,0
7.47,0.74,133.7,11.47,-6.14,297,242,223,0.74,0.0,0
7.68,0.76,133.7,11.08,-6.166,298,243,224,0.76,0.0,1
7.88,0.78,133.6,10.67,-6.212999999999999,298,245,225,0.78,-0.09999999999999432,3
8.08,0.8,133.5,10.39,-6.235,297,245,225,0.8,-0.19999999999998863,3
8.28,0.82,133.6,10.35,-6.247999999999999,298,245,226,0.8200000000000001,-0.09999999999999432,3
8.48,0.84,133.5,10.27,-6.252999999999999,298,246,226,0.84,-0.19999999999998863,4
8.69,0.86,133.5,10.4,-6.256,298,246,226,0.86,-0.19999999999998863,4
8.89,0.88,133.6,10.39,-6.2589999999999995,298,246,226,0.88,-0.09999999999999432,4
9.09,0.9,133.5,10.53,-6.261,298,246,227,0.9,-0.19999999999998863,4
9.29,0.92,133.5,11.76,-6.233,299,247,227,0.92,-0.19999999999998863,5
9.49,0.94,133.6,12.51,-6.236000000000001,299,246,227,0.9400000000000001,-0.09999999999999432,4
9.7,0.96,133.5,13.13,-6.224,299,246,227,0.96,-0.19999999999998863,4
9.9,0.98,133.7,15.16,-6.152,299,247,227,0.98,0.0,5
10.1,1.01,133.7,16.17,-6.121,300,246,227,1.0,0.0,4
10.3,1.03,133.7,17.43,-6.08,299,246,226,1.02,0.0,4
10.5,1.05,133.9,20.29,-5.968999999999999,301,244,225,1.04,0.20000000000001705,2
10.71,1.07,133.9,21.79,-5.926,301,244,224,1.06,0.20000000000001705,2
10.91,1.09,134.0,23.22,-5.872000000000001,301,243,224,1.08,0.30000000000001137,1
11.11,1.11,134.0,24.67,-5.832000000000001,301,242,223,1.1,0.30000000000001137,0
