时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 163.4 	 21.51 	 304 	 3.892 	 39.5 	 300 	 247 	 228 	 6415 	-7.5 
 .2 	 .02 	 163.3 	 21.51 	 31 	 3.885 	 39.1 	 300 	 247 	 227 	 6413 	-7.3 
 .4 	 .04 	 163.4 	 21.87 	 32 	 3.895 	 39.8 	 300 	 247 	 228 	 6412 	-7.4 
 .61 	 .06 	 163.4 	 22.51 	 33 	 3.911 	 39.4 	 299 	 247 	 228 	 6412 	-7 
 .81 	 .08 	 163.4 	 23.62 	 36 	 3.941 	 39.8 	 300 	 247 	 228 	 6413 	-7.5 
 1.01 	 .1 	 163.4 	 25.94 	 38 	 4.052 	 39.7 	 301 	 245 	 227 	 6415 	-7.3 
 1.21 	 .12 	 163.6 	 27.32 	 41 	 4.11 	 39.4 	 301 	 245 	 226 	 6413 	-7 
 1.41 	 .14 	 163.6 	 28.66 	 43 	 4.17 	 39.9 	 301 	 244 	 225 	 6412 	-7.4 
 1.62 	 .16 	 163.6 	 30.9 	 44 	 4.294 	 39.2 	 302 	 242 	 224 	 6414 	-7.4 
 1.82 	 .18 	 163.7 	 31.8 	 46 	 4.36 	 39.8 	 302 	 242 	 223 	 6414 	-7.5 
 2.02 	 .2 	 163.8 	 32.61 	 47 	 4.416 	 38.9 	 302 	 241 	 222 	 6412 	-7 
 2.22 	 .22 	 163.8 	 33.32 	 48 	 4.472 	 39.7 	 302 	 240 	 221 	 6413 	-7 
 2.42 	 .24 	 164 	 34.24 	 49 	 4.593 	 38.5 	 301 	 239 	 220 	 6413 	-7.1 
 2.63 	 .26 	 164 	 34.62 	 49 	 4.668 	 39.7 	 301 	 238 	 219 	 6413 	-7.5 
 2.83 	 .28 	 164.1 	 34.84 	 49 	 4.714 	 38.8 	 302 	 237 	 218 	 6413 	-7.1 
 3.03 	 .3 	 164.1 	 34.94 	 49 	 4.83 	 39.4 	 302 	 236 	 217 	 6414 	-7 
