时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 130 	 21.39 	 303 	 21.041 	 38.6 	 299 	 244 	 224 	 6411 	-7.1 
 .2 	 .02 	 130.1 	 21.33 	 30 	 21.042 	 39.2 	 300 	 243 	 224 	 6412 	-7.1 
 .4 	 .04 	 130.1 	 21.63 	 31 	 21.042 	 38.6 	 300 	 243 	 224 	 6411 	-7.1 
 .61 	 .06 	 130 	 22.08 	 32 	 21.055 	 39.1 	 300 	 243 	 224 	 6412 	-7.3 
 .81 	 .08 	 130.1 	 22.89 	 34 	 21.075 	 39 	 300 	 244 	 224 	 6412 	-7.4 
 1.01 	 .1 	 130.1 	 23.65 	 35 	 21.094 	 38.5 	 300 	 243 	 224 	 6412 	-7.4 
 1.21 	 .12 	 130.1 	 25.64 	 37 	 21.15 	 39.4 	 300 	 243 	 224 	 6412 	-7.4 
 1.41 	 .14 	 130.2 	 26.51 	 39 	 21.183 	 38.6 	 300 	 243 	 223 	 6412 	-7.1 
 1.62 	 .16 	 130.3 	 27.36 	 40 	 21.207 	 39.4 	 300 	 242 	 223 	 6414 	-7 
 1.82 	 .18 	 130.2 	 28.84 	 41 	 21.241 	 38.5 	 300 	 242 	 223 	 6414 	-7.4 
 2.02 	 .2 	 130.2 	 29.25 	 42 	 21.264 	 39.4 	 300 	 242 	 222 	 6414 	-7.3 
 2.22 	 .22 	 130.3 	 29.67 	 42 	 21.285 	 38.7 	 301 	 242 	 223 	 6413 	-7.1 
 2.42 	 .24 	 130.3 	 30 	 43 	 21.313 	 39 	 301 	 241 	 222 	 6412 	-7.1 
 2.63 	 .26 	 130.3 	 30.46 	 43 	 21.353 	 38.7 	 301 	 241 	 222 	 6412 	-7.1 
 2.83 	 .28 	 130.3 	 30.64 	 44 	 21.368 	 38.7 	 301 	 241 	 222 	 6412 	-7.4 
 3.03 	 .3 	 130.3 	 30.64 	 44 	 21.384 	 39.4 	 301 	 241 	 222 	 6413 	-7.5 
 3.23 	 .32 	 130.3 	 30.68 	 43 	 21.404 	 38.3 	 301 	 240 	 221 	 6412 	-7 
 3.43 	 .34 	 130.3 	 30.53 	 43 	 21.41 	 39.5 	 301 	 240 	 221 	 6412 	-7.1 
 3.64 	 .36 	 130.4 	 30.43 	 43 	 21.4 	 38.3 	 301 	 240 	 221 	 6413 	-7.1 
 3.84 	 .38 	 130.4 	 30.18 	 42 	 21.419 	 39.4 	 301 	 240 	 221 	 6412 	-7.5 
 4.04 	 .4 	 130.3 	 30.01 	 42 	 21.418 	 38.6 	 301 	 240 	 221 	 6414 	-7.1 
 4.24 	 .42 	 130.3 	 29.78 	 41 	 21.414 	 38.9 	 300 	 240 	 221 	 6413 	-7.3 
 4.44 	 .44 	 130.4 	 29.49 	 39 	 21.421 	 38.9 	 301 	 240 	 221 	 6412 	-7.6 
 4.65 	 .46 	 130.3 	 27.47 	 38 	 21.405 	 38.5 	 300 	 240 	 221 	 6411 	-7.1 
 4.85 	 .48 	 130.3 	 26.69 	 37 	 21.392 	 39.3 	 300 	 240 	 221 	 6413 	-7 
 5.05 	 .5 	 130.3 	 25.79 	 34 	 21.369 	 38.5 	 300 	 240 	 221 	 6412 	-7.1 
 5.25 	 .52 	 130.3 	 23.72 	 33 	 21.317 	 39.3 	 300 	 240 	 221 	 6413 	-7.4 
 5.45 	 .54 	 130.3 	 22.7 	 31 	 21.3 	 38.5 	 300 	 240 	 221 	 6412 	-7.1 
