时间(S)	轴位移(mm)	力(kN)	力(kPa)	变形(mm)	 侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(kPa)	小体变(ml)
0.0	 98.4 	 12.78 	 181 	-7.001 	 0 	 301 	 279 	 257 	 6037 	-8.1 
 .5 	 98.5 	 12.74 	 .18 	-7.006 	 32 	 301 	 280 	 257 	 6037 	-8.5 
 1 	 98.5 	 12.79 	 .18 	-7.002 	 31 	 300 	 280 	 258 	 6037 	-8.1 
 1.5 	 98.5 	 12.74 	 .18 	-7.009 	 32 	 300 	 279 	 258 	 6039 	-8.4 
 2 	 98.4 	 12.91 	 .18 	-7.004 	 32 	 300 	 279 	 258 	 6037 	-8.3 
 2.5 	 98.4 	 12.87 	 .18 	-6.997 	 31 	 300 	 279 	 258 	 6039 	-8.3 
 3 	 98.4 	 13 	 .18 	-7.004 	 31 	 300 	 279 	 258 	 6037 	-8.1 
 3.5 	 98.5 	 12.97 	 .19 	-6.998 	 32 	 300 	 279 	 258 	 6039 	-8.3 
 4 	 98.4 	 13.04 	 .18 	-7.003 	 32 	 301 	 279 	 258 	 6038 	-8.1 
 4.5 	 98.4 	 12.99 	 .19 	-7.007 	 32 	 300 	 280 	 258 	 6038 	-8 
 5 	 98.4 	 13.04 	 .19 	-7.014 	 32 	 301 	 278 	 258 	 6038 	-7.8 
 5.5 	 98.5 	 13.09 	 .19 	-7.019 	 31 	 300 	 280 	 258 	 6038 	-8.1 
 6 	 98.4 	 13.18 	 .19 	-7.012 	 32 	 300 	 279 	 258 	 6037 	-8.3 
 6.5 	 98.5 	 13.14 	 .18 	-7.016 	 32 	 301 	 279 	 258 	 6037 	-8 
 7 	 98.4 	 13.18 	 .19 	-7.009 	 31 	 300 	 279 	 258 	 6038 	-8.3 
 7.5 	 98.4 	 13.21 	 .19 	-7.004 	 32 	 300 	 279 	 257 	 6037 	-8.3 
 8 	 98.4 	 13.14 	 .19 	-7.009 	 32 	 300 	 279 	 258 	 6038 	-8.3 
 8.5 	 98.4 	 13.17 	 .19 	-7.009 	 32 	 300 	 279 	 257 	 6038 	-8.6 
 9 	 98.5 	 13.18 	 .19 	-7.008 	 32 	 300 	 280 	 258 	 6037 	-8.1 
 9.5 	 98.4 	 13.12 	 .18 	-7.008 	 32 	 300 	 279 	 257 	 6037 	-8.5 
 10 	 98.4 	 13.17 	 .19 	-7.011 	 32 	 300 	 279 	 258 	 6040 	-8.1 
 10.5 	 98.4 	 13.13 	 .19 	-7 	 31 	 300 	 279 	 257 	 6037 	-8.4 
 11 	 98.4 	 13.21 	 .19 	-7.016 	 32 	 300 	 279 	 257 	 6038 	-8.1 
 11.5 	 98.5 	 13.1 	 .19 	-7.005 	 32 	 300 	 279 	 258 	 6037 	-8.1 
 12 	 98.4 	 13.21 	 .18 	-7.007 	 32 	 300 	 279 	 257 	 6040 	-8 
 12.5 	 98.4 	 13.17 	 .18 	-6.996 	 32 	 300 	 279 	 257 	 6037 	-8.1 
 13 	 98.4 	 13.13 	 .19 	-7.006 	 32 	 300 	 279 	 257 	 6038 	-8 
 13.5 	 98.5 	 13.2 	 .19 	-7.002 	 32 	 300 	 279 	 257 	 6038 	-8.5 
 14 	 98.5 	 13.11 	 .19 	-7.006 	 32 	 300 	 279 	 258 	 6039 	-8 
 14.5 	 98.4 	 13.04 	 .18 	-7.011 	 32 	 300 	 279 	 258 	 6037 	-8.1 
 15 	 98.5 	 13.06 	 .18 	-7.006 	 32 	 300 	 279 	 257 	 6038 	-8 
 15.5 	 98.4 	 13 	 .18 	-7.009 	 32 	 300 	 279 	 257 	 6038 	-8.1 
 16 	 98.5 	 12.89 	 .18 	-7.008 	 32 	 300 	 279 	 257 	 6037 	-8.3 
 16.5 	 98.4 	 12.74 	 .18 	-7.01 	 32 	 300 	 279 	 257 	 6038 	-8 
 17 	 98.4 	 12.63 	 .18 	-7.011 	 32 	 300 	 279 	 257 	 6039 	-8 
 17.5 	 98.5 	 12.45 	 .17 	-7.004 	 32 	 300 	 279 	 257 	 6040 	-8.3 
 18 	 98.3 	 12.35 	 .18 	-7.004 	 32 	 300 	 279 	 258 	 6039 	-8.3 
 18.5 	 98.6 	 12.15 	 .18 	-7.002 	 32 	 300 	 279 	 257 	 6040 	-8.3 
 19 	 98.4 	 12.11 	 .17 	-7.006 	 32 	 300 	 279 	 257 	 6036 	-8.3 
 19.5 	 98.4 	 11.97 	 .17 	-7.007 	 32 	 299 	 279 	 257 	 6037 	-8 
 20 	 98.4 	 11.87 	 .17 	-6.998 	 32 	 300 	 279 	 257 	 6037 	-8.5 
 20.5 	 98.3 	 11.81 	 .17 	-7.003 	 32 	 300 	 279 	 257 	 6039 	-8.3 
 21 	 98.6 	 11.68 	 .17 	-7.019 	 32 	 300 	 279 	 257 	 6036 	-8.1 
