时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 124.8 	 21.68 	 307 	 19.673 	 133 	 301 	 212 	 197 	 4679 	-8.1 
 .2 	 .02 	 124.8 	 21.69 	 30 	 19.668 	 132.5 	 301 	 212 	 197 	 4679 	-8.4 
 .4 	 .04 	 124.8 	 21.5 	 31 	 19.681 	 133.4 	 301 	 211 	 197 	 4680 	-8.4 
 .61 	 .06 	 124.8 	 21.78 	 31 	 19.673 	 132.9 	 300 	 212 	 198 	 4678 	-8.8 
 .81 	 .08 	 124.9 	 22.02 	 32 	 19.676 	 132.5 	 301 	 212 	 197 	 4679 	-8.1 
 1.01 	 .1 	 124.9 	 22.87 	 33 	 19.686 	 133.4 	 301 	 211 	 198 	 4679 	-8.4 
 1.21 	 .12 	 124.8 	 23.92 	 34 	 19.722 	 132.9 	 301 	 212 	 197 	 4678 	-8 
 1.41 	 .14 	 125 	 24.52 	 35 	 19.751 	 132.2 	 301 	 211 	 197 	 4679 	-8.5 
 1.62 	 .16 	 124.8 	 25.21 	 37 	 19.773 	 133.6 	 301 	 212 	 197 	 4678 	-8.3 
 1.82 	 .18 	 125 	 25.68 	 37 	 19.808 	 133.3 	 300 	 212 	 197 	 4677 	-7.9 
 2.02 	 .2 	 125 	 26.95 	 38 	 19.824 	 132.1 	 301 	 211 	 195 	 4677 	-8.6 
 2.22 	 .22 	 125 	 27.12 	 39 	 19.861 	 133.6 	 301 	 211 	 196 	 4676 	-8.5 
 2.42 	 .24 	 125 	 27.62 	 39 	 19.863 	 133.4 	 301 	 211 	 196 	 4678 	-8.5 
 2.63 	 .26 	 125 	 27.96 	 40 	 19.905 	 132.7 	 301 	 211 	 196 	 4678 	-8.3 
 2.83 	 .28 	 125 	 28.15 	 40 	 19.906 	 133.3 	 301 	 210 	 196 	 4679 	-8.3 
 3.03 	 .3 	 125.1 	 28.12 	 40 	 19.933 	 133.5 	 300 	 211 	 196 	 4678 	-8.4 
 3.23 	 .32 	 125.2 	 28.23 	 40 	 19.936 	 132.6 	 301 	 211 	 196 	 4678 	-8.5 
 3.43 	 .34 	 125 	 28.15 	 40 	 19.959 	 132.9 	 301 	 211 	 196 	 4678 	-8.1 
 3.64 	 .36 	 125 	 27.98 	 40 	 19.951 	 133.6 	 301 	 211 	 196 	 4680 	-8.6 
 3.84 	 .38 	 125.1 	 28.03 	 40 	 19.947 	 132.6 	 301 	 210 	 196 	 4678 	-8.3 
 4.04 	 .4 	 125 	 27.97 	 40 	 19.948 	 132.5 	 301 	 211 	 195 	 4676 	-8.4 
 4.24 	 .42 	 125.1 	 27.81 	 39 	 19.94 	 133.6 	 301 	 210 	 196 	 4677 	-8.3 
 4.44 	 .44 	 125.2 	 27.74 	 38 	 19.95 	 133.5 	 301 	 211 	 196 	 4678 	-8.6 
 4.65 	 .46 	 125 	 26.87 	 38 	 19.94 	 132.6 	 301 	 211 	 196 	 4677 	-8.3 
 4.85 	 .48 	 125.1 	 26.12 	 36 	 19.949 	 133.4 	 301 	 210 	 196 	 4674 	-8 
 5.05 	 .5 	 125.2 	 25.41 	 35 	 19.931 	 133.5 	 301 	 210 	 196 	 4679 	-7.9 
 5.25 	 .52 	 125.1 	 24.52 	 33 	 19.901 	 132.4 	 301 	 210 	 196 	 4678 	-8.6 
 5.45 	 .54 	 125.1 	 23.05 	 33 	 19.875 	 133.6 	 301 	 211 	 196 	 4677 	-8.4 
 5.66 	 .56 	 125 	 22.21 	 31 	 19.841 	 133.2 	 300 	 210 	 195 	 4678 	-8.1 
 5.86 	 .58 	 125 	 21.74 	 29 	 19.819 	 132.1 	 301 	 211 	 195 	 4678 	-8.4 
 6.06 	 .6 	 124.9 	 20.16 	 28 	 19.773 	 133.3 	 301 	 211 	 196 	 4677 	-8.4 
 6.26 	 .62 	 124.9 	 19.47 	 27 	 19.752 	 133.5 	 300 	 211 	 196 	 4679 	-8.1 
 6.46 	 .64 	 125 	 19.01 	 27 	 19.73 	 131.8 	 301 	 211 	 196 	 4678 	-8.3 
 6.67 	 .66 	 124.9 	 18.39 	 24 	 19.712 	 133 	 300 	 211 	 196 	 4680 	-8.8 
 6.87 	 .68 	 124.8 	 17.37 	 24 	 19.654 	 133.3 	 300 	 211 	 195 	 4678 	-8.5 
 7.07 	 .7 	 124.8 	 16.73 	 24 	 19.641 	 132.6 	 301 	 211 	 196 	 4678 	-8.5 
 7.27 	 .72 	 124.7 	 16.56 	 22 	 19.6 	 133.2 	 300 	 210 	 196 	 4678 	-8 
 7.47 	 .74 	 124.8 	 15.68 	 22 	 19.546 	 133.4 	 300 	 211 	 197 	 4681 	-8.8 
 7.68 	 .76 	 124.7 	 15.45 	 22 	 19.519 	 132.8 	 300 	 212 	 197 	 4682 	-8.6 
 7.88 	 .78 	 124.8 	 15.19 	 21 	 19.517 	 132.8 	 301 	 211 	 197 	 4679 	-8.4 
 8.08 	 .8 	 124.8 	 15.36 	 21 	 19.473 	 133.6 	 301 	 211 	 196 	 4681 	-8.6 
