时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 127 	 21.85 	 309 	 21.884 	 133.3 	 301 	 214 	 199 	 4679 	-8.4 
 .2 	 .02 	 126.9 	 21.97 	 31 	 21.886 	 132.9 	 301 	 213 	 199 	 4678 	-8.4 
 .4 	 .04 	 127 	 21.91 	 31 	 21.895 	 133 	 300 	 213 	 198 	 4678 	-8.5 
 .61 	 .06 	 126.9 	 22.11 	 33 	 21.917 	 133.5 	 301 	 214 	 199 	 4678 	-8.3 
 .81 	 .08 	 126.8 	 22.66 	 33 	 21.915 	 133.8 	 301 	 213 	 199 	 4680 	-7.5 
 1.01 	 .1 	 127 	 23.34 	 34 	 21.936 	 133.3 	 301 	 213 	 199 	 4677 	-8.4 
 1.21 	 .12 	 126.8 	 23.88 	 35 	 21.962 	 133 	 300 	 214 	 199 	 4679 	-8.6 
 1.41 	 .14 	 126.9 	 25.42 	 37 	 22.024 	 132.8 	 301 	 214 	 198 	 4681 	-8.4 
 1.62 	 .16 	 127 	 26.11 	 38 	 22.044 	 132.7 	 300 	 213 	 199 	 4680 	-8.4 
 1.82 	 .18 	 127.2 	 26.76 	 39 	 22.075 	 132.6 	 300 	 213 	 198 	 4680 	-8.3 
 2.02 	 .2 	 127.1 	 28.04 	 41 	 22.121 	 132.9 	 301 	 212 	 198 	 4677 	-8.3 
 2.22 	 .22 	 127.1 	 28.44 	 41 	 22.154 	 133.6 	 301 	 212 	 198 	 4681 	-8.4 
 2.42 	 .24 	 127.1 	 28.96 	 41 	 22.164 	 133.8 	 301 	 211 	 197 	 4678 	-8.1 
 2.63 	 .26 	 127.1 	 29.48 	 41 	 22.211 	 133.7 	 302 	 213 	 197 	 4681 	-8.6 
 2.83 	 .28 	 127.2 	 29.41 	 42 	 22.214 	 133.3 	 301 	 212 	 198 	 4677 	-9 
 3.03 	 .3 	 127.2 	 29.52 	 42 	 22.238 	 133 	 301 	 212 	 198 	 4676 	-8.9 
 3.23 	 .32 	 127.2 	 29.76 	 41 	 22.229 	 132.8 	 302 	 212 	 197 	 4676 	-8.6 
 3.43 	 .34 	 127.2 	 29.6 	 42 	 22.26 	 132.6 	 302 	 212 	 196 	 4678 	-8.1 
 3.64 	 .36 	 127.2 	 29.3 	 41 	 22.253 	 133 	 301 	 211 	 197 	 4678 	-8.5 
 3.84 	 .38 	 127.3 	 29.33 	 42 	 22.254 	 132.9 	 302 	 211 	 197 	 4680 	-8.4 
 4.04 	 .4 	 127.3 	 29.44 	 42 	 22.263 	 133.4 	 301 	 212 	 196 	 4679 	-8.5 
 4.24 	 .42 	 127.2 	 29.16 	 41 	 22.257 	 133.6 	 301 	 212 	 197 	 4680 	-8.9 
 4.44 	 .44 	 127.2 	 28.81 	 40 	 22.271 	 133.6 	 301 	 212 	 197 	 4680 	-8.6 
 4.65 	 .46 	 127.2 	 28.24 	 37 	 22.262 	 133.4 	 301 	 212 	 197 	 4676 	-8.1 
 4.85 	 .48 	 127.2 	 26.45 	 37 	 22.223 	 133.1 	 301 	 211 	 197 	 4677 	-8.3 
 5.05 	 .5 	 127.2 	 25.61 	 35 	 22.223 	 132.7 	 302 	 212 	 196 	 4676 	-8.1 
 5.25 	 .52 	 127.1 	 24.64 	 34 	 22.181 	 132.5 	 301 	 212 	 196 	 4677 	-8.3 
 5.45 	 .54 	 127.1 	 23.06 	 32 	 22.159 	 132.7 	 301 	 212 	 197 	 4677 	-8 
 5.66 	 .56 	 127.1 	 21.88 	 30 	 22.106 	 133.2 	 301 	 211 	 197 	 4679 	-8.5 
 5.86 	 .58 	 127 	 21.09 	 29 	 22.1 	 133.5 	 302 	 212 	 197 	 4678 	-8.1 
 6.06 	 .6 	 127.2 	 20.14 	 27 	 22.064 	 133.5 	 301 	 212 	 198 	 4676 	-8.3 
 6.26 	 .62 	 127.1 	 18.9 	 26 	 22.008 	 133.7 	 302 	 212 	 197 	 4677 	-8.6 
 6.46 	 .64 	 127 	 17.99 	 25 	 21.957 	 133.2 	 301 	 212 	 199 	 4679 	-7.9 
 6.67 	 .66 	 127 	 17.56 	 23 	 21.922 	 133 	 300 	 212 	 197 	 4681 	-8.9 
 6.87 	 .68 	 126.9 	 16.41 	 24 	 21.852 	 133.2 	 300 	 214 	 198 	 4678 	-8.5 
 7.07 	 .7 	 126.9 	 15.85 	 22 	 21.811 	 132.8 	 299 	 213 	 199 	 4682 	-8.5 
 7.27 	 .72 	 126.9 	 15.44 	 21 	 21.793 	 133 	 300 	 213 	 198 	 4676 	-7.9 
 7.47 	 .74 	 126.8 	 14.62 	 20 	 21.696 	 133.4 	 301 	 214 	 199 	 4680 	-8.6 
 7.68 	 .76 	 126.8 	 14.18 	 20 	 21.65 	 133.5 	 300 	 214 	 199 	 4677 	-8 
 7.88 	 .78 	 126.8 	 14 	 20 	 21.633 	 133.6 	 300 	 214 	 199 	 4679 	-8.5 
 8.08 	 .8 	 126.7 	 13.63 	 19 	 21.592 	 133.4 	 300 	 214 	 200 	 4678 	-8.6 
 8.28 	 .82 	 126.7 	 13.72 	 19 	 21.594 	 133 	 300 	 214 	 200 	 4680 	-8.8 
 8.48 	 .84 	 126.8 	 13.74 	 19 	 21.551 	 132.9 	 301 	 215 	 200 	 4679 	-8.6 
