

时间(S),轴位移(mm),力(kN),力(kPa),变形(mm), 侧位移(mm),围压(kPa),孔压(kPa),反压(kPa),体变(kPa),小体变(ml)
0.0, 115.2 , 20.61 , 292 ,-6.137 , 0 , 300 , 263 , 245 , 3608 ,-7.9 
 .5 , 115.1 , 20.6 , .3 ,-6.15 , 111 , 300 , 262 , 245 , 3610 ,-8.8 
 1 , 115.2 , 20.56 , .29 ,-6.124 , 110 , 300 , 264 , 244 , 3608 ,-8.3 
 1.5 , 115.3 , 20.66 , .3 ,-6.13 , 112 , 300 , 263 , 244 , 3607 ,-8.6 
 2 , 115.2 , 20.81 , .3 ,-6.127 , 110 , 300 , 264 , 244 , 3609 ,-8.3 
 2.5 , 115.2 , 20.91 , .3 ,-6.126 , 111 , 301 , 263 , 244 , 3609 ,-8.5 
 3 , 115.2 , 20.92 , .3 ,-6.123 , 110 , 301 , 262 , 245 , 3606 ,-8.4 
 3.5 , 115.1 , 21.02 , .3 ,-6.136 , 111 , 301 , 263 , 244 , 3607 ,-8.5 
 4 , 115.3 , 20.87 , .3 ,-6.122 , 110 , 301 , 264 , 244 , 3608 ,-8.5 
 4.5 , 115.1 , 21.12 , .3 ,-6.126 , 111 , 300 , 263 , 244 , 3606 ,-8.3 
 5 , 115.2 , 21.25 , .3 ,-6.14 , 111 , 301 , 263 , 244 , 3606 ,-8.3 
 5.5 , 115.1 , 21.23 , .3 ,-6.126 , 111 , 300 , 263 , 244 , 3607 ,-8.9 
 6 , 115.2 , 21.32 , .31 ,-6.121 , 111 , 300 , 263 , 244 , 3608 ,-8.5 
 6.5 , 115.1 , 21.45 , .3 ,-6.129 , 111 , 301 , 263 , 244 , 3609 ,-8.3 
 7 , 115.2 , 21.64 , .3 ,-6.155 , 111 , 300 , 263 , 244 , 3608 ,-8.5 
 7.5 , 115.2 , 21.86 , .31 ,-6.152 , 111 , 301 , 263 , 244 , 3606 ,-8.5 
 8 , 115 , 21.82 , .31 ,-6.143 , 111 , 301 , 263 , 244 , 3607 ,-8.5 
 8.5 , 115.1 , 21.93 , .31 ,-6.14 , 111 , 300 , 263 , 244 , 3606 ,-8.5 
 9 , 115.1 , 22.31 , .32 ,-6.148 , 111 , 300 , 263 , 245 , 3607 ,-8.6 
 9.5 , 115.2 , 22.38 , .32 ,-6.134 , 110 , 300 , 264 , 245 , 3607 ,-8.8 
 10 , 115.2 , 22.67 , .32 ,-6.141 , 111 , 300 , 263 , 244 , 3607 ,-8.5 
 10.5 , 115.1 , 22.61 , .32 ,-6.132 , 110 , 300 , 263 , 245 , 3607 ,-8.9 
 11 , 115.2 , 22.95 , .33 ,-6.125 , 111 , 301 , 263 , 245 , 3609 ,-8.4 
 11.5 , 115.2 , 23.12 , .33 ,-6.118 , 111 , 300 , 264 , 244 , 3606 ,-8.4 
 12 , 115.2 , 23.19 , .33 ,-6.129 , 111 , 300 , 264 , 244 , 3607 ,-8.8 
 12.5 , 115.2 , 23.37 , .33 ,-6.139 , 111 , 300 , 264 , 245 , 3609 ,-8.6 
