

时间(S),振次,轴位移(mm),力(kN),应力(kPa),变形(mm),侧位移(mm),围压(kPa),孔压(kPa),反压(kPa),体变(ml),小体变(ml)
0.00,0.00, 124 , 21.68 , 307 , 18.738 , 133.1 , 301 , 210 , 196 , 4679 ,-8.8 
 .2 , .02 , 124 , 21.61 , 31 , 18.745 , 133.5 , 301 , 211 , 196 , 4682 ,-8.5 
 .4 , .04 , 123.9 , 21.53 , 30 , 18.74 , 132.7 , 300 , 211 , 196 , 4680 ,-8.4 
 .61 , .06 , 124 , 21.7 , 30 , 18.719 , 133 , 300 , 211 , 195 , 4678 ,-8.6 
 .81 , .08 , 123.9 , 21.8 , 32 , 18.741 , 133.5 , 301 , 212 , 195 , 4679 ,-8.1 
 1.01 , .1 , 124 , 22.47 , 32 , 18.744 , 132.6 , 301 , 210 , 196 , 4680 ,-8.1 
 1.21 , .12 , 123.9 , 22.94 , 34 , 18.754 , 132.8 , 301 , 211 , 196 , 4678 ,-8.8 
 1.41 , .14 , 123.9 , 24.01 , 35 , 18.79 , 133.4 , 300 , 211 , 196 , 4677 ,-8.3 
 1.62 , .16 , 124 , 24.78 , 36 , 18.801 , 132.6 , 301 , 211 , 195 , 4677 ,-8 
 1.82 , .18 , 124.1 , 25.22 , 37 , 18.827 , 132.9 , 301 , 211 , 196 , 4679 ,-8.6 
 2.02 , .2 , 124 , 26.1 , 37 , 18.863 , 133.4 , 301 , 210 , 196 , 4680 ,-8.8 
 2.22 , .22 , 124.2 , 26.54 , 37 , 18.874 , 132.5 , 301 , 211 , 195 , 4675 ,-8.1 
 2.42 , .24 , 124.2 , 26.8 , 37 , 18.892 , 133.4 , 301 , 211 , 196 , 4679 ,-8.6 
 2.63 , .26 , 124.1 , 27.1 , 38 , 18.902 , 133.2 , 300 , 210 , 196 , 4681 ,-8 
 2.83 , .28 , 124.1 , 27.4 , 39 , 18.935 , 132.2 , 301 , 211 , 195 , 4679 ,-8.6 
 3.03 , .3 , 124.2 , 27.45 , 39 , 18.947 , 133.1 , 301 , 210 , 195 , 4678 ,-8.6 
 3.23 , .32 , 124.3 , 27.55 , 39 , 18.959 , 133.2 , 301 , 211 , 195 , 4677 ,-8.5 
 3.43 , .34 , 124.2 , 27.4 , 39 , 18.965 , 132.2 , 301 , 211 , 195 , 4678 ,-8.8 
 3.64 , .36 , 124.2 , 27.38 , 38 , 18.955 , 133 , 301 , 210 , 196 , 4679 ,-8.6 
 3.84 , .38 , 124.2 , 27.32 , 39 , 18.973 , 133 , 301 , 210 , 196 , 4679 ,-8.9 
 4.04 , .4 , 124.3 , 27.08 , 38 , 18.967 , 132.5 , 301 , 211 , 195 , 4679 ,-8.3 
 4.24 , .42 , 124.2 , 27.02 , 38 , 18.974 , 133.2 , 301 , 210 , 195 , 4678 ,-8.6 
 4.44 , .44 , 124.2 , 26.93 , 38 , 18.974 , 133 , 301 , 211 , 195 , 4679 ,-8.1 
 4.65 , .46 , 124.3 , 27.03 , 38 , 18.978 , 132.4 , 301 , 210 , 196 , 4679 ,-8.4 
 4.85 , .48 , 124.2 , 25.84 , 36 , 18.962 , 133.3 , 301 , 210 , 196 , 4679 ,-8.1 
 5.05 , .5 , 124.2 , 25.13 , 34 , 18.962 , 133 , 301 , 210 , 196 , 4680 ,-8.5 
 5.25 , .52 , 124.1 , 24.42 , 33 , 18.924 , 132.6 , 301 , 210 , 195 , 4677 ,-8.3 
 5.45 , .54 , 124.1 , 22.93 , 32 , 18.9 , 133.7 , 301 , 210 , 195 , 4678 ,-8.6 
 5.66 , .56 , 124 , 22.25 , 30 , 18.88 , 133.2 , 301 , 210 , 195 , 4678 ,-8.5 
 5.86 , .58 , 124 , 21.72 , 30 , 18.863 , 132.4 , 301 , 210 , 195 , 4678 ,-8.1 
 6.06 , .6 , 124.1 , 20.86 , 28 , 18.831 , 133.1 , 301 , 210 , 195 , 4680 ,-8.4 
 6.26 , .62 , 124 , 19.66 , 27 , 18.813 , 133.2 , 301 , 210 , 196 , 4678 ,-8 
 6.46 , .64 , 124 , 19.25 , 26 , 18.779 , 132.3 , 301 , 211 , 195 , 4677 ,-8.1 
 6.67 , .66 , 124.2 , 18.7 , 26 , 18.761 , 133.5 , 301 , 210 , 195 , 4680 ,-8.3 
 6.87 , .68 , 124 , 17.71 , 24 , 18.713 , 132.7 , 300 , 211 , 195 , 4678 ,-8.4 
 7.07 , .7 , 124 , 17.26 , 24 , 18.69 , 133.1 , 300 , 210 , 195 , 4678 ,-8.9 
 7.27 , .72 , 123.9 , 16.85 , 24 , 18.665 , 133.5 , 301 , 210 , 195 , 4678 ,-8.8 
 7.47 , .74 , 124 , 16.26 , 22 , 18.639 , 133.1 , 301 , 211 , 195 , 4678 ,-8.4 
 7.68 , .76 , 123.9 , 15.95 , 22 , 18.606 , 132.5 , 301 , 210 , 195 , 4678 ,-8.3 
 7.88 , .78 , 123.8 , 15.75 , 22 , 18.615 , 133.6 , 300 , 211 , 195 , 4677 ,-8.6 
 8.08 , .8 , 123.9 , 15.79 , 22 , 18.587 , 133.2 , 300 , 211 , 195 , 4678 ,-8.4 
 8.28 , .82 , 123.8 , 15.6 , 22 , 18.589 , 132.9 , 301 , 211 , 196 , 4680 ,-8.8 
 8.48 , .84 , 123.8 , 15.65 , 22 , 18.572 , 133.4 , 300 , 211 , 196 , 4678 ,-8.3 
 8.69 , .86 , 123.9 , 15.56 , 22 , 18.567 , 132.7 , 301 , 211 , 196 , 4680 ,-8.4 
 8.89 , .88 , 123.8 , 15.65 , 22 , 18.555 , 132.5 , 300 , 211 , 195 , 4681 ,-8.9 
 9.09 , .9 , 123.9 , 15.69 , 22 , 18.57 , 133.8 , 300 , 211 , 196 , 4679 ,-8.8 
 9.29 , .92 , 123.9 , 15.68 , 22 , 18.574 , 132.9 , 300 , 211 , 195 , 4680 ,-8.8 
 9.49 , .94 , 123.9 , 15.86 , 23 , 18.571 , 132.6 , 301 , 211 , 196 , 4677 ,-8.6 
 9.7 , .96 , 123.9 , 16.82 , 24 , 18.603 , 133.4 , 300 , 211 , 196 , 4681 ,-8.6 
 9.9 , .99 , 124 , 17.49 , 25 , 18.614 , 132.7 , 301 , 210 , 196 , 4678 ,-8.6 
 10.1 , 1.01 , 123.9 , 18.13 , 27 , 18.63 , 132.3 , 300 , 212 , 196 , 4679 ,-8.6 
 10.3 , 1.03 , 123.9 , 19.51 , 28 , 18.675 , 133.7 , 301 , 211 , 196 , 4679 ,-8.4 
 10.5 , 1.05 , 123.9 , 20.13 , 30 , 18.721 , 133.1 , 300 , 212 , 196 , 4678 ,-8.1 
 10.71 , 1.07 , 124 , 20.99 , 31 , 18.742 , 132.4 , 301 , 211 , 197 , 4681 ,-8.5 
 10.91 , 1.09 , 124.1 , 21.85 , 32 , 18.762 , 133.8 , 301 , 210 , 196 , 4679 ,-8.8 
 11.11 , 1.11 , 124.1 , 23.27 , 33 , 18.815 , 132.9 , 301 , 211 , 196 , 4677 ,-8.1 
 11.31 , 1.13 , 124.1 , 23.82 , 34 , 18.861 , 132.3 , 300 , 211 , 196 , 4680 ,-8.4 
 11.51 , 1.15 , 124 , 24.58 , 36 , 18.882 , 133.4 , 301 , 211 , 196 , 4679 ,-7.9 
 11.72 , 1.17 , 124 , 25.92 , 37 , 18.939 , 133 , 300 , 211 , 195 , 4678 ,-8.1 
 11.92 , 1.19 , 124.1 , 26.32 , 38 , 18.963 , 132.4 , 300 , 211 , 196 , 4679 ,-8.5 
 12.12 , 1.21 , 124.2 , 26.72 , 38 , 18.961 , 133.3 , 301 , 211 , 196 , 4676 ,-7.8 
 12.32 , 1.23 , 124.1 , 27.28 , 39 , 19.002 , 132.8 , 300 , 211 , 196 , 4678 ,-8.4 
 12.52 , 1.25 , 124.2 , 27.43 , 39 , 19.009 , 132.2 , 300 , 211 , 196 , 4679 ,-8.4 
 12.73 , 1.27 , 124.2 , 27.53 , 40 , 19.021 , 133.1 , 301 , 210 , 195 , 4678 ,-8.5 
 12.93 , 1.29 , 124.2 , 27.66 , 39 , 19.027 , 133.1 , 301 , 210 , 195 , 4681 ,-8.6 
 13.13 , 1.31 , 124.2 , 27.78 , 40 , 19.071 , 132.4 , 301 , 210 , 195 , 4679 ,-8.5 
 13.33 , 1.33 , 124.3 , 27.7 , 39 , 19.068 , 133.4 , 301 , 210 , 195 , 4680 ,-9 
 13.53 , 1.35 , 124.3 , 27.75 , 39 , 19.078 , 133.2 , 301 , 210 , 195 , 4679 ,-8.4 
 13.74 , 1.37 , 124.2 , 27.51 , 39 , 19.067 , 132.5 , 301 , 210 , 195 , 4678 ,-8.5 
 13.94 , 1.39 , 124.4 , 27.62 , 39 , 19.084 , 133.4 , 301 , 210 , 195 , 4678 ,-8.6 
 14.14 , 1.41 , 124.3 , 27.43 , 39 , 19.087 , 133 , 301 , 209 , 195 , 4678 ,-8.4 
 14.34 , 1.43 , 124.2 , 27.36 , 39 , 19.084 , 132.3 , 301 , 210 , 196 , 4679 ,-8.6 
 14.54 , 1.45 , 124.3 , 27.07 , 38 , 19.087 , 133.1 , 301 , 210 , 195 , 4681 ,-9.1 
 14.75 , 1.47 , 124.3 , 26.75 , 38 , 19.088 , 132.9 , 301 , 210 , 196 , 4678 ,-8 
 14.95 , 1.49 , 124.2 , 25.93 , 35 , 19.079 , 132.5 , 301 , 210 , 195 , 4680 ,-8.4 
 15.15 , 1.51 , 124.3 , 24.66 , 34 , 19.054 , 133.4 , 301 , 211 , 195 , 4679 ,-8.3 
 15.35 , 1.53 , 124.2 , 23.89 , 33 , 19.05 , 133 , 301 , 211 , 195 , 4677 ,-8.4 
 15.55 , 1.55 , 124.3 , 23.3 , 31 , 19.022 , 132.1 , 300 , 210 , 196 , 4680 ,-8.3 
 15.76 , 1.57 , 124.1 , 21.75 , 30 , 18.982 , 133.5 , 301 , 210 , 195 , 4678 ,-8.5 
 15.96 , 1.59 , 124.2 , 21.16 , 29 , 18.954 , 133 , 300 , 211 , 195 , 4677 ,-8.4 
 16.16 , 1.61 , 124.2 , 20.5 , 28 , 18.956 , 132.8 , 300 , 211 , 195 , 4680 ,-8.5 
 16.36 , 1.63 , 124 , 19.86 , 27 , 18.91 , 133.2 , 301 , 210 , 195 , 4678 ,-8.9 
 16.56 , 1.65 , 124.2 , 18.81 , 26 , 18.865 , 133.3 , 301 , 210 , 196 , 4678 ,-8.6 
 16.77 , 1.67 , 124 , 18.28 , 26 , 18.862 , 132.8 , 301 , 210 , 195 , 4679 ,-9 
 16.97 , 1.69 , 124 , 17.68 , 25 , 18.837 , 133.3 , 300 , 211 , 196 , 4678 ,-8.4 
 17.17 , 1.71 , 124 , 17.03 , 24 , 18.785 , 133.1 , 300 , 211 , 196 , 4678 ,-8.5 
 17.37 , 1.73 , 124 , 16.65 , 23 , 18.772 , 132.5 , 300 , 210 , 195 , 4679 ,-8.3 
 17.57 , 1.75 , 124.1 , 16.32 , 24 , 18.755 , 133.7 , 300 , 212 , 195 , 4676 ,-8.4 
 17.78 , 1.77 , 124 , 16.09 , 22 , 18.735 , 133.1 , 300 , 211 , 195 , 4678 ,-8.1 
 17.98 , 1.79 , 124 , 15.86 , 22 , 18.713 , 132.4 , 300 , 211 , 196 , 4677 ,-8.4 
 18.18 , 1.81 , 124 , 15.68 , 23 , 18.716 , 133.6 , 299 , 211 , 196 , 4680 ,-8.3 
