时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 125.9 	 21.86 	 309 	 20.732 	 133.4 	 300 	 213 	 198 	 4680 	-8.9 
 .2 	 .02 	 125.8 	 21.83 	 31 	 20.711 	 132.3 	 301 	 213 	 198 	 4681 	-8.4 
 .4 	 .04 	 125.9 	 21.84 	 31 	 20.732 	 132.7 	 300 	 213 	 198 	 4679 	-8.1 
 .61 	 .06 	 125.7 	 21.86 	 31 	 20.717 	 132.9 	 300 	 213 	 198 	 4678 	-8.4 
 .81 	 .08 	 125.9 	 21.97 	 31 	 20.73 	 134 	 300 	 213 	 198 	 4679 	-8.1 
 1.01 	 .1 	 125.8 	 21.71 	 31 	 20.725 	 133.4 	 300 	 213 	 198 	 4678 	-8.5 
 1.21 	 .12 	 125.9 	 22 	 31 	 20.712 	 132.4 	 301 	 213 	 198 	 4680 	-8.8 
 1.41 	 .14 	 125.8 	 21.86 	 31 	 20.734 	 132.8 	 300 	 213 	 198 	 4680 	-8.8 
 1.62 	 .16 	 125.8 	 21.88 	 31 	 20.726 	 133.3 	 300 	 212 	 197 	 4677 	-7.6 
 1.82 	 .18 	 125.9 	 21.98 	 31 	 20.731 	 133.8 	 300 	 213 	 198 	 4677 	-8.4 
 2.02 	 .2 	 125.9 	 21.79 	 32 	 20.737 	 133.2 	 300 	 213 	 198 	 4678 	-8.6 
 2.22 	 .22 	 125.9 	 22.08 	 31 	 20.727 	 132.4 	 300 	 213 	 198 	 4679 	-8.6 
 2.42 	 .24 	 125.9 	 22.09 	 32 	 20.731 	 132.8 	 300 	 213 	 198 	 4681 	-8.3 
 2.63 	 .26 	 125.8 	 22.13 	 32 	 20.728 	 133.6 	 300 	 213 	 198 	 4679 	-8 
 2.83 	 .28 	 125.8 	 22.15 	 31 	 20.726 	 133.9 	 300 	 213 	 197 	 4677 	-8.5 
 3.03 	 .3 	 126 	 22.17 	 31 	 20.735 	 133.2 	 300 	 213 	 198 	 4680 	-8.4 
 3.23 	 .32 	 125.8 	 22.36 	 32 	 20.725 	 132.8 	 300 	 213 	 198 	 4679 	-8 
 3.43 	 .34 	 125.9 	 22.28 	 32 	 20.734 	 133.2 	 300 	 213 	 198 	 4678 	-8.1 
 3.64 	 .36 	 125.8 	 22.42 	 32 	 20.724 	 133.7 	 301 	 213 	 198 	 4681 	-8.6 
 3.84 	 .38 	 125.9 	 22.47 	 31 	 20.737 	 133.5 	 300 	 213 	 198 	 4680 	-8.5 
 4.04 	 .4 	 125.9 	 22.25 	 31 	 20.738 	 132.6 	 301 	 213 	 197 	 4677 	-8.5 
 4.24 	 .42 	 125.8 	 22.25 	 31 	 20.74 	 132.5 	 301 	 213 	 198 	 4678 	-8.9 
 4.44 	 .44 	 125.9 	 22.33 	 31 	 20.737 	 133.5 	 300 	 212 	 198 	 4678 	-8.6 
 4.65 	 .46 	 125.9 	 22.54 	 32 	 20.736 	 133.7 	 300 	 213 	 198 	 4679 	-8.4 
 4.85 	 .48 	 125.9 	 22.47 	 33 	 20.737 	 133.5 	 300 	 213 	 198 	 4678 	-8.1 
 5.05 	 .5 	 125.8 	 22.39 	 32 	 20.744 	 132.5 	 301 	 212 	 198 	 4680 	-8.3 
 5.25 	 .52 	 125.8 	 22.45 	 32 	 20.729 	 132.7 	 301 	 213 	 198 	 4679 	-8.3 
 5.45 	 .54 	 125.9 	 22.44 	 32 	 20.743 	 133.6 	 300 	 213 	 198 	 4679 	-8.5 
 5.66 	 .56 	 125.9 	 22.43 	 32 	 20.739 	 133.6 	 300 	 213 	 198 	 4677 	-8.4 
 5.86 	 .58 	 125.7 	 22.34 	 31 	 20.744 	 133.3 	 301 	 213 	 198 	 4680 	-8.6 
 6.06 	 .6 	 125.9 	 22.34 	 32 	 20.749 	 132.4 	 301 	 213 	 197 	 4677 	-8.4 
 6.26 	 .62 	 125.9 	 22.31 	 32 	 20.742 	 133 	 301 	 213 	 197 	 4679 	-8.6 
 6.46 	 .64 	 125.9 	 22.18 	 31 	 20.746 	 133.5 	 301 	 213 	 197 	 4677 	-8.4 
 6.67 	 .66 	 125.9 	 22.21 	 31 	 20.744 	 133.5 	 301 	 213 	 198 	 4679 	-8.3 
 6.87 	 .68 	 125.9 	 22.01 	 31 	 20.74 	 132.7 	 300 	 213 	 198 	 4677 	-8.5 
 7.07 	 .7 	 125.8 	 22.07 	 32 	 20.737 	 133 	 300 	 213 	 198 	 4682 	-8.9 
 7.27 	 .72 	 125.9 	 21.97 	 31 	 20.747 	 133.1 	 301 	 212 	 198 	 4678 	-8.5 
 7.47 	 .74 	 125.9 	 21.81 	 31 	 20.74 	 133.6 	 300 	 212 	 198 	 4678 	-8.3 
