时间,振次,轴位移,力,变形,围压,孔压,反压,sigma_d,epsilon_d,d1,pore_pressure,back_pressure
0.0,0.0,122.2,20.78,4.136,299.0,225.0,194.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02,122.2,20.71,4.138999999999999,299.0,225.0,193.0,-0.9902974236829083,4.9999999999987095e-06,0.0,0.0,-1.0
0.4,0.04,122.3,20.82,4.126,300.0,225.0,193.0,0.5658842421045047,-1.6666666666666312e-05,0.0001666666666666572,0.0,-1.0
0.61,0.06,122.1,20.9,4.113,300.0,225.0,193.0,1.6976527263135142,-3.833333333333281e-05,-0.00016666666666668086,0.0,-1.0
0.81,0.08,122.3,21.2,4.124,299.0,225.0,193.0,5.9417845420974,-2.0000000000000757e-05,0.0001666666666666572,0.0,-1.0
1.01,0.1,122.2,21.22,4.132,299.0,225.0,194.0,6.224726663149652,-6.666666666667413e-06,0.0,0.0,0.0
1.21,0.12,122.2,21.47,4.152,300.0,225.0,193.0,9.761503176302881,2.666666666666669e-05,0.0,0.0,-1.0
1.41,0.14,122.4,22.21,4.181,300.0,225.0,193.0,20.230361655236468,7.499999999999989e-05,0.0003333333333333381,0.0,-1.0
1.62,0.16,122.2,22.55,4.194,300.0,225.0,193.0,25.04037771312486,9.666666666666638e-05,0.0,0.0,-1.0
1.82,0.18,122.3,22.77,4.204,300.0,225.0,193.0,28.152741044699685,0.00011333333333333269,0.0001666666666666572,0.0,-1.0
2.02,0.2,122.4,23.13,4.217,299.0,225.0,193.0,33.24569922364033,0.0001349999999999992,0.0003333333333333381,0.0,-1.0
2.22,0.22,122.4,23.71,4.243,300.0,225.0,193.0,41.45102073415585,0.00017833333333333367,0.0003333333333333381,0.0,-1.0
2.42,0.24,122.4,23.96,4.25,299.0,225.0,193.0,44.987797247309075,0.0001899999999999998,0.0003333333333333381,0.0,-1.0
2.63,0.26,122.3,24.0,4.271,299.0,225.0,193.0,45.553681489413584,0.00022499999999999964,0.0001666666666666572,0.0,-1.0
2.83,0.28,122.4,24.32,4.288,299.0,225.0,193.0,50.08075542624972,0.00025333333333333355,0.0003333333333333381,0.0,-1.0
3.03,0.3,122.3,24.32,4.295,299.0,225.0,193.0,50.08075542624972,0.00026499999999999967,0.0001666666666666572,0.0,-1.0
3.23,0.32,122.4,24.45,4.285,299.0,225.0,193.0,51.91987921308939,0.00024833333333333337,0.0003333333333333381,0.0,-1.0
3.43,0.34,122.4,24.39,4.305,299.0,225.0,193.0,51.07105284993263,0.000281666666666666,0.0003333333333333381,0.0,-1.0
3.64,0.36,122.4,24.44,4.306,300.0,225.0,193.0,51.77840815256329,0.0002833333333333332,0.0003333333333333381,0.0,-1.0
3.84,0.38,122.4,24.47,4.317,300.0,225.0,193.0,52.20282133414164,0.00030166666666666677,0.0003333333333333381,0.0,-1.0
4.04,0.4,122.4,24.36,4.317,300.0,224.0,193.0,50.646639668354226,0.00030166666666666677,0.0003333333333333381,-1.0,-1.0
4.24,0.42,122.4,24.21,4.316,300.0,225.0,193.0,48.52457376046231,0.00029999999999999954,0.0003333333333333381,0.0,-1.0
4.44,0.44,122.5,24.28,4.314,299.0,225.0,193.0,49.514871184145214,0.00029666666666666654,0.0004999999999999952,0.0,-1.0
4.65,0.46,122.4,24.24,4.31,300.0,225.0,193.0,48.94898694204066,0.00028999999999999913,0.0003333333333333381,0.0,-1.0
4.85,0.48,122.3,23.71,4.313,299.0,225.0,193.0,41.45102073415585,0.0002949999999999993,0.0001666666666666572,0.0,-1.0
5.05,0.5,122.4,23.16,4.297,299.0,225.0,193.0,33.67011240521873,0.00026833333333333266,0.0003333333333333381,0.0,-1.0
5.25,0.52,122.4,22.77,4.303,300.0,225.0,193.0,28.152741044699685,0.000278333333333333,0.0003333333333333381,0.0,-1.0
5.45,0.54,122.5,22.32,4.285,299.0,225.0,193.0,21.78654332102388,0.00024833333333333337,0.0004999999999999952,0.0,-1.0
