时间,振次,轴位移,力,变形,围压,孔压,反压,sigma_d,epsilon_d,d1,pore_pressure,back_pressure
0.0,0.0,124.0,20.84,5.952999999999999,300.0,229.0,198.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02,124.0,20.75,5.949,299.0,229.0,198.0,-1.2732395447351608,-6.666666666665932e-06,0.0,0.0,0.0
0.4,0.04,124.0,20.8,5.952999999999999,300.0,229.0,198.0,-0.5658842421045047,0.0,0.0,0.0,0.0
0.61,0.06,123.9,20.83,5.955,300.0,230.0,197.0,-0.1414710605261513,3.3333333333344463e-06,-0.0001666666666666572,1.0,-1.0
0.81,0.08,123.9,21.17,5.957999999999999,300.0,230.0,198.0,4.6685449973622895,8.333333333333156e-06,-0.0001666666666666572,1.0,0.0
1.01,0.1,124.0,22.04,5.995,299.0,230.0,198.0,16.97652726313549,7.000000000000117e-05,0.0,1.0,0.0
1.21,0.12,124.0,22.69,6.026,300.0,230.0,197.0,26.17214619733392,0.00012166666666666733,0.0,1.0,-1.0
1.41,0.14,124.1,23.12,6.063,300.0,229.0,197.0,32.25540179995747,0.00018333333333333388,0.0001666666666666572,0.0,-1.0
1.62,0.16,124.0,24.3,6.122000000000001,300.0,229.0,197.0,48.94898694204071,0.00028166666666666894,0.0,0.0,-1.0
1.82,0.18,124.1,24.83,6.181,300.0,228.0,197.0,56.44695314992553,0.00038000000000000105,0.0001666666666666572,-1.0,-1.0
2.02,0.2,124.1,25.38,6.178999999999999,300.0,229.0,197.0,64.22786147886264,0.00037666666666666664,0.0001666666666666572,0.0,-1.0
2.22,0.22,124.1,25.99,6.239,300.0,229.0,197.0,72.85759617095651,0.00047666666666666745,0.0001666666666666572,0.0,-1.0
2.42,0.24,124.2,26.48,6.28,301.0,228.0,196.0,79.78967813673687,0.0005450000000000014,0.0003333333333333381,-1.0,-2.0
2.63,0.26,124.3,26.66,6.322,300.0,228.0,196.0,82.33615722620719,0.0006150000000000011,0.0004999999999999952,-1.0,-2.0
2.83,0.28,124.2,26.87,6.332999999999999,300.0,227.0,196.0,85.30704949725592,0.0006333333333333332,0.0003333333333333381,-2.0,-2.0
3.03,0.3,124.2,27.04,6.356,300.0,228.0,195.0,87.71205752620008,0.0006716666666666674,0.0003333333333333381,-1.0,-3.0
3.23,0.32,124.2,27.15,6.371,300.0,227.0,196.0,89.2682391919875,0.0006966666666666683,0.0003333333333333381,-2.0,-2.0
3.43,0.34,124.3,27.01,6.391,300.0,227.0,196.0,87.28764434462174,0.000730000000000001,0.0004999999999999952,-2.0,-2.0
3.64,0.36,124.2,26.89,6.394,300.0,227.0,195.0,85.58999161830816,0.0007350000000000012,0.0003333333333333381,-2.0,-3.0
3.84,0.38,124.2,26.89,6.406000000000001,300.0,227.0,195.0,85.58999161830816,0.000755000000000002,0.0003333333333333381,-2.0,-3.0
4.04,0.4,124.3,26.84,6.393,300.0,226.0,196.0,84.88263631567752,0.000733333333333334,0.0004999999999999952,-3.0,-2.0
4.24,0.42,124.2,26.53,6.405,300.0,228.0,195.0,80.49703343936753,0.0007533333333333347,0.0003333333333333381,-1.0,-3.0
4.44,0.44,124.3,26.2,6.396,300.0,227.0,196.0,75.82848844200524,0.0007383333333333342,0.0004999999999999952,-2.0,-2.0
4.65,0.46,124.2,25.66,6.399,300.0,227.0,195.0,68.18905117359427,0.0007433333333333343,0.0003333333333333381,-2.0,-3.0
4.85,0.48,124.3,25.31,6.391,300.0,226.0,196.0,63.23756405517973,0.000730000000000001,0.0004999999999999952,-3.0,-2.0
5.05,0.5,124.3,23.7,6.345,300.0,227.0,196.0,40.460723310472936,0.0006533333333333339,0.0004999999999999952,-2.0,-2.0
5.25,0.52,124.3,23.22,6.327000000000001,300.0,227.0,195.0,33.67011240521873,0.0006233333333333358,0.0004999999999999952,-2.0,-3.0
5.45,0.54,124.3,22.46,6.277,300.0,226.0,196.0,22.918311805232943,0.0005400000000000012,0.0004999999999999952,-3.0,-2.0
5.66,0.56,124.2,21.64,6.265,300.0,227.0,196.0,11.317684842090346,0.0005200000000000005,0.0003333333333333381,-2.0,-2.0
5.86,0.58,124.2,20.33,6.178999999999999,300.0,227.0,196.0,-7.215024086832611,0.00037666666666666664,0.0003333333333333381,-2.0,-2.0
6.06,0.6,124.1,19.47,6.16,299.0,227.0,195.0,-19.38153529207971,0.00034500000000000123,0.0001666666666666572,-2.0,-3.0
6.26,0.62,124.0,18.82,6.115,300.0,227.0,196.0,-28.57715422627809,0.00027000000000000136,0.0,-2.0,-2.0
6.46,0.64,124.0,17.7,6.022,300.0,227.0,196.0,-44.42191300520457,0.0001150000000000014,0.0,-2.0,-2.0
6.67,0.66,124.1,16.97,5.986000000000001,300.0,228.0,196.0,-54.74930042361201,5.500000000000208e-05,0.0001666666666666572,-1.0,-2.0
6.87,0.68,123.9,16.62,5.973,299.0,228.0,196.0,-59.700787542026504,3.33333333333341e-05,-0.0001666666666666572,-1.0,-2.0
7.07,0.7,123.8,16.35,5.902,300.0,228.0,197.0,-63.52050617623198,-8.499999999999879e-05,-0.0003333333333333381,-1.0,-1.0
7.27,0.72,123.8,15.38,5.821000000000001,299.0,228.0,197.0,-77.24319904726653,-0.00021999999999999797,-0.0003333333333333381,-1.0,-1.0
7.47,0.74,123.8,15.04,5.791,299.0,229.0,197.0,-82.05321510515493,-0.0002699999999999984,-0.0003333333333333381,0.0,-1.0
7.68,0.76,123.7,14.74,5.752999999999999,299.0,229.0,197.0,-86.29734692093879,-0.00033333333333333365,-0.0004999999999999952,0.0,-1.0
7.88,0.78,123.7,14.45,5.712999999999999,299.0,230.0,197.0,-90.40000767619655,-0.00040000000000000034,-0.0004999999999999952,1.0,-1.0
8.08,0.8,123.7,14.37,5.685,299.0,229.0,198.0,-91.5317761604056,-0.00044666666666666634,-0.0004999999999999952,0.0,0.0
8.28,0.82,123.6,14.32,5.692,299.0,229.0,197.0,-92.23913146303623,-0.0004349999999999987,-0.0006666666666666762,0.0,-1.0
8.48,0.84,123.7,14.33,5.675,299.0,230.0,197.0,-92.0976604025101,-0.00046333333333333263,-0.0004999999999999952,1.0,-1.0
8.69,0.86,123.6,14.29,5.665,299.0,230.0,198.0,-92.66354464461463,-0.00047999999999999893,-0.0006666666666666762,1.0,0.0
8.89,0.88,123.8,14.13,5.675,298.0,230.0,198.0,-94.92708161303267,-0.00046333333333333263,-0.0003333333333333381,1.0,0.0
9.09,0.9,123.6,14.31,5.6739999999999995,299.0,229.0,198.0,-92.38060252356235,-0.00046499999999999986,-0.0006666666666666762,0.0,0.0
9.29,0.92,123.7,14.49,5.666,299.0,229.0,197.0,-89.83412343409204,-0.0004783333333333317,-0.0004999999999999952,0.0,-1.0
9.49,0.94,123.8,15.11,5.675,299.0,230.0,198.0,-81.06291768147203,-0.00046333333333333263,-0.0003333333333333381,1.0,0.0
