时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 122 	 20.61 	 292 	 3.907 	 196.6 	 299 	 222 	 191 	 4267 	-6.4 
 .2 	 .02 	 122.1 	 20.71 	 29 	 3.908 	 196.6 	 300 	 222 	 191 	 4263 	-6.8 
 .4 	 .04 	 122.1 	 20.69 	 29 	 3.924 	 196.7 	 300 	 223 	 191 	 4268 	-6.9 
 .61 	 .06 	 122.1 	 20.58 	 30 	 3.923 	 196.3 	 300 	 222 	 191 	 4266 	-6.6 
 .81 	 .08 	 122.1 	 20.99 	 30 	 3.922 	 196.7 	 300 	 223 	 191 	 4269 	-6.8 
 1.01 	 .1 	 122 	 20.91 	 30 	 3.925 	 196.5 	 299 	 223 	 190 	 4267 	-7 
 1.21 	 .12 	 122.1 	 21.21 	 30 	 3.932 	 196.9 	 300 	 223 	 191 	 4267 	-6.8 
 1.41 	 .14 	 122.2 	 21.49 	 31 	 3.945 	 196.9 	 299 	 223 	 191 	 4266 	-6.9 
 1.62 	 .16 	 122.1 	 21.67 	 31 	 3.936 	 196.8 	 300 	 222 	 191 	 4263 	-6.8 
 1.82 	 .18 	 122.2 	 22.04 	 31 	 3.955 	 196.7 	 299 	 223 	 191 	 4266 	-7 
 2.02 	 .2 	 122.1 	 22.25 	 32 	 3.951 	 197 	 299 	 223 	 191 	 4266 	-6.8 
 2.22 	 .22 	 122.1 	 22.29 	 32 	 3.964 	 196.8 	 300 	 223 	 191 	 4265 	-6.5 
 2.42 	 .24 	 122.1 	 22.56 	 32 	 3.969 	 196.8 	 300 	 223 	 191 	 4267 	-6.8 
 2.63 	 .26 	 122.1 	 22.82 	 33 	 3.974 	 196.9 	 299 	 223 	 191 	 4264 	-6.8 
 2.83 	 .28 	 122.1 	 22.96 	 33 	 3.976 	 196.6 	 300 	 223 	 191 	 4264 	-6.6 
 3.03 	 .3 	 122.2 	 23.07 	 33 	 3.99 	 196.8 	 300 	 223 	 191 	 4267 	-6.5 
 3.23 	 .32 	 122.1 	 23.13 	 33 	 4.006 	 197 	 299 	 223 	 191 	 4265 	-6.8 
 3.43 	 .34 	 122.2 	 23 	 32 	 4.006 	 196.8 	 300 	 223 	 191 	 4268 	-6.8 
 3.64 	 .36 	 122.2 	 23.1 	 33 	 3.99 	 196.7 	 299 	 222 	 191 	 4265 	-6.6 
 3.84 	 .38 	 122.2 	 23.1 	 33 	 4.004 	 196.6 	 300 	 223 	 191 	 4266 	-6.8 
 4.04 	 .4 	 122.2 	 23.04 	 33 	 4.016 	 196.8 	 299 	 223 	 191 	 4269 	-6.9 
 4.24 	 .42 	 122.1 	 23.04 	 33 	 4.001 	 196.8 	 300 	 223 	 191 	 4267 	-6.5 
 4.44 	 .44 	 122.1 	 23.16 	 33 	 3.991 	 196.8 	 300 	 223 	 190 	 4266 	-7 
 4.65 	 .46 	 122.2 	 23.05 	 32 	 4.01 	 196.8 	 299 	 223 	 191 	 4265 	-6.9 
 4.85 	 .48 	 122.1 	 22.88 	 32 	 4.017 	 196.8 	 299 	 223 	 191 	 4266 	-7 
 5.05 	 .5 	 122.1 	 22.65 	 32 	 4.016 	 196.8 	 300 	 223 	 191 	 4265 	-6.8 
 5.25 	 .52 	 122.1 	 22.3 	 32 	 3.999 	 196.6 	 300 	 223 	 191 	 4265 	-6.5 
 5.45 	 .54 	 122.1 	 22.15 	 30 	 3.993 	 196.9 	 300 	 223 	 191 	 4267 	-6.8 
 5.66 	 .56 	 122.1 	 21.67 	 30 	 3.989 	 196.6 	 300 	 223 	 191 	 4265 	-6.9 
 5.86 	 .58 	 122.1 	 21.58 	 30 	 3.953 	 196.9 	 300 	 223 	 191 	 4265 	-6.8 
 6.06 	 .6 	 122.1 	 20.79 	 29 	 3.921 	 196.7 	 300 	 222 	 191 	 4266 	-6.9 
 6.26 	 .62 	 122.1 	 20.57 	 28 	 3.916 	 196.7 	 299 	 222 	 191 	 4268 	-6.8 
 6.46 	 .64 	 122 	 20.29 	 28 	 3.908 	 196.7 	 299 	 222 	 191 	 4267 	-6.8 
 6.67 	 .66 	 122.1 	 19.56 	 28 	 3.904 	 196.7 	 300 	 223 	 191 	 4266 	-6.9 
 6.87 	 .68 	 122.1 	 19.36 	 27 	 3.894 	 196.8 	 300 	 222 	 191 	 4266 	-6.6 
 7.07 	 .7 	 122.1 	 19.26 	 27 	 3.891 	 196.5 	 300 	 223 	 191 	 4266 	-6.8 
 7.27 	 .72 	 122.1 	 19.06 	 26 	 3.874 	 196.7 	 300 	 223 	 191 	 4267 	-6.8 
