时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 124 	 20.84 	 295 	 5.953 	 197.3 	 300 	 229 	 198 	 4267 	-6.4 
 .2 	 .02 	 124 	 20.75 	 30 	 5.949 	 197.6 	 299 	 229 	 198 	 4266 	-7 
 .4 	 .04 	 124 	 20.8 	 30 	 5.953 	 197.3 	 300 	 229 	 198 	 4266 	-6.8 
 .61 	 .06 	 123.9 	 20.83 	 30 	 5.955 	 197.3 	 300 	 230 	 197 	 4266 	-6.9 
 .81 	 .08 	 123.9 	 21.17 	 30 	 5.958 	 197.4 	 300 	 230 	 198 	 4267 	-6.6 
 1.01 	 .1 	 124 	 22.04 	 32 	 5.995 	 197.1 	 299 	 230 	 198 	 4265 	-6.5 
 1.21 	 .12 	 124 	 22.69 	 32 	 6.026 	 197.2 	 300 	 230 	 197 	 4267 	-6.9 
 1.41 	 .14 	 124.1 	 23.12 	 34 	 6.063 	 197.4 	 300 	 229 	 197 	 4266 	-6.8 
 1.62 	 .16 	 124 	 24.3 	 34 	 6.122 	 197.3 	 300 	 229 	 197 	 4267 	-6.4 
 1.82 	 .18 	 124.1 	 24.83 	 36 	 6.181 	 197.6 	 300 	 228 	 197 	 4267 	-6.8 
 2.02 	 .2 	 124.1 	 25.38 	 37 	 6.179 	 197.7 	 300 	 229 	 197 	 4266 	-6.4 
 2.22 	 .22 	 124.1 	 25.99 	 37 	 6.239 	 197.1 	 300 	 229 	 197 	 4268 	-6.9 
 2.42 	 .24 	 124.2 	 26.48 	 38 	 6.28 	 197.1 	 301 	 228 	 196 	 4264 	-6.5 
 2.63 	 .26 	 124.3 	 26.66 	 38 	 6.322 	 197.5 	 300 	 228 	 196 	 4266 	-6.8 
 2.83 	 .28 	 124.2 	 26.87 	 38 	 6.333 	 197.2 	 300 	 227 	 196 	 4268 	-6.9 
 3.03 	 .3 	 124.2 	 27.04 	 38 	 6.356 	 197.2 	 300 	 228 	 195 	 4269 	-6.8 
 3.23 	 .32 	 124.2 	 27.15 	 38 	 6.371 	 197.6 	 300 	 227 	 196 	 4266 	-6.8 
 3.43 	 .34 	 124.3 	 27.01 	 38 	 6.391 	 197.3 	 300 	 227 	 196 	 4269 	-6.6 
 3.64 	 .36 	 124.2 	 26.89 	 38 	 6.394 	 197.6 	 300 	 227 	 195 	 4266 	-6.9 
 3.84 	 .38 	 124.2 	 26.89 	 38 	 6.406 	 197.2 	 300 	 227 	 195 	 4268 	-6.6 
 4.04 	 .4 	 124.3 	 26.84 	 38 	 6.393 	 197.2 	 300 	 226 	 196 	 4266 	-6.5 
 4.24 	 .42 	 124.2 	 26.53 	 37 	 6.405 	 197.7 	 300 	 228 	 195 	 4265 	-6.6 
 4.44 	 .44 	 124.3 	 26.2 	 36 	 6.396 	 197.3 	 300 	 227 	 196 	 4266 	-6.5 
 4.65 	 .46 	 124.2 	 25.66 	 36 	 6.399 	 197.5 	 300 	 227 	 195 	 4267 	-7 
 4.85 	 .48 	 124.3 	 25.31 	 34 	 6.391 	 197.7 	 300 	 226 	 196 	 4268 	-6.9 
 5.05 	 .5 	 124.3 	 23.7 	 33 	 6.345 	 197.2 	 300 	 227 	 196 	 4270 	-6.6 
 5.25 	 .52 	 124.3 	 23.22 	 32 	 6.327 	 197.1 	 300 	 227 	 195 	 4266 	-6.5 
 5.45 	 .54 	 124.3 	 22.46 	 31 	 6.277 	 197.1 	 300 	 226 	 196 	 4268 	-6.4 
 5.66 	 .56 	 124.2 	 21.64 	 29 	 6.265 	 197.2 	 300 	 227 	 196 	 4268 	-7.3 
 5.86 	 .58 	 124.2 	 20.33 	 27 	 6.179 	 196.7 	 300 	 227 	 196 	 4265 	-6.4 
 6.06 	 .6 	 124.1 	 19.47 	 26 	 6.16 	 197.3 	 299 	 227 	 195 	 4265 	-6.5 
 6.26 	 .62 	 124 	 18.82 	 26 	 6.115 	 197.5 	 300 	 227 	 196 	 4267 	-6.6 
 6.46 	 .64 	 124 	 17.7 	 25 	 6.022 	 197.5 	 300 	 227 	 196 	 4267 	-6.8 
 6.67 	 .66 	 124.1 	 16.97 	 23 	 5.986 	 197.5 	 300 	 228 	 196 	 4273 	-7.5 
 6.87 	 .68 	 123.9 	 16.62 	 23 	 5.973 	 197.3 	 299 	 228 	 196 	 4270 	-7 
 7.07 	 .7 	 123.8 	 16.35 	 22 	 5.902 	 197.2 	 300 	 228 	 197 	 4266 	-6.8 
 7.27 	 .72 	 123.8 	 15.38 	 21 	 5.821 	 197.4 	 299 	 228 	 197 	 4268 	-6.5 
 7.47 	 .74 	 123.8 	 15.04 	 21 	 5.791 	 197.2 	 299 	 229 	 197 	 4269 	-6.8 
 7.68 	 .76 	 123.7 	 14.74 	 20 	 5.753 	 197.5 	 299 	 229 	 197 	 4267 	-6.6 
 7.88 	 .78 	 123.7 	 14.45 	 21 	 5.713 	 197.3 	 299 	 230 	 197 	 4268 	-6.5 
 8.08 	 .8 	 123.7 	 14.37 	 20 	 5.685 	 197.2 	 299 	 229 	 198 	 4267 	-6.8 
 8.28 	 .82 	 123.6 	 14.32 	 20 	 5.692 	 197.1 	 299 	 229 	 197 	 4266 	-6.6 
 8.48 	 .84 	 123.7 	 14.33 	 20 	 5.675 	 197.5 	 299 	 230 	 197 	 4267 	-7 
 8.69 	 .86 	 123.6 	 14.29 	 21 	 5.665 	 197.1 	 299 	 230 	 198 	 4270 	-6.9 
 8.89 	 .88 	 123.8 	 14.13 	 21 	 5.675 	 197.6 	 298 	 230 	 198 	 4267 	-7.1 
 9.09 	 .9 	 123.6 	 14.31 	 21 	 5.674 	 197.4 	 299 	 229 	 198 	 4268 	-6.4 
 9.29 	 .92 	 123.7 	 14.49 	 21 	 5.666 	 197.3 	 299 	 229 	 197 	 4270 	-7.1 
 9.49 	 .94 	 123.8 	 15.11 	 22 	 5.675 	 197.4 	 299 	 230 	 198 	 4266 	-6.4 
 9.7 	 .96 	 123.7 	 15.26 	 23 	 5.686 	 197.2 	 299 	 229 	 198 	 4266 	-6.4 
 9.9 	 .99 	 123.8 	 16.55 	 24 	 5.749 	 197.6 	 299 	 230 	 197 	 4267 	-6.9 
 10.1 	 1.01 	 123.8 	 16.9 	 25 	 5.787 	 197.2 	 299 	 230 	 198 	 4268 	-6.5 
 10.3 	 1.03 	 123.9 	 17.73 	 26 	 5.835 	 197.2 	 299 	 230 	 198 	 4266 	-6.6 
 10.5 	 1.05 	 123.9 	 18.38 	 28 	 5.871 	 197.4 	 298 	 231 	 198 	 4268 	-7.1 
 10.71 	 1.07 	 123.9 	 20.05 	 29 	 5.973 	 197.5 	 299 	 230 	 198 	 4267 	-6.8 
 10.91 	 1.09 	 124 	 20.71 	 31 	 6.043 	 197.2 	 299 	 230 	 198 	 4268 	-6.6 
 11.11 	 1.11 	 124 	 21.54 	 32 	 6.085 	 197.3 	 299 	 230 	 197 	 4268 	-6.9 
 11.31 	 1.13 	 124.1 	 23.28 	 33 	 6.193 	 197.4 	 300 	 229 	 198 	 4268 	-6.5 
 11.51 	 1.15 	 124.1 	 23.89 	 35 	 6.228 	 197.1 	 299 	 229 	 197 	 4266 	-6.8 
 11.72 	 1.17 	 124.2 	 24.57 	 36 	 6.281 	 197.4 	 300 	 228 	 197 	 4268 	-6.8 
 11.92 	 1.19 	 124.2 	 25.6 	 37 	 6.36 	 197.5 	 300 	 228 	 196 	 4267 	-7.1 
 12.12 	 1.21 	 124.3 	 25.87 	 37 	 6.394 	 197.2 	 299 	 228 	 196 	 4266 	-6.5 
 12.32 	 1.23 	 124.4 	 26.48 	 37 	 6.427 	 197.6 	 300 	 227 	 196 	 4267 	-6.9 
 12.52 	 1.25 	 124.4 	 26.6 	 39 	 6.447 	 197.2 	 300 	 227 	 196 	 4270 	-6.9 
 12.73 	 1.27 	 124.3 	 27.06 	 39 	 6.49 	 197.5 	 300 	 227 	 196 	 4268 	-6.4 
 12.93 	 1.29 	 124.5 	 27.32 	 39 	 6.52 	 197.6 	 300 	 227 	 195 	 4266 	-6.8 
 13.13 	 1.31 	 124.4 	 27.34 	 39 	 6.533 	 197.2 	 300 	 227 	 195 	 4266 	-7 
 13.33 	 1.33 	 124.4 	 27.21 	 39 	 6.55 	 197.4 	 300 	 227 	 196 	 4266 	-6.9 
 13.53 	 1.35 	 124.4 	 27.13 	 38 	 6.569 	 197.2 	 300 	 227 	 195 	 4268 	-6.8 
 13.74 	 1.37 	 124.5 	 27.24 	 38 	 6.583 	 197.2 	 300 	 227 	 195 	 4267 	-6.8 
 13.94 	 1.39 	 124.5 	 27.05 	 38 	 6.578 	 197.3 	 300 	 227 	 195 	 4266 	-6.8 
