时间(S)	轴位移(mm)	力(kN)	力(kPa)	变形(mm)	 侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(kPa)	小体变(ml)
0.0	 99.9 	 10.66 	 151 	-6.719 	 0 	 300 	 295 	 258 	 1088 	-6.6 
 .5 	 100.1 	 10.77 	 .15 	-6.71 	 135 	 300 	 295 	 258 	 1090 	-6.8 
 1 	 100 	 10.78 	 .15 	-6.715 	 135 	 300 	 295 	 258 	 1089 	-6.8 
 1.5 	 100 	 10.75 	 .15 	-6.734 	 135 	 300 	 295 	 258 	 1088 	-7.1 
 2 	 100 	 10.73 	 .15 	-6.718 	 135 	 300 	 295 	 258 	 1089 	-6.6 
 2.5 	 99.9 	 10.83 	 .16 	-6.709 	 135 	 300 	 295 	 258 	 1087 	-6.8 
 3 	 100 	 10.67 	 .15 	-6.715 	 135 	 300 	 295 	 258 	 1092 	-6.9 
 3.5 	 100 	 10.78 	 .15 	-6.71 	 135 	 301 	 295 	 258 	 1090 	-6.8 
 4 	 100 	 10.75 	 .15 	-6.717 	 135 	 300 	 295 	 258 	 1089 	-6.8 
 4.5 	 100 	 10.74 	 .15 	-6.722 	 135 	 300 	 295 	 258 	 1089 	-6.8 
 5 	 99.9 	 10.72 	 .15 	-6.726 	 135 	 300 	 295 	 258 	 1089 	-6.5 
 5.5 	 99.9 	 10.79 	 .15 	-6.704 	 135 	 300 	 295 	 258 	 1089 	-6.8 
 6 	 99.9 	 10.84 	 .15 	-6.727 	 135 	 300 	 295 	 258 	 1087 	-6.6 
 6.5 	 100 	 10.92 	 .15 	-6.721 	 135 	 300 	 296 	 258 	 1088 	-6.5 
 7 	 99.9 	 11.06 	 .16 	-6.723 	 135 	 300 	 295 	 257 	 1089 	-6.8 
 7.5 	 99.9 	 11.04 	 .16 	-6.716 	 135 	 300 	 295 	 259 	 1089 	-7 
 8 	 100 	 11.27 	 .16 	-6.717 	 135 	 300 	 295 	 258 	 1089 	-7 
 8.5 	 100 	 11.31 	 .16 	-6.707 	 135 	 301 	 295 	 258 	 1088 	-6.6 
 9 	 99.9 	 11.37 	 .16 	-6.759 	 135 	 300 	 295 	 258 	 1090 	-6.9 
 9.5 	 100 	 11.38 	 .16 	-6.733 	 135 	 300 	 295 	 258 	 1088 	-6.8 
 10 	 99.9 	 11.49 	 .16 	-6.739 	 135 	 301 	 295 	 258 	 1091 	-6.6 
 10.5 	 99.9 	 11.53 	 .16 	-6.727 	 135 	 300 	 296 	 258 	 1088 	-6.6 
 11 	 99.9 	 11.52 	 .16 	-6.72 	 135 	 300 	 295 	 258 	 1088 	-6.8 
 11.5 	 100 	 11.41 	 .16 	-6.707 	 135 	 300 	 295 	 258 	 1087 	-6.8 
 12 	 100 	 11.54 	 .16 	-6.717 	 135 	 301 	 295 	 258 	 1090 	-7 
 12.5 	 100 	 11.51 	 .17 	-6.715 	 134 	 300 	 295 	 259 	 1090 	-7 
 13 	 100.1 	 11.57 	 .16 	-6.711 	 135 	 300 	 295 	 258 	 1088 	-6.8 
 13.5 	 100.1 	 11.51 	 .17 	-6.718 	 135 	 300 	 295 	 258 	 1088 	-6.6 
 14 	 100 	 11.62 	 .16 	-6.721 	 135 	 300 	 295 	 258 	 1088 	-6.6 
 14.5 	 100.1 	 11.48 	 .16 	-6.722 	 135 	 300 	 296 	 259 	 1089 	-6.8 
 15 	 100 	 11.62 	 .16 	-6.719 	 135 	 301 	 295 	 258 	 1091 	-7 
 15.5 	 100 	 11.6 	 .16 	-6.704 	 135 	 301 	 295 	 259 	 1087 	-6.5 
 16 	 99.9 	 11.63 	 .16 	-6.716 	 135 	 300 	 295 	 258 	 1088 	-7 
 16.5 	 100 	 11.56 	 .16 	-6.718 	 135 	 300 	 295 	 258 	 1088 	-6.6 
 17 	 100 	 11.53 	 .16 	-6.711 	 135 	 300 	 295 	 258 	 1089 	-7 
 17.5 	 100.1 	 11.61 	 .16 	-6.709 	 135 	 300 	 295 	 258 	 1088 	-6.9 
