时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 96.3 	 21.25 	 301 	-.311 	 143 	 301 	 233 	 188 	 5403 	-6.9 
 .2 	 .02 	 96.4 	 21.25 	 30 	-.3 	 142.8 	 301 	 233 	 187 	 5405 	-6.8 
 .4 	 .04 	 96.3 	 21.33 	 30 	-.303 	 143.4 	 301 	 234 	 186 	 5404 	-6.9 
 .61 	 .06 	 96.5 	 21.45 	 31 	-.315 	 143.3 	 301 	 234 	 187 	 5406 	-6.9 
 .81 	 .08 	 96.6 	 21.73 	 31 	-.309 	 143 	 301 	 233 	 188 	 5407 	-6.9 
 1.01 	 .1 	 96.5 	 22.33 	 31 	-.281 	 143.4 	 301 	 234 	 188 	 5404 	-6.9 
 1.21 	 .12 	 96.5 	 22.75 	 33 	-.261 	 143.3 	 301 	 234 	 187 	 5405 	-6.6 
 1.41 	 .14 	 96.4 	 23.61 	 34 	-.213 	 143.4 	 301 	 234 	 187 	 5403 	-6.5 
 1.62 	 .16 	 96.6 	 24.03 	 35 	-.207 	 143.7 	 301 	 234 	 187 	 5406 	-6.5 
 1.82 	 .18 	 96.3 	 24.4 	 36 	-.183 	 142.7 	 301 	 234 	 187 	 5403 	-6.6 
 2.02 	 .2 	 96.5 	 25.24 	 36 	-.148 	 143.2 	 301 	 234 	 188 	 5404 	-6.8 
 2.22 	 .22 	 96.3 	 25.62 	 37 	-.122 	 143.5 	 301 	 234 	 188 	 5405 	-6.6 
 2.42 	 .24 	 96.5 	 25.9 	 36 	-.122 	 142.7 	 301 	 234 	 188 	 5405 	-6.8 
 2.63 	 .26 	 96.4 	 25.93 	 37 	-.128 	 143.5 	 300 	 234 	 188 	 5403 	-6.6 
 2.83 	 .28 	 96.5 	 26.32 	 37 	-.106 	 143 	 301 	 234 	 188 	 5402 	-7 
 3.03 	 .3 	 96.7 	 26.34 	 37 	-.065 	 142.8 	 300 	 234 	 188 	 5402 	-6.8 
 3.23 	 .32 	 96.7 	 26.3 	 37 	-.085 	 143.3 	 300 	 234 	 189 	 5404 	-6.4 
 3.43 	 .34 	 96.6 	 26.4 	 37 	-.062 	 142.6 	 301 	 234 	 188 	 5403 	-6.6 
 3.64 	 .36 	 96.6 	 26.33 	 38 	-.057 	 143.2 	 301 	 234 	 188 	 5408 	-6.6 
 3.84 	 .38 	 96.4 	 26.27 	 37 	-.048 	 143.3 	 301 	 235 	 188 	 5403 	-6.8 
 4.04 	 .4 	 96.3 	 26.29 	 37 	-.057 	 142.5 	 301 	 234 	 188 	 5404 	-7 
 4.24 	 .42 	 96.5 	 26.2 	 38 	-.05 	 143.6 	 301 	 234 	 188 	 5404 	-6.6 
 4.44 	 .44 	 96.3 	 25.94 	 36 	-.049 	 143.5 	 300 	 233 	 188 	 5404 	-7 
 4.65 	 .46 	 96.6 	 25.62 	 35 	-.052 	 143.4 	 300 	 235 	 188 	 5405 	-6.6 
 4.85 	 .48 	 96.6 	 24.56 	 35 	-.082 	 143.4 	 301 	 234 	 188 	 5404 	-6.3 
 5.05 	 .5 	 96.6 	 24.11 	 34 	-.094 	 142.9 	 302 	 234 	 187 	 5404 	-6.6 
 5.25 	 .52 	 96.8 	 23.39 	 33 	-.112 	 143.3 	 301 	 233 	 188 	 5402 	-7 
 5.45 	 .54 	 96.6 	 22.19 	 31 	-.145 	 143 	 302 	 233 	 187 	 5405 	-6.6 
 5.66 	 .56 	 96.5 	 21.74 	 30 	-.179 	 143.2 	 301 	 233 	 187 	 5405 	-6.5 
 5.86 	 .58 	 96.4 	 21.13 	 29 	-.2 	 143.6 	 301 	 234 	 187 	 5404 	-6.8 
 6.06 	 .6 	 96.4 	 20.65 	 28 	-.225 	 143 	 301 	 233 	 187 	 5405 	-6.9 
 6.26 	 .62 	 96.3 	 19.48 	 27 	-.274 	 143.3 	 301 	 232 	 187 	 5404 	-6.8 
 6.46 	 .64 	 96.5 	 19.03 	 26 	-.296 	 143.5 	 302 	 233 	 187 	 5404 	-6.5 
 6.67 	 .66 	 96.1 	 18.54 	 25 	-.338 	 142.7 	 302 	 233 	 187 	 5403 	-6.4 
 6.87 	 .68 	 96.4 	 17.63 	 25 	-.377 	 143.4 	 301 	 233 	 187 	 5404 	-6.6 
 7.07 	 .7 	 96.3 	 17.22 	 24 	-.386 	 143.1 	 301 	 232 	 187 	 5402 	-6.6 
 7.27 	 .72 	 96.3 	 16.77 	 24 	-.409 	 142.5 	 302 	 232 	 186 	 5404 	-6.8 
