时间,振次,轴位移,力,变形,围压,孔压,反压,sigma_d,epsilon_d,d1,pore_pressure,back_pressure
0.0,0.0,96.8,21.36,0.455,301.0,236.0,192.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02,96.8,21.37,0.461,301.0,236.0,192.0,0.1414710605261513,1.000000000000001e-05,0.0,0.0,0.0
0.4,0.04,96.9,21.29,0.469,302.0,237.0,191.0,-0.9902974236829083,2.333333333333326e-05,0.00016666666666668086,1.0,-1.0
0.61,0.06,96.9,21.78,0.44,301.0,237.0,192.0,5.94178454209745,-2.500000000000002e-05,0.00016666666666668086,1.0,0.0
0.81,0.08,97.0,22.02,0.455,301.0,236.0,192.0,9.33708999472453,0.0,0.0003333333333333381,0.0,0.0
1.01,0.1,97.1,22.78,0.506,301.0,236.0,192.0,20.088890594710367,8.499999999999998e-05,0.0004999999999999952,0.0,0.0
1.21,0.12,97.3,23.68,0.527,301.0,237.0,192.0,32.82128604206198,0.00012000000000000002,0.0008333333333333334,1.0,0.0
1.41,0.14,97.1,23.92,0.568,300.0,237.0,192.0,36.216591494689105,0.0001883333333333332,0.0004999999999999952,1.0,0.0
1.62,0.16,97.4,24.66,0.598,301.0,237.0,192.0,46.68544997362264,0.00023833333333333326,0.0010000000000000141,1.0,0.0
1.82,0.18,97.2,25.63,0.632,301.0,237.0,193.0,60.408142844657156,0.00029499999999999996,0.0006666666666666762,1.0,1.0
2.02,0.2,97.3,26.36,0.675,301.0,237.0,193.0,70.73553026306459,0.0003666666666666667,0.0008333333333333334,1.0,1.0
2.22,0.22,97.3,26.85,0.6729999999999999,301.0,237.0,193.0,77.66761222884496,0.0003633333333333332,0.0008333333333333334,1.0,1.0
2.42,0.24,97.1,27.37,0.6920000000000001,301.0,236.0,193.0,85.02410737620366,0.00039500000000000006,0.0004999999999999952,0.0,1.0
2.63,0.26,97.3,27.45,0.726,301.0,237.0,193.0,86.15587586041268,0.0004516666666666666,0.0008333333333333334,1.0,1.0
