时间,振次,轴位移,力,变形,围压,孔压,反压,sigma_d,epsilon_d,d1,pore_pressure,back_pressure
0.0,0.0,98.4,21.31,2.476,302.0,243.0,203.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02,98.5,21.28,2.478,301.0,244.0,202.0,-0.4244131815783534,3.3333333333337064e-06,0.0001666666666666572,1.0,-1.0
0.4,0.04,98.6,21.28,2.468,301.0,243.0,202.0,-0.4244131815783534,-1.3333333333333345e-05,0.0003333333333333144,0.0,-1.0
0.61,0.06,98.6,21.98,2.474,301.0,244.0,202.0,9.47856105525068,-3.333333333332966e-06,0.0003333333333333144,1.0,-1.0
0.81,0.08,98.6,22.72,2.497,301.0,244.0,203.0,19.947419534184217,3.499999999999985e-05,0.0003333333333333144,1.0,0.0
1.01,0.1,98.6,23.38,2.562,302.0,244.0,202.0,29.284509528908746,0.0001433333333333331,0.0003333333333333144,1.0,-1.0
1.21,0.12,98.8,24.02,2.605,301.0,243.0,203.0,38.33865740258102,0.000215,0.0006666666666666524,0.0,0.0
1.41,0.14,99.0,25.78,2.679,301.0,244.0,201.0,63.23756405517978,0.00033833333333333306,0.0009999999999999905,1.0,-2.0
1.62,0.16,98.9,26.68,2.745,302.0,244.0,202.0,75.96995950253138,0.00044833333333333357,0.0008333333333333334,1.0,-1.0
1.82,0.18,99.1,27.36,2.779,301.0,244.0,203.0,85.58999161830816,0.0005049999999999999,0.0011666666666666477,1.0,0.0
2.02,0.2,98.9,28.81,2.8489999999999998,301.0,243.0,201.0,106.10329539459688,0.0006216666666666663,0.0008333333333333334,0.0,-2.0
2.22,0.22,99.0,29.39,2.9,302.0,242.0,202.0,114.30861690511242,0.0007066666666666665,0.0009999999999999905,-1.0,-1.0
2.42,0.24,99.0,29.88,2.925,302.0,243.0,201.0,121.24069887089271,0.0007483333333333331,0.0009999999999999905,0.0,-2.0
2.63,0.26,98.9,29.99,2.945,302.0,242.0,201.0,122.79688053668013,0.0007816666666666664,0.0008333333333333334,-1.0,-2.0
2.83,0.28,98.8,30.58,2.987,302.0,243.0,202.0,131.14367310772175,0.0008516666666666669,0.0006666666666666524,0.0,-1.0
3.03,0.3,99.0,30.51,2.989,302.0,242.0,200.0,130.1533756840389,0.0008549999999999999,0.0009999999999999905,-1.0,-3.0
3.23,0.32,98.7,30.72,2.98,302.0,242.0,201.0,133.12426795508756,0.00084,0.0004999999999999952,-1.0,-2.0
3.43,0.34,98.8,30.4,3.0060000000000002,302.0,243.0,201.0,128.59719401825143,0.0008833333333333337,0.0006666666666666524,0.0,-2.0
3.64,0.36,98.9,30.42,3.016,301.0,243.0,201.0,128.88013613930374,0.0009000000000000001,0.0008333333333333334,0.0,-2.0
3.84,0.38,99.1,30.39,3.0189999999999997,302.0,242.0,201.0,128.45572295772533,0.0009049999999999996,0.0011666666666666477,-1.0,-2.0
4.04,0.4,99.0,29.87,3.016,302.0,243.0,201.0,121.09922781036661,0.0009000000000000001,0.0009999999999999905,0.0,-2.0
4.24,0.42,99.0,29.54,3.0239999999999996,302.0,241.0,201.0,116.43068281300432,0.0009133333333333326,0.0009999999999999905,-2.0,-2.0
4.44,0.44,99.2,28.72,3.0010000000000003,301.0,242.0,201.0,104.83005584986174,0.0008750000000000006,0.0013333333333333285,-1.0,-2.0
4.65,0.46,99.1,27.98,2.978,301.0,242.0,201.0,94.3611973709282,0.0008366666666666671,0.0011666666666666477,-1.0,-2.0
4.85,0.48,99.1,25.79,2.9139999999999997,302.0,242.0,201.0,63.37903511570588,0.0007299999999999995,0.0011666666666666477,-1.0,-2.0
5.05,0.5,99.1,24.88,2.892,301.0,242.0,200.0,50.505168607828125,0.0006933333333333332,0.0011666666666666477,-1.0,-3.0
5.25,0.52,98.9,24.12,2.8569999999999998,302.0,242.0,201.0,39.75336800784233,0.0006349999999999996,0.0008333333333333334,-1.0,-2.0
5.45,0.54,98.7,21.98,2.7710000000000004,302.0,241.0,200.0,9.47856105525068,0.0004916666666666673,0.0004999999999999952,-2.0,-3.0
5.66,0.56,98.7,21.07,2.7310000000000003,302.0,242.0,200.0,-3.3953054526270785,0.00042500000000000057,0.0004999999999999952,-1.0,-3.0
5.86,0.58,98.6,20.04,2.6719999999999997,301.0,242.0,200.0,-17.966824686818402,0.00032666666666666624,0.0003333333333333144,-1.0,-3.0
6.06,0.6,98.6,19.1,2.6430000000000002,301.0,241.0,201.0,-31.26510437627451,0.0002783333333333338,0.0003333333333333144,-2.0,-2.0
6.26,0.62,98.5,17.37,2.522,302.0,241.0,200.0,-55.73959784729487,7.666666666666637e-05,0.0001666666666666572,-2.0,-3.0
6.46,0.64,98.6,16.71,2.458,301.0,242.0,201.0,-65.0766878420194,-2.9999999999999655e-05,0.0003333333333333144,-1.0,-2.0
6.67,0.66,98.5,15.91,2.403,302.0,241.0,199.0,-76.39437268410974,-0.00012166666666666658,0.0001666666666666572,-2.0,-4.0
6.87,0.68,98.5,14.48,2.2840000000000003,302.0,242.0,200.0,-96.6247343393462,-0.00031999999999999954,0.0001666666666666572,-1.0,-3.0
7.07,0.7,98.6,14.0,2.208,302.0,242.0,200.0,-103.41534524460042,-0.00044666666666666634,0.0003333333333333144,-1.0,-3.0
7.27,0.72,98.5,13.48,2.153,302.0,242.0,200.0,-110.77184039195913,-0.0005383333333333333,0.0001666666666666572,-1.0,-3.0
7.47,0.74,98.4,13.11,2.106,301.0,242.0,202.0,-116.00626963142592,-0.0006166666666666668,0.0,-1.0,-1.0
7.68,0.76,98.2,12.42,1.9869999999999999,301.0,242.0,201.0,-125.76777280772883,-0.0008150000000000002,-0.0003333333333333381,-1.0,-2.0
7.88,0.78,98.4,12.25,1.945,301.0,242.0,201.0,-128.172780836673,-0.0008849999999999998,0.0,-1.0,-2.0
8.08,0.8,98.4,12.17,1.9180000000000001,301.0,242.0,201.0,-129.30454932088205,-0.0009299999999999997,0.0,-1.0,-2.0
8.28,0.82,98.3,12.01,1.869,302.0,242.0,201.0,-131.56808628930014,-0.0010116666666666666,-0.00016666666666668086,-1.0,-2.0
8.48,0.84,98.2,11.92,1.854,302.0,243.0,201.0,-132.8413258340353,-0.0010366666666666664,-0.0003333333333333381,0.0,-2.0
8.69,0.86,98.2,11.84,1.868,301.0,243.0,201.0,-133.97309431824434,-0.001013333333333333,-0.0003333333333333381,0.0,-2.0
8.89,0.88,98.2,11.95,1.869,302.0,242.0,202.0,-132.41691265245692,-0.0010116666666666666,-0.0003333333333333381,-1.0,-1.0
9.09,0.9,98.2,12.13,1.874,302.0,242.0,201.0,-129.87043356298656,-0.001003333333333333,-0.0003333333333333381,-1.0,-2.0
9.29,0.92,97.9,12.23,1.8840000000000001,301.0,243.0,202.0,-128.45572295772527,-0.0009866666666666665,-0.0008333333333333334,0.0,-1.0
9.49,0.94,98.2,12.84,1.923,301.0,243.0,202.0,-119.82598826563141,-0.0009216666666666666,-0.0003333333333333381,0.0,-1.0
9.7,0.96,98.2,14.61,2.012,301.0,244.0,202.0,-94.78561055250654,-0.0007733333333333332,-0.0003333333333333381,1.0,-1.0
9.9,0.99,98.3,15.39,2.051,301.0,243.0,202.0,-83.75086783146845,-0.0007083333333333331,-0.00016666666666668086,0.0,-1.0
