时间,振次,轴位移,力,变形,围压,孔压,反压,sigma_d,epsilon_d,d1,pore_pressure,back_pressure
0.0,0.0,99.3,21.17,3.135,301.0,245.0,205.0,0.0,0.0,0.0,0.0,0.0
0.2,0.02,99.2,21.25,3.153,301.0,247.0,206.0,1.1317684842090094,3.0000000000000397e-05,-0.0001666666666666572,2.0,1.0
0.4,0.04,99.4,21.49,3.142,302.0,246.0,205.0,4.5270739368360875,1.1666666666666863e-05,0.00016666666666668086,1.0,0.0
0.61,0.06,99.1,21.78,3.15,301.0,246.0,205.0,8.629734692093873,2.5000000000000208e-05,-0.0003333333333333381,1.0,0.0
0.81,0.08,99.5,22.47,3.1719999999999997,301.0,247.0,205.0,18.391237868396754,6.166666666666653e-05,0.0003333333333333381,2.0,0.0
1.01,0.1,99.5,23.43,3.196,302.0,246.0,204.0,31.972459678905167,0.00010166666666666732,0.0003333333333333381,1.0,-1.0
1.21,0.12,99.3,25.07,3.323,302.0,246.0,204.0,55.173713605190365,0.0003133333333333336,0.0,1.0,-1.0
1.41,0.14,99.4,25.78,3.375,302.0,246.0,204.0,65.21815890254555,0.00040000000000000034,0.00016666666666668086,1.0,-1.0
1.62,0.16,99.3,26.98,3.424,301.0,245.0,205.0,82.19468616568103,0.0004816666666666669,0.0,0.0,0.0
1.82,0.18,99.3,28.4,3.5210000000000004,301.0,246.0,204.0,102.28357676039136,0.0006433333333333343,0.0,1.0,-1.0
2.02,0.2,99.4,29.1,3.565,300.0,245.0,204.0,112.18655099722044,0.0007166666666666669,0.00016666666666668086,0.0,-1.0
2.22,0.22,99.4,29.77,3.6010000000000004,302.0,245.0,204.0,121.66511205247107,0.0007766666666666677,0.00016666666666668086,0.0,-1.0
2.42,0.24,99.4,30.36,3.638,302.0,245.0,204.0,130.0119046235127,0.0008383333333333335,0.00016666666666668086,0.0,-1.0
2.63,0.26,99.4,31.01,3.687,302.0,244.0,204.0,139.2075235577111,0.00092,0.00016666666666668086,-1.0,-1.0
2.83,0.28,99.6,31.25,3.6919999999999997,302.0,244.0,204.0,142.60282901033818,0.0009283333333333332,0.0004999999999999952,-1.0,-1.0
3.03,0.3,99.7,31.26,3.7030000000000003,302.0,244.0,203.0,142.74430007086434,0.0009466666666666675,0.0006666666666666762,-1.0,-2.0
3.23,0.32,99.6,31.36,3.738,302.0,244.0,203.0,144.1590106761256,0.0010050000000000003,0.0004999999999999952,-1.0,-2.0
3.43,0.34,99.7,31.36,3.736,302.0,244.0,203.0,144.1590106761256,0.0010016666666666674,0.0006666666666666762,-1.0,-2.0
3.64,0.36,99.7,31.17,3.747,302.0,244.0,203.0,141.47106052612918,0.00102,0.0006666666666666762,-1.0,-2.0
3.84,0.38,99.7,30.92,3.745,302.0,244.0,203.0,137.93428401297595,0.0010166666666666672,0.0006666666666666762,-1.0,-2.0
