时间,振次,轴位移,力,变形,围压,孔压,反压
0.0,0.0,141.2,21.33,-6.906000000000001,300,192,171
0.2,0.02,141.1,21.24,-6.91,300,192,171
0.4,0.04,141.1,21.19,-6.904,300,192,171
0.61,0.06,141.1,22.63,-6.909,300,193,172
0.81,0.08,141.1,23.68,-6.904,300,192,172
1.01,0.1,141.2,24.61,-6.904,300,193,172
1.21,0.12,141.2,25.61,-6.9239999999999995,299,193,172
1.41,0.14,141.4,27.71,-6.9239999999999995,299,194,172
1.62,0.16,141.4,28.53,-6.919,299,194,173
1.82,0.18,141.5,29.46,-6.921,299,194,173
2.02,0.2,141.6,31.34,-6.917999999999999,298,195,173
2.22,0.22,141.7,31.9,-6.928,299,194,173
2.42,0.24,141.8,32.79,-6.9239999999999995,299,194,173
2.63,0.26,141.9,33.15,-6.9270000000000005,299,194,173
2.83,0.28,142.0,34.11,-6.905,299,194,173
3.03,0.3,142.0,34.16,-6.94,300,194,174
3.23,0.32,142.1,34.37,-6.926,299,194,173
3.43,0.34,142.1,34.41,-6.9079999999999995,299,195,173
3.64,0.36,142.1,34.06,-6.9239999999999995,299,194,173
3.84,0.38,142.1,33.72,-6.917999999999999,299,194,174
4.04,0.4,142.1,33.65,-6.912000000000001,299,194,173
4.24,0.42,142.1,33.2,-6.919,300,194,173
4.44,0.44,142.1,31.23,-6.895,299,194,173
4.65,0.46,142.1,30.08,-6.877000000000001,299,194,173
4.85,0.48,142.0,28.78,-6.896,299,194,174
5.05,0.5,141.9,25.95,-6.917000000000001,299,194,174
5.25,0.52,141.9,24.81,-6.921,299,194,173
5.45,0.54,141.9,23.22,-6.902,299,194,173
5.66,0.56,141.8,20.53,-6.905,298,195,174
5.86,0.58,141.8,19.51,-6.915,299,195,174
6.06,0.6,141.7,18.3,-6.912000000000001,299,195,174
6.26,0.62,141.7,17.11,-6.916,298,196,174
6.46,0.64,141.5,15.03,-6.894,299,197,176
6.67,0.66,141.4,13.98,-6.909,298,197,176
6.87,0.68,141.3,13.37,-6.9110000000000005,299,198,177
7.07,0.7,141.0,11.8,-6.898,298,200,178
7.27,0.72,140.8,11.48,-6.901,298,200,179
7.47,0.74,140.8,11.17,-6.922000000000001,297,201,180
7.68,0.76,140.6,10.92,-6.905,298,202,181
7.88,0.78,140.4,10.48,-6.917999999999999,298,204,183
8.08,0.8,140.3,10.46,-6.894,300,205,184
8.28,0.82,140.3,10.16,-6.9110000000000005,298,205,184
8.48,0.84,140.1,10.1,-6.905,299,207,184
