时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 141.2 	 21.33 	 302 	-6.906 	 135.8 	 300 	 192 	 171 	 4978 	-9 
 .2 	 .02 	 141.1 	 21.24 	 30 	-6.91 	 136.1 	 300 	 192 	 171 	 4981 	-9.1 
 .4 	 .04 	 141.1 	 21.19 	 32 	-6.904 	 136 	 300 	 192 	 171 	 4978 	-8.9 
 .61 	 .06 	 141.1 	 22.63 	 33 	-6.909 	 136.1 	 300 	 193 	 172 	 4978 	-8.9 
 .81 	 .08 	 141.1 	 23.68 	 35 	-6.904 	 135.9 	 300 	 192 	 172 	 4982 	-9.1 
 1.01 	 .1 	 141.2 	 24.61 	 37 	-6.904 	 135 	 300 	 193 	 172 	 4979 	-9 
 1.21 	 .12 	 141.2 	 25.61 	 38 	-6.924 	 135.6 	 299 	 193 	 172 	 4982 	-8.8 
 1.41 	 .14 	 141.4 	 27.71 	 40 	-6.924 	 135.7 	 299 	 194 	 172 	 4981 	-9.3 
 1.62 	 .16 	 141.4 	 28.53 	 42 	-6.919 	 135.3 	 299 	 194 	 173 	 4980 	-9 
 1.82 	 .18 	 141.5 	 29.46 	 44 	-6.921 	 135.5 	 299 	 194 	 173 	 4980 	-8.9 
 2.02 	 .2 	 141.6 	 31.34 	 46 	-6.918 	 135.6 	 298 	 195 	 173 	 4981 	-9 
 2.22 	 .22 	 141.7 	 31.9 	 46 	-6.928 	 135.3 	 299 	 194 	 173 	 4980 	-8.6 
 2.42 	 .24 	 141.8 	 32.79 	 46 	-6.924 	 135.2 	 299 	 194 	 173 	 4978 	-8.9 
 2.63 	 .26 	 141.9 	 33.15 	 48 	-6.927 	 135.6 	 299 	 194 	 173 	 4979 	-9 
 2.83 	 .28 	 142 	 34.11 	 48 	-6.905 	 136.1 	 299 	 194 	 173 	 4980 	-8.9 
 3.03 	 .3 	 142 	 34.16 	 49 	-6.94 	 135.5 	 300 	 194 	 174 	 4981 	-9.3 
 3.23 	 .32 	 142.1 	 34.37 	 49 	-6.926 	 135.5 	 299 	 194 	 173 	 4983 	-9 
