时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 97 	 21.41 	 303 	 .056 	 143.5 	 302 	 235 	 190 	 5406 	-6.9 
 .2 	 .02 	 96.9 	 21.31 	 30 	 .042 	 143.3 	 301 	 234 	 190 	 5404 	-7 
 .4 	 .04 	 96.8 	 21.28 	 30 	 .051 	 142.9 	 301 	 235 	 190 	 5404 	-6.4 
 .61 	 .06 	 96.7 	 21.49 	 31 	 .057 	 143.3 	 301 	 235 	 189 	 5404 	-6.6 
 .81 	 .08 	 96.6 	 21.8 	 31 	 .058 	 144.1 	 301 	 235 	 190 	 5402 	-6.9 
 1.01 	 .1 	 96.6 	 22.6 	 33 	 .099 	 142.7 	 302 	 235 	 190 	 5404 	-6.8 
 1.21 	 .12 	 96.6 	 23.04 	 33 	 .11 	 143.3 	 302 	 235 	 189 	 5406 	-6.8 
 1.41 	 .14 	 96.6 	 23.52 	 34 	 .127 	 143.9 	 301 	 235 	 189 	 5401 	-6.1 
 1.62 	 .16 	 96.6 	 24.33 	 35 	 .16 	 142.7 	 301 	 235 	 189 	 5404 	-6.8 
 1.82 	 .18 	 96.7 	 25.14 	 36 	 .207 	 143.5 	 301 	 235 	 190 	 5407 	-6.8 
 2.02 	 .2 	 96.9 	 25.61 	 37 	 .226 	 143.2 	 301 	 235 	 190 	 5405 	-6.1 
 2.22 	 .22 	 96.8 	 25.93 	 37 	 .238 	 143.1 	 301 	 235 	 190 	 5405 	-6.5 
 2.42 	 .24 	 96.8 	 26.5 	 37 	 .284 	 143.7 	 301 	 236 	 190 	 5404 	-6.9 
 2.63 	 .26 	 97 	 26.85 	 37 	 .287 	 143.1 	 301 	 236 	 190 	 5403 	-6.4 
 2.83 	 .28 	 96.9 	 26.94 	 38 	 .301 	 143.6 	 301 	 235 	 190 	 5405 	-6.3 
 3.03 	 .3 	 97 	 27.2 	 38 	 .307 	 143.3 	 301 	 235 	 190 	 5406 	-7 
 3.23 	 .32 	 96.8 	 27.04 	 38 	 .323 	 142.9 	 301 	 235 	 190 	 5406 	-6.5 
 3.43 	 .34 	 96.8 	 26.97 	 38 	 .331 	 143.4 	 301 	 234 	 189 	 5403 	-6.8 
 3.64 	 .36 	 96.7 	 26.96 	 38 	 .341 	 142.8 	 301 	 235 	 190 	 5405 	-7.1 
 3.84 	 .38 	 96.7 	 26.91 	 37 	 .336 	 143.4 	 301 	 235 	 190 	 5405 	-6.6 
 4.04 	 .4 	 96.7 	 26.94 	 38 	 .341 	 143.5 	 301 	 235 	 189 	 5405 	-7 
 4.24 	 .42 	 96.9 	 26.73 	 37 	 .319 	 142.5 	 301 	 235 	 190 	 5404 	-6.6 
 4.44 	 .44 	 96.9 	 26.22 	 38 	 .336 	 144.2 	 301 	 235 	 190 	 5405 	-6.5 
 4.65 	 .46 	 96.9 	 25.92 	 35 	 .337 	 143.5 	 301 	 235 	 191 	 5406 	-7.1 
 4.85 	 .48 	 96.9 	 25.28 	 35 	 .311 	 143.5 	 301 	 236 	 189 	 5402 	-6.8 
 5.05 	 .5 	 96.9 	 24.51 	 34 	 .301 	 143.3 	 301 	 235 	 190 	 5406 	-7.1 
 5.25 	 .52 	 97 	 23.28 	 32 	 .255 	 142.7 	 301 	 235 	 190 	 5404 	-6.8 
 5.45 	 .54 	 97 	 22.58 	 30 	 .217 	 143.8 	 301 	 234 	 189 	 5403 	-6.6 
 5.66 	 .56 	 96.8 	 21.73 	 30 	 .198 	 143.4 	 301 	 235 	 189 	 5404 	-6.8 
 5.86 	 .58 	 96.6 	 20.6 	 29 	 .114 	 142.7 	 302 	 235 	 189 	 5402 	-6.9 
 6.06 	 .6 	 96.6 	 19.96 	 28 	 .098 	 143.8 	 301 	 234 	 190 	 5404 	-6.6 
 6.26 	 .62 	 96.4 	 19.43 	 26 	 .064 	 142.9 	 301 	 234 	 190 	 5404 	-6.6 
 6.46 	 .64 	 96.3 	 18.25 	 25 	 .016 	 143.7 	 302 	 234 	 189 	 5405 	-6.6 
 6.67 	 .66 	 96.5 	 17.7 	 24 	-.03 	 143.5 	 302 	 234 	 189 	 5405 	-7 
 6.87 	 .68 	 96.6 	 17.2 	 24 	-.038 	 143 	 302 	 234 	 188 	 5408 	-6.6 
 7.07 	 .7 	 96.7 	 16.91 	 23 	-.058 	 143.9 	 301 	 234 	 189 	 5406 	-6.3 
 7.27 	 .72 	 96.8 	 16.08 	 22 	-.12 	 143.3 	 301 	 233 	 188 	 5404 	-6.6 
 7.47 	 .74 	 96.7 	 15.76 	 22 	-.138 	 143.2 	 302 	 234 	 188 	 5405 	-7 
 7.68 	 .76 	 96.6 	 15.62 	 22 	-.15 	 143.8 	 301 	 233 	 188 	 5403 	-6.9 
 7.88 	 .78 	 96.7 	 15.19 	 22 	-.177 	 143.6 	 302 	 234 	 188 	 5407 	-6.5 
 8.08 	 .8 	 96.5 	 15.34 	 22 	-.195 	 143.5 	 302 	 233 	 189 	 5405 	-6.6 
 8.28 	 .82 	 96.5 	 15.24 	 22 	-.199 	 143.2 	 302 	 234 	 189 	 5405 	-6.6 
 8.48 	 .84 	 96.5 	 15.22 	 21 	-.193 	 143.4 	 301 	 234 	 189 	 5403 	-6.6 
 8.69 	 .86 	 96.3 	 15.22 	 21 	-.217 	 143.6 	 301 	 234 	 189 	 5402 	-6.6 
 8.89 	 .88 	 96.4 	 15.27 	 22 	-.193 	 143 	 301 	 234 	 188 	 5405 	-7 
 9.09 	 .9 	 96.5 	 15.14 	 22 	-.205 	 143.4 	 301 	 234 	 189 	 5404 	-6.5 
 9.29 	 .92 	 96.3 	 15.46 	 22 	-.21 	 143.4 	 301 	 233 	 189 	 5403 	-5.9 
 9.49 	 .94 	 96.6 	 15.94 	 23 	-.183 	 142.9 	 302 	 234 	 189 	 5405 	-7 
 9.7 	 .96 	 96.5 	 16.3 	 24 	-.167 	 144.1 	 301 	 234 	 189 	 5404 	-6.9 
 9.9 	 .99 	 96.6 	 16.88 	 26 	-.139 	 142.8 	 301 	 235 	 189 	 5403 	-6.8 
 10.1 	 1.01 	 96.7 	 18.52 	 27 	-.048 	 143.1 	 301 	 235 	 189 	 5405 	-7.1 
 10.3 	 1.03 	 96.8 	 19.1 	 28 	-.026 	 143.6 	 301 	 235 	 190 	 5406 	-6.8 
 10.5 	 1.05 	 96.8 	 19.73 	 30 	 0 	 143 	 300 	 235 	 190 	 5406 	-6.6 
 10.71 	 1.07 	 96.6 	 21.15 	 30 	 .059 	 144.3 	 301 	 235 	 190 	 5405 	-7 
 10.91 	 1.09 	 96.7 	 21.86 	 32 	 .084 	 143.2 	 301 	 236 	 191 	 5407 	-6.5 
 11.11 	 1.11 	 96.8 	 22.46 	 33 	 .14 	 143.2 	 301 	 235 	 190 	 5406 	-6.8 
 11.31 	 1.13 	 96.6 	 23.84 	 34 	 .214 	 143.6 	 301 	 235 	 190 	 5407 	-6.8 
 11.51 	 1.15 	 96.8 	 24.45 	 35 	 .225 	 143.1 	 301 	 236 	 190 	 5404 	-6.6 
 11.72 	 1.17 	 96.6 	 25.13 	 36 	 .251 	 143.4 	 300 	 235 	 191 	 5407 	-6.9 
 11.92 	 1.19 	 96.7 	 25.57 	 36 	 .283 	 143.5 	 301 	 235 	 190 	 5406 	-6.6 
 12.12 	 1.21 	 97.1 	 26.31 	 37 	 .324 	 142.9 	 301 	 236 	 190 	 5404 	-6.8 
 12.32 	 1.23 	 97 	 26.52 	 38 	 .35 	 144 	 301 	 235 	 190 	 5403 	-6.1 
 12.52 	 1.25 	 96.7 	 27 	 38 	 .363 	 143.2 	 301 	 236 	 190 	 5403 	-6.5 
 12.73 	 1.27 	 97.1 	 27.2 	 38 	 .386 	 143.5 	 301 	 235 	 190 	 5406 	-6.9 
 12.93 	 1.29 	 96.8 	 27.25 	 39 	 .398 	 143.7 	 301 	 236 	 190 	 5407 	-6.6 
 13.13 	 1.31 	 97.1 	 27.34 	 38 	 .407 	 142.7 	 301 	 236 	 191 	 5408 	-6.6 
 13.33 	 1.33 	 97 	 27.44 	 39 	 .403 	 143.6 	 301 	 235 	 191 	 5406 	-6.5 
 13.53 	 1.35 	 96.9 	 27.15 	 38 	 .421 	 143.2 	 301 	 235 	 190 	 5406 	-6.5 
 13.74 	 1.37 	 97 	 27.43 	 38 	 .412 	 143 	 300 	 235 	 190 	 5403 	-6.5 
 13.94 	 1.39 	 96.9 	 27.05 	 38 	 .415 	 143.7 	 301 	 236 	 190 	 5404 	-6.3 
 14.14 	 1.41 	 96.9 	 26.95 	 38 	 .428 	 142.8 	 301 	 235 	 190 	 5405 	-6.6 
 14.34 	 1.43 	 96.9 	 26.65 	 37 	 .444 	 143.6 	 301 	 235 	 190 	 5406 	-6.9 
 14.54 	 1.45 	 96.9 	 26.41 	 36 	 .405 	 143.3 	 300 	 236 	 190 	 5405 	-6.8 
 14.75 	 1.47 	 97 	 25.29 	 37 	 .396 	 143 	 301 	 235 	 191 	 5407 	-7.1 
 14.95 	 1.49 	 97.2 	 24.73 	 34 	 .363 	 144.1 	 301 	 235 	 190 	 5407 	-6.9 
 15.15 	 1.51 	 97.1 	 24.19 	 33 	 .34 	 143 	 300 	 234 	 189 	 5402 	-7 
 15.35 	 1.53 	 97.2 	 23.44 	 32 	 .333 	 143.1 	 301 	 235 	 190 	 5407 	-7.3 
 15.55 	 1.55 	 96.8 	 22.2 	 31 	 .301 	 143.9 	 301 	 235 	 190 	 5404 	-6.5 
 15.76 	 1.57 	 96.9 	 21.16 	 29 	 .244 	 142.6 	 301 	 234 	 189 	 5405 	-7.3 
 15.96 	 1.59 	 96.9 	 20.72 	 28 	 .22 	 143.7 	 301 	 234 	 189 	 5405 	-7 
 16.16 	 1.61 	 96.6 	 19.35 	 27 	 .183 	 143.3 	 301 	 235 	 189 	 5403 	-6.8 
 16.36 	 1.63 	 96.6 	 18.97 	 26 	 .153 	 143.2 	 302 	 234 	 190 	 5406 	-6.9 
 16.56 	 1.65 	 96.7 	 18.31 	 27 	 .101 	 143.6 	 301 	 234 	 190 	 5403 	-6.4 
 16.77 	 1.67 	 96.5 	 17.72 	 24 	 .104 	 142.9 	 301 	 234 	 189 	 5407 	-6.8 
 16.97 	 1.69 	 96.7 	 17.03 	 24 	 .025 	 143.6 	 301 	 234 	 190 	 5405 	-6.8 
 17.17 	 1.71 	 96.7 	 16.57 	 23 	-.009 	 143.5 	 301 	 234 	 189 	 5405 	-6.8 
 17.37 	 1.73 	 96.5 	 16.27 	 23 	-.011 	 143.1 	 301 	 234 	 189 	 5406 	-6.4 
 17.57 	 1.75 	 96.6 	 15.63 	 22 	-.081 	 143.6 	 302 	 233 	 188 	 5405 	-6.5 
 17.78 	 1.77 	 96.6 	 15.55 	 22 	-.105 	 143.1 	 302 	 234 	 189 	 5407 	-6.8 
 17.98 	 1.79 	 96.7 	 15.53 	 21 	-.1 	 143.4 	 301 	 234 	 188 	 5405 	-6.4 
 18.18 	 1.81 	 96.6 	 15.27 	 22 	-.1 	 143.5 	 301 	 234 	 189 	 5403 	-6.6 
 18.38 	 1.83 	 96.7 	 15.28 	 22 	-.107 	 142.8 	 302 	 234 	 189 	 5407 	-6.5 
 18.58 	 1.85 	 96.6 	 15.2 	 22 	-.1 	 143.3 	 301 	 234 	 189 	 5403 	-6.6 
 18.79 	 1.87 	 96.5 	 15.32 	 22 	-.127 	 143.3 	 301 	 234 	 190 	 5408 	-7.1 
 18.99 	 1.89 	 96.3 	 15.43 	 22 	-.115 	 142.9 	 301 	 234 	 190 	 5404 	-6.5 
 19.19 	 1.91 	 96.3 	 15.37 	 22 	-.106 	 143.7 	 302 	 234 	 188 	 5407 	-7.3 
 19.39 	 1.93 	 96.3 	 15.55 	 23 	-.106 	 142.9 	 301 	 234 	 190 	 5405 	-6.5 
 19.59 	 1.95 	 96.5 	 16.32 	 24 	-.078 	 143.5 	 301 	 234 	 190 	 5404 	-6.3 
 19.8 	 1.97 	 96.5 	 16.96 	 25 	-.056 	 143.5 	 301 	 234 	 189 	 5406 	-6.8 
 20 	 2 	 96.5 	 17.69 	 25 	-.03 	 143.1 	 301 	 235 	 190 	 5405 	-6.8 
 20.2 	 2.02 	 96.7 	 18.39 	 27 	 .003 	 143.7 	 301 	 235 	 190 	 5404 	-6.8 
 20.4 	 2.04 	 96.8 	 19.51 	 29 	 .086 	 143 	 301 	 235 	 190 	 5405 	-6.9 
 20.6 	 2.06 	 97 	 20.56 	 30 	 .108 	 142.6 	 300 	 235 	 190 	 5402 	-6.6 
 20.81 	 2.08 	 96.9 	 21.22 	 32 	 .141 	 143.5 	 301 	 235 	 191 	 5407 	-7 
 21.01 	 2.1 	 96.7 	 22.57 	 33 	 .22 	 142.8 	 301 	 236 	 190 	 5406 	-6.9 
 21.21 	 2.12 	 96.8 	 23.4 	 34 	 .24 	 143.7 	 301 	 236 	 191 	 5405 	-7.3 
 21.41 	 2.14 	 96.7 	 23.97 	 35 	 .281 	 142.8 	 301 	 236 	 191 	 5405 	-7 
 21.61 	 2.16 	 96.7 	 24.52 	 37 	 .312 	 143.2 	 300 	 235 	 190 	 5403 	-6.4 
 21.82 	 2.18 	 96.6 	 25.28 	 37 	 .37 	 144.1 	 301 	 236 	 191 	 5404 	-6.8 
 22.02 	 2.2 	 96.8 	 25.94 	 38 	 .395 	 142.7 	 301 	 235 	 191 	 5404 	-7.1 
 22.22 	 2.22 	 97 	 26.45 	 38 	 .387 	 143.6 	 301 	 236 	 191 	 5407 	-7 
 22.42 	 2.24 	 96.9 	 26.89 	 39 	 .436 	 143.6 	 300 	 236 	 191 	 5407 	-6.5 
 22.62 	 2.26 	 97 	 27.1 	 38 	 .461 	 143.4 	 301 	 236 	 191 	 5405 	-7 
 22.83 	 2.28 	 97.3 	 27.26 	 39 	 .442 	 143.5 	 300 	 236 	 191 	 5408 	-6.9 
 23.03 	 2.3 	 97.2 	 27.19 	 38 	 .484 	 142.8 	 300 	 236 	 191 	 5405 	-7 
 23.23 	 2.32 	 97.1 	 27.28 	 39 	 .489 	 143.2 	 300 	 235 	 191 	 5407 	-7 
 23.43 	 2.34 	 97 	 27.43 	 39 	 .485 	 143.4 	 300 	 235 	 191 	 5406 	-7.3 
 23.63 	 2.36 	 97 	 27.41 	 39 	 .495 	 142.8 	 301 	 235 	 191 	 5404 	-6.9 
 23.84 	 2.38 	 96.8 	 27.17 	 39 	 .498 	 144.1 	 301 	 236 	 191 	 5405 	-6.8 
 24.04 	 2.4 	 96.8 	 27.05 	 38 	 .512 	 143.5 	 301 	 236 	 191 	 5405 	-6.8 
 24.24 	 2.42 	 97 	 26.9 	 37 	 .509 	 143.3 	 300 	 236 	 191 	 5404 	-6.4 
 24.44 	 2.44 	 96.9 	 26.36 	 38 	 .497 	 143.6 	 301 	 235 	 191 	 5405 	-6.6 
 24.64 	 2.46 	 97 	 26.07 	 37 	 .492 	 142.8 	 300 	 236 	 191 	 5405 	-6.9 
 24.85 	 2.48 	 97 	 25.19 	 35 	 .474 	 143.6 	 301 	 235 	 191 	 5405 	-6.8 
 25.05 	 2.5 	 97.1 	 24.73 	 34 	 .454 	 143.7 	 301 	 235 	 190 	 5405 	-7.1 
 25.25 	 2.52 	 97.1 	 23.43 	 33 	 .388 	 142.9 	 301 	 235 	 190 	 5405 	-6.8 
 25.45 	 2.54 	 97.2 	 22.72 	 31 	 .375 	 144 	 301 	 235 	 191 	 5409 	-6.5 
 25.65 	 2.56 	 96.8 	 21.95 	 30 	 .354 	 142.9 	 301 	 235 	 190 	 5404 	-6.9 
 25.86 	 2.58 	 97 	 20.69 	 29 	 .288 	 143.3 	 300 	 235 	 190 	 5406 	-6.8 
 26.06 	 2.6 	 96.9 	 20.2 	 28 	 .275 	 143.6 	 301 	 234 	 189 	 5405 	-7 
 26.26 	 2.62 	 96.8 	 19.36 	 27 	 .227 	 143 	 301 	 235 	 189 	 5404 	-6.6 
 26.46 	 2.64 	 96.8 	 18.22 	 26 	 .195 	 144.1 	 301 	 235 	 190 	 5405 	-7.3 
 26.66 	 2.66 	 96.7 	 17.86 	 24 	 .145 	 143.3 	 301 	 235 	 190 	 5407 	-6.4 
 26.87 	 2.68 	 96.7 	 17.37 	 24 	 .11 	 143.2 	 301 	 234 	 189 	 5402 	-6.6 
 27.07 	 2.7 	 96.7 	 17.13 	 23 	 .105 	 143.6 	 302 	 235 	 189 	 5406 	-6.4 
 27.27 	 2.72 	 96.7 	 16.23 	 22 	 .035 	 143.2 	 301 	 233 	 189 	 5402 	-7.1 
 27.47 	 2.74 	 96.7 	 15.91 	 22 	 .027 	 143.6 	 300 	 234 	 189 	 5405 	-7 
 27.67 	 2.76 	 96.7 	 15.74 	 22 	 .005 	 143.5 	 301 	 235 	 189 	 5405 	-6.6 
 27.88 	 2.78 	 96.9 	 15.28 	 22 	-.02 	 143.4 	 301 	 234 	 190 	 5405 	-6.9 
 28.08 	 2.8 	 96.9 	 15.28 	 22 	-.04 	 143.8 	 301 	 234 	 189 	 5404 	-6.8 
 28.28 	 2.82 	 96.7 	 15.24 	 22 	-.035 	 142.9 	 301 	 234 	 189 	 5409 	-7 
 28.48 	 2.84 	 96.7 	 15.38 	 21 	-.053 	 143.3 	 301 	 234 	 188 	 5403 	-7 
 28.68 	 2.86 	 96.7 	 15.17 	 22 	-.046 	 143.8 	 302 	 234 	 189 	 5405 	-6.8 
 28.89 	 2.88 	 96.5 	 15.29 	 22 	-.045 	 142.9 	 302 	 234 	 189 	 5405 	-6.6 
 29.09 	 2.9 	 96.5 	 15.28 	 21 	-.056 	 143.6 	 301 	 234 	 189 	 5405 	-6.8 
 29.29 	 2.92 	 96.4 	 15.64 	 23 	-.046 	 143 	 301 	 234 	 189 	 5406 	-6.6 
 29.49 	 2.94 	 96.5 	 15.94 	 23 	-.028 	 143.5 	 302 	 234 	 190 	 5403 	-6.3 
 29.69 	 2.96 	 96.6 	 16.51 	 24 	-.039 	 143.7 	 301 	 234 	 190 	 5406 	-6.5 
 29.9 	 2.99 	 96.7 	 17.05 	 25 	 .021 	 142.7 	 302 	 234 	 190 	 5405 	-7 
 30.1 	 3.01 	 96.9 	 18.25 	 27 	 .058 	 143.3 	 300 	 236 	 190 	 5405 	-7.1 
 30.3 	 3.03 	 96.9 	 19.11 	 28 	 .095 	 143.4 	 301 	 235 	 190 	 5404 	-6.6 
 30.5 	 3.05 	 96.7 	 19.81 	 31 	 .115 	 142.7 	 301 	 235 	 190 	 5405 	-6.8 
 30.7 	 3.07 	 96.8 	 21.05 	 30 	 .205 	 143.6 	 301 	 235 	 191 	 5403 	-6.9 
 30.91 	 3.09 	 96.8 	 21.8 	 31 	 .241 	 143 	 301 	 236 	 191 	 5405 	-6.8 
 31.11 	 3.11 	 96.8 	 22.59 	 33 	 .262 	 143.7 	 301 	 236 	 190 	 5406 	-6.8 
 31.31 	 3.13 	 96.6 	 23.64 	 34 	 .319 	 143.7 	 300 	 236 	 191 	 5406 	-7 
 31.51 	 3.15 	 96.6 	 24.57 	 35 	 .362 	 143.2 	 301 	 236 	 191 	 5407 	-6.8 
 31.71 	 3.17 	 96.8 	 24.89 	 36 	 .408 	 143.5 	 300 	 236 	 191 	 5404 	-6.6 
 31.92 	 3.19 	 96.8 	 25.51 	 37 	 .432 	 143.2 	 301 	 236 	 191 	 5404 	-6.6 
 32.12 	 3.21 	 97 	 26.36 	 38 	 .465 	 142.9 	 301 	 236 	 191 	 5405 	-6.9 
 32.32 	 3.23 	 97.1 	 26.77 	 39 	 .478 	 143.8 	 301 	 236 	 191 	 5405 	-7.1 
 32.52 	 3.25 	 97.1 	 26.88 	 39 	 .478 	 143.2 	 301 	 236 	 191 	 5404 	-6.3 
 32.72 	 3.27 	 97.3 	 27.24 	 39 	 .517 	 143.4 	 301 	 236 	 192 	 5405 	-6.6 
 32.93 	 3.29 	 97.1 	 27.32 	 39 	 .516 	 143.5 	 301 	 236 	 191 	 5405 	-6.5 
 33.13 	 3.31 	 97 	 27.34 	 39 	 .53 	 143.1 	 301 	 236 	 192 	 5407 	-6.4 
 33.33 	 3.33 	 97.1 	 27.38 	 38 	 .534 	 143.9 	 301 	 235 	 192 	 5408 	-6.5 
 33.53 	 3.35 	 96.9 	 27.3 	 38 	 .542 	 143 	 301 	 235 	 191 	 5402 	-6.5 
 33.73 	 3.37 	 97 	 27.23 	 38 	 .551 	 143 	 301 	 236 	 191 	 5407 	-7.3 
 33.94 	 3.39 	 97 	 27.23 	 38 	 .566 	 143.9 	 301 	 236 	 191 	 5404 	-6.6 
 34.14 	 3.41 	 96.8 	 26.9 	 38 	 .567 	 142.8 	 301 	 236 	 190 	 5403 	-6.8 
 34.34 	 3.43 	 97.1 	 26.87 	 37 	 .551 	 143.6 	 301 	 237 	 191 	 5406 	-6.9 
 34.54 	 3.45 	 97 	 26.54 	 37 	 .546 	 143.6 	 301 	 236 	 191 	 5405 	-6.6 
 34.74 	 3.47 	 97 	 25.31 	 35 	 .51 	 142.9 	 301 	 236 	 191 	 5402 	-6.6 
 34.95 	 3.49 	 97.2 	 24.61 	 34 	 .505 	 143.7 	 302 	 236 	 191 	 5404 	-6.8 
 35.15 	 3.51 	 97 	 24.01 	 33 	 .476 	 142.8 	 301 	 235 	 191 	 5406 	-6.8 
 35.35 	 3.53 	 97 	 23.51 	 32 	 .445 	 143.6 	 301 	 235 	 190 	 5402 	-6.4 
 35.55 	 3.55 	 97.1 	 21.9 	 31 	 .403 	 143.6 	 301 	 235 	 190 	 5405 	-6.6 
 35.75 	 3.57 	 96.8 	 21.22 	 29 	 .388 	 142.8 	 301 	 235 	 190 	 5404 	-6.5 
 35.96 	 3.59 	 96.9 	 20.56 	 28 	 .363 	 143.8 	 301 	 236 	 189 	 5403 	-7 
 36.16 	 3.61 	 96.8 	 19.56 	 26 	 .315 	 143.4 	 301 	 235 	 190 	 5402 	-6.8 
 36.36 	 3.63 	 96.8 	 18.86 	 26 	 .273 	 143.1 	 302 	 235 	 190 	 5406 	-6.6 
 36.56 	 3.65 	 96.8 	 18.54 	 26 	 .255 	 143.6 	 301 	 235 	 190 	 5401 	-6.6 
 36.76 	 3.67 	 96.5 	 17.85 	 25 	 .211 	 142.9 	 301 	 234 	 190 	 5406 	-6.9 
 36.97 	 3.69 	 96.9 	 17.01 	 24 	 .155 	 143.5 	 301 	 234 	 190 	 5406 	-6.9 
 37.17 	 3.71 	 96.7 	 16.26 	 23 	 .129 	 143.3 	 301 	 235 	 190 	 5406 	-6.9 
 37.37 	 3.73 	 96.7 	 16.19 	 22 	 .093 	 142.8 	 301 	 235 	 190 	 5405 	-6.8 
 37.57 	 3.75 	 96.8 	 15.68 	 22 	 .082 	 143.8 	 301 	 235 	 189 	 5406 	-6.5 
 37.77 	 3.77 	 96.7 	 15.36 	 22 	 .053 	 143 	 302 	 235 	 190 	 5403 	-6.1 
 37.98 	 3.79 	 97 	 15.54 	 22 	 .057 	 143.4 	 302 	 235 	 189 	 5406 	-6.9 
 38.18 	 3.81 	 96.8 	 15.3 	 22 	 .031 	 143 	 301 	 234 	 190 	 5402 	-6.9 
 38.38 	 3.83 	 96.7 	 15.3 	 22 	 .023 	 143.3 	 302 	 235 	 189 	 5404 	-6.8 
 38.58 	 3.85 	 96.7 	 15.37 	 22 	 .018 	 143.8 	 301 	 234 	 190 	 5404 	-6.8 
 38.78 	 3.87 	 96.8 	 15.38 	 22 	 .025 	 143.5 	 302 	 234 	 189 	 5405 	-6.6 
 38.99 	 3.89 	 96.5 	 15.24 	 22 	 .014 	 142.9 	 302 	 234 	 190 	 5405 	-6.6 
 39.19 	 3.91 	 96.8 	 15.42 	 22 	 .02 	 144 	 301 	 234 	 190 	 5405 	-7.1 
 39.39 	 3.93 	 96.4 	 15.73 	 23 	 .014 	 143 	 302 	 234 	 189 	 5404 	-6.4 
 39.59 	 3.95 	 96.6 	 16.4 	 24 	 .049 	 143.7 	 302 	 236 	 190 	 5406 	-6.6 
 39.79 	 3.98 	 96.8 	 16.99 	 24 	 .093 	 143.4 	 302 	 235 	 191 	 5408 	-6.8 
 40 	 4 	 96.7 	 17.69 	 26 	 .098 	 143.1 	 301 	 235 	 191 	 5405 	-6.8 
 40.2 	 4.02 	 96.9 	 18.39 	 27 	 .156 	 143.3 	 301 	 235 	 190 	 5404 	-6.8 
 40.4 	 4.04 	 96.8 	 19.59 	 28 	 .214 	 142.9 	 301 	 236 	 191 	 5406 	-6.8 
 40.6 	 4.06 	 97 	 20.59 	 30 	 .248 	 143.6 	 302 	 235 	 191 	 5408 	-6.8 
 40.8 	 4.08 	 96.9 	 21.1 	 31 	 .275 	 143.4 	 301 	 236 	 191 	 5406 	-6.9 
 41.01 	 4.1 	 96.9 	 22.53 	 33 	 .35 	 142.8 	 301 	 236 	 192 	 5406 	-6.9 
 41.21 	 4.12 	 96.8 	 23.09 	 34 	 .388 	 144.1 	 301 	 236 	 192 	 5403 	-6.8 
 41.41 	 4.14 	 96.9 	 23.83 	 35 	 .422 	 143.2 	 300 	 236 	 191 	 5406 	-6.5 
 41.61 	 4.16 	 97 	 24.93 	 36 	 .486 	 143.3 	 301 	 236 	 192 	 5405 	-6.6 
 41.81 	 4.18 	 97.1 	 25.45 	 37 	 .482 	 143.6 	 301 	 236 	 192 	 5403 	-6.5 
