

时间(S),振次,轴位移(mm),力(kN),应力(kPa),变形(mm),侧位移(mm),围压(kPa),孔压(kPa),反压(kPa),体变(ml),小体变(ml)
0.00,0.00, 96.8 , 21.36 , 302 , .455 , 143.4 , 301 , 236 , 192 , 5404 ,-6.8 
 .2 , .02 , 96.8 , 21.37 , 30 , .461 , 143.9 , 301 , 236 , 192 , 5405 ,-6.4 
 .4 , .04 , 96.9 , 21.29 , 31 , .469 , 143.3 , 302 , 237 , 191 , 5403 ,-6.5 
 .61 , .06 , 96.9 , 21.78 , 31 , .44 , 143.7 , 301 , 237 , 192 , 5405 ,-6.3 
 .81 , .08 , 97 , 22.02 , 32 , .455 , 143.8 , 301 , 236 , 192 , 5404 ,-6.6 
 1.01 , .1 , 97.1 , 22.78 , 33 , .506 , 143.1 , 301 , 236 , 192 , 5404 ,-6.6 
 1.21 , .12 , 97.3 , 23.68 , 33 , .527 , 144.1 , 301 , 237 , 192 , 5402 ,-6.8 
 1.41 , .14 , 97.1 , 23.92 , 35 , .568 , 143.1 , 300 , 237 , 192 , 5402 ,-7.3 
 1.62 , .16 , 97.4 , 24.66 , 36 , .598 , 143.2 , 301 , 237 , 192 , 5404 ,-6.9 
 1.82 , .18 , 97.2 , 25.63 , 37 , .632 , 143.8 , 301 , 237 , 193 , 5404 ,-6.6 
 2.02 , .2 , 97.3 , 26.36 , 38 , .675 , 143.3 , 301 , 237 , 193 , 5405 ,-6.6 
 2.22 , .22 , 97.3 , 26.85 , 38 , .673 , 143.8 , 301 , 237 , 193 , 5403 ,-6.5 
 2.42 , .24 , 97.1 , 27.37 , 38 , .692 , 143.7 , 301 , 236 , 193 , 5403 ,-6.6 
 2.63 , .26 , 97.3 , 27.45 , 39 , .726 , 143.2 , 301 , 237 , 193 , 5407 ,-7 
 2.83 , .28 , 97.1 , 27.53 , 40 , .734 , 144 , 300 , 237 , 192 , 5404 ,-6.9 
 3.03 , .3 , 97.1 , 27.76 , 39 , .742 , 142.9 , 302 , 237 , 192 , 5405 ,-6.8 
 3.23 , .32 , 97 , 27.74 , 39 , .749 , 143.5 , 301 , 237 , 192 , 5404 ,-6.8 
 3.43 , .34 , 97.3 , 27.77 , 40 , .769 , 143.4 , 300 , 237 , 192 , 5404 ,-6.5 
 3.64 , .36 , 97.3 , 27.9 , 40 , .771 , 143.1 , 302 , 236 , 192 , 5402 ,-6.6 
 3.84 , .38 , 97.3 , 27.55 , 39 , .784 , 143.8 , 302 , 237 , 192 , 5405 ,-6.6 
 4.04 , .4 , 97.5 , 27.57 , 39 , .76 , 143.2 , 301 , 237 , 192 , 5403 ,-6.9 
 4.24 , .42 , 97.5 , 27.45 , 38 , .774 , 143.5 , 302 , 237 , 192 , 5406 ,-6.6 
 4.44 , .44 , 97.5 , 26.56 , 37 , .761 , 143.5 , 301 , 237 , 193 , 5406 ,-6.5 
 4.65 , .46 , 97.2 , 26.05 , 35 , .751 , 143.1 , 301 , 236 , 192 , 5405 ,-6.8 
 4.85 , .48 , 97.1 , 25.58 , 35 , .721 , 143.8 , 300 , 236 , 191 , 5406 ,-7.3 
 5.05 , .5 , 97.1 , 24.89 , 34 , .714 , 143.4 , 301 , 236 , 192 , 5404 ,-7.3 
 5.25 , .52 , 96.8 , 23.3 , 32 , .679 , 143.2 , 301 , 235 , 192 , 5406 ,-6.9 
 5.45 , .54 , 96.9 , 22.58 , 30 , .616 , 143.5 , 301 , 236 , 192 , 5408 ,-6.6 
 5.66 , .56 , 97 , 21.5 , 30 , .628 , 142.7 , 301 , 236 , 192 , 5406 ,-6.4 
 5.86 , .58 , 97.1 , 20.42 , 29 , .568 , 143.6 , 302 , 235 , 191 , 5402 ,-6.6 
 6.06 , .6 , 97 , 19.83 , 27 , .535 , 143.9 , 302 , 235 , 191 , 5405 ,-7.1 
 6.26 , .62 , 97.2 , 19.08 , 25 , .491 , 143.4 , 301 , 235 , 191 , 5406 ,-7 
 6.46 , .64 , 97.2 , 18.29 , 25 , .459 , 143.6 , 301 , 236 , 191 , 5403 ,-6.5 
 6.67 , .66 , 97.2 , 17.16 , 24 , .38 , 143.3 , 302 , 236 , 190 , 5407 ,-7.4 
 6.87 , .68 , 97 , 16.62 , 22 , .362 , 143.7 , 301 , 236 , 191 , 5405 ,-7.3 
 7.07 , .7 , 96.9 , 16.09 , 22 , .311 , 143.6 , 301 , 235 , 191 , 5405 ,-6.4 
 7.27 , .72 , 96.9 , 15.48 , 21 , .278 , 142.8 , 301 , 235 , 191 , 5403 ,-6.9 
 7.47 , .74 , 96.7 , 15.3 , 21 , .238 , 144.1 , 301 , 235 , 191 , 5407 ,-6.8 
 7.68 , .76 , 96.7 , 14.95 , 21 , .204 , 143.2 , 301 , 235 , 191 , 5405 ,-6.6 
 7.88 , .78 , 96.7 , 14.63 , 20 , .215 , 143.1 , 301 , 236 , 190 , 5402 ,-6.6 
 8.08 , .8 , 96.7 , 14.58 , 21 , .182 , 144.1 , 302 , 235 , 191 , 5404 ,-6.8 
 8.28 , .82 , 96.7 , 14.41 , 21 , .17 , 142.9 , 302 , 234 , 191 , 5404 ,-6.8 
 8.48 , .84 , 96.8 , 14.59 , 21 , .164 , 143.7 , 301 , 234 , 191 , 5404 ,-6.4 
 8.69 , .86 , 96.9 , 14.46 , 20 , .169 , 143.7 , 302 , 235 , 191 , 5405 ,-6.6 
 8.89 , .88 , 96.9 , 14.58 , 20 , .154 , 143.2 , 302 , 235 , 191 , 5403 ,-7 
 9.09 , .9 , 97 , 14.73 , 21 , .154 , 144.1 , 302 , 235 , 191 , 5407 ,-6.9 
 9.29 , .92 , 97 , 14.98 , 22 , .165 , 143.1 , 301 , 235 , 191 , 5406 ,-6.3 
 9.49 , .94 , 96.7 , 15.31 , 23 , .187 , 143.8 , 301 , 235 , 191 , 5404 ,-6.8 
 9.7 , .96 , 96.9 , 16.01 , 23 , .196 , 143.8 , 301 , 235 , 192 , 5402 ,-6.9 
 9.9 , .98 , 96.8 , 16.69 , 25 , .222 , 143 , 301 , 235 , 191 , 5405 ,-6.9 
 10.1 , 1.01 , 96.8 , 18.08 , 26 , .312 , 144.2 , 301 , 236 , 192 , 5407 ,-7 
 10.3 , 1.03 , 96.8 , 18.98 , 28 , .364 , 143.7 , 301 , 236 , 193 , 5405 ,-7 
 10.5 , 1.05 , 97 , 19.42 , 29 , .395 , 143.7 , 301 , 237 , 192 , 5405 ,-6.9 
 10.71 , 1.07 , 96.9 , 21.26 , 31 , .478 , 143.9 , 301 , 237 , 192 , 5404 ,-6.9 
 10.91 , 1.09 , 97.1 , 22.11 , 32 , .533 , 142.9 , 301 , 237 , 192 , 5404 ,-6.9 
 11.11 , 1.11 , 97.1 , 22.83 , 34 , .562 , 143.7 , 300 , 237 , 193 , 5406 ,-6.5 
 11.31 , 1.13 , 97.2 , 23.45 , 35 , .606 , 143.7 , 301 , 236 , 193 , 5402 ,-6.3 
 11.51 , 1.15 , 97.3 , 25 , 36 , .669 , 143.1 , 300 , 238 , 192 , 5402 ,-6.6 
 11.72 , 1.17 , 97.2 , 25.65 , 37 , .695 , 144.4 , 301 , 237 , 193 , 5404 ,-7.4 
 11.92 , 1.19 , 97.2 , 26.33 , 38 , .722 , 142.9 , 301 , 237 , 192 , 5404 ,-6.9 
 12.12 , 1.21 , 97.2 , 26.99 , 38 , .768 , 143.5 , 301 , 237 , 193 , 5404 ,-6 
 12.32 , 1.23 , 97.2 , 27.37 , 39 , .788 , 143.7 , 301 , 237 , 193 , 5405 ,-6.8 
 12.52 , 1.25 , 97.3 , 27.35 , 40 , .795 , 143.4 , 301 , 237 , 192 , 5407 ,-7 
 12.73 , 1.27 , 96.9 , 27.89 , 40 , .83 , 143.9 , 300 , 237 , 193 , 5403 ,-6.8 
 12.93 , 1.29 , 97.2 , 28.06 , 40 , .838 , 143.2 , 299 , 237 , 193 , 5405 ,-7.4 
 13.13 , 1.31 , 97.3 , 27.94 , 40 , .859 , 143.2 , 300 , 237 , 193 , 5404 ,-7 
 13.33 , 1.33 , 97.1 , 27.9 , 39 , .854 , 143.7 , 301 , 237 , 193 , 5406 ,-6.8 
 13.53 , 1.35 , 97.3 , 27.91 , 40 , .889 , 143 , 301 , 237 , 193 , 5403 ,-6.8 
 13.74 , 1.37 , 97.4 , 27.86 , 38 , .855 , 143.8 , 300 , 237 , 193 , 5404 ,-6.9 
 13.94 , 1.39 , 97.4 , 27.78 , 39 , .86 , 143.7 , 301 , 237 , 192 , 5403 ,-6.6 
 14.14 , 1.41 , 97.5 , 27.56 , 39 , .876 , 142.9 , 301 , 237 , 192 , 5403 ,-6.9 
 14.34 , 1.43 , 97.6 , 27.12 , 38 , .881 , 143.8 , 300 , 236 , 193 , 5402 ,-7 
 14.54 , 1.45 , 97.3 , 26.86 , 37 , .868 , 143.2 , 301 , 237 , 192 , 5404 ,-6.8 
 14.75 , 1.47 , 97.4 , 26.23 , 36 , .853 , 143.2 , 301 , 236 , 192 , 5404 ,-6.6 
 14.95 , 1.49 , 97.2 , 24.96 , 34 , .798 , 143.4 , 301 , 236 , 193 , 5403 ,-6.1 
 15.15 , 1.51 , 97.2 , 24.18 , 34 , .778 , 142.7 , 301 , 236 , 192 , 5406 ,-6.9 
 15.35 , 1.53 , 97.2 , 23.33 , 32 , .76 , 143.9 , 301 , 237 , 192 , 5406 ,-7 
 15.55 , 1.55 , 97.2 , 21.89 , 30 , .7 , 143.3 , 301 , 236 , 191 , 5405 ,-7 
 15.76 , 1.57 , 97.1 , 21.06 , 28 , .671 , 143.8 , 301 , 236 , 192 , 5403 ,-7 
 15.96 , 1.59 , 97.1 , 20.46 , 28 , .655 , 144.1 , 301 , 235 , 191 , 5404 ,-6.9 
 16.16 , 1.61 , 97.2 , 19.16 , 26 , .57 , 143.1 , 301 , 235 , 191 , 5404 ,-7 
 16.36 , 1.63 , 97.2 , 18.32 , 26 , .563 , 143.7 , 300 , 235 , 191 , 5401 ,-6.5 
 16.56 , 1.65 , 97.2 , 17.88 , 24 , .495 , 143.9 , 301 , 235 , 191 , 5405 ,-6.9 
 16.77 , 1.67 , 97.2 , 17.32 , 24 , .474 , 143.1 , 301 , 235 , 191 , 5405 ,-6.4 
 16.97 , 1.69 , 97.1 , 16.25 , 22 , .408 , 144.3 , 302 , 235 , 191 , 5406 ,-7.3 
 17.17 , 1.71 , 97.1 , 15.92 , 22 , .376 , 142.8 , 301 , 235 , 191 , 5403 ,-6.9 
 17.37 , 1.73 , 97 , 15.5 , 22 , .348 , 143.5 , 301 , 235 , 191 , 5405 ,-6.8 
 17.57 , 1.75 , 96.8 , 15.12 , 21 , .296 , 143.9 , 301 , 235 , 191 , 5403 ,-7 
 17.78 , 1.77 , 96.8 , 14.88 , 21 , .296 , 143.2 , 301 , 235 , 191 , 5404 ,-6.6 
 17.98 , 1.79 , 96.9 , 14.58 , 20 , .28 , 144.2 , 301 , 236 , 191 , 5404 ,-7 
 18.18 , 1.81 , 96.7 , 14.57 , 21 , .246 , 143.1 , 301 , 235 , 191 , 5403 ,-6.8 
 18.38 , 1.83 , 96.7 , 14.47 , 21 , .253 , 143.3 , 301 , 235 , 192 , 5405 ,-6.8 
 18.58 , 1.85 , 96.9 , 14.75 , 21 , .241 , 144.1 , 301 , 235 , 191 , 5403 ,-6.8 
 18.79 , 1.87 , 96.9 , 14.66 , 20 , .244 , 142.8 , 301 , 235 , 191 , 5405 ,-7 
 18.99 , 1.89 , 97 , 14.74 , 21 , .223 , 144 , 301 , 235 , 191 , 5404 ,-6.4 
 19.19 , 1.91 , 96.8 , 14.82 , 21 , .227 , 143.4 , 302 , 235 , 191 , 5407 ,-6.8 
 19.39 , 1.93 , 97.2 , 15.05 , 22 , .242 , 143.1 , 301 , 235 , 192 , 5402 ,-6.8 
 19.59 , 1.95 , 97 , 15.44 , 23 , .254 , 143.9 , 301 , 234 , 191 , 5404 ,-6.8 
 19.8 , 1.97 , 97.1 , 16.84 , 24 , .299 , 142.8 , 301 , 236 , 193 , 5406 ,-6.9 
 20 , 2 , 96.9 , 17.33 , 26 , .369 , 143.6 , 301 , 236 , 192 , 5405 ,-6.8 
 20.2 , 2.02 , 97 , 18.32 , 27 , .377 , 143.8 , 301 , 236 , 193 , 5401 ,-6.8 
 20.4 , 2.04 , 97.1 , 19.76 , 28 , .476 , 143.2 , 300 , 237 , 193 , 5407 ,-6.8 
