

时间(S),振次,轴位移(mm),力(kN),应力(kPa),变形(mm),侧位移(mm),围压(kPa),孔压(kPa),反压(kPa),体变(ml),小体变(ml)
0.00,0.00, 98.4 , 21.31 , 301 , 2.476 , 144.1 , 302 , 243 , 203 , 5403 ,-6.4 
 .2 , .02 , 98.5 , 21.28 , 30 , 2.478 , 144.4 , 301 , 244 , 202 , 5404 ,-6.3 
 .4 , .04 , 98.6 , 21.28 , 30 , 2.468 , 144.1 , 301 , 243 , 202 , 5406 ,-7 
 .61 , .06 , 98.6 , 21.98 , 31 , 2.474 , 143.8 , 301 , 244 , 202 , 5402 ,-6.5 
 .81 , .08 , 98.6 , 22.72 , 33 , 2.497 , 144.6 , 301 , 244 , 203 , 5404 ,-6.8 
 1.01 , .1 , 98.6 , 23.38 , 34 , 2.562 , 143.6 , 302 , 244 , 202 , 5403 ,-7 
 1.21 , .12 , 98.8 , 24.02 , 36 , 2.605 , 144.3 , 301 , 243 , 203 , 5405 ,-7 
 1.41 , .14 , 99 , 25.78 , 37 , 2.679 , 144.6 , 301 , 244 , 201 , 5402 ,-6.8 
 1.62 , .16 , 98.9 , 26.68 , 38 , 2.745 , 143.7 , 302 , 244 , 202 , 5408 ,-6.6 
 1.82 , .18 , 99.1 , 27.36 , 40 , 2.779 , 144.6 , 301 , 244 , 203 , 5403 ,-6.8 
 2.02 , .2 , 98.9 , 28.81 , 40 , 2.849 , 143.6 , 301 , 243 , 201 , 5406 ,-6.6 
 2.22 , .22 , 99 , 29.39 , 42 , 2.9 , 144.1 , 302 , 242 , 202 , 5404 ,-6.6 
 2.42 , .24 , 99 , 29.88 , 42 , 2.925 , 144.6 , 302 , 243 , 201 , 5401 ,-6.1 
 2.63 , .26 , 98.9 , 29.99 , 43 , 2.945 , 143.6 , 302 , 242 , 201 , 5403 ,-6.9 
 2.83 , .28 , 98.8 , 30.58 , 44 , 2.987 , 144.6 , 302 , 243 , 202 , 5404 ,-6.9 
 3.03 , .3 , 99 , 30.51 , 43 , 2.989 , 143.7 , 302 , 242 , 200 , 5402 ,-6.8 
 3.23 , .32 , 98.7 , 30.72 , 43 , 2.98 , 144.9 , 302 , 242 , 201 , 5402 ,-6.9 
 3.43 , .34 , 98.8 , 30.4 , 43 , 3.006 , 144.2 , 302 , 243 , 201 , 5406 ,-6.8 
 3.64 , .36 , 98.9 , 30.42 , 43 , 3.016 , 143.7 , 301 , 243 , 201 , 5406 ,-6.5 
 3.84 , .38 , 99.1 , 30.39 , 43 , 3.019 , 144.4 , 302 , 242 , 201 , 5406 ,-6.9 
 4.04 , .4 , 99 , 29.87 , 42 , 3.016 , 143.7 , 302 , 243 , 201 , 5406 ,-6.6 
 4.24 , .42 , 99 , 29.54 , 41 , 3.024 , 144.4 , 302 , 241 , 201 , 5403 ,-6.5 
 4.44 , .44 , 99.2 , 28.72 , 39 , 3.001 , 143.7 , 301 , 242 , 201 , 5404 ,-6.1 
 4.65 , .46 , 99.1 , 27.98 , 38 , 2.978 , 143.9 , 301 , 242 , 201 , 5403 ,-6.6 
 4.85 , .48 , 99.1 , 25.79 , 36 , 2.914 , 144.4 , 302 , 242 , 201 , 5406 ,-7 
 5.05 , .5 , 99.1 , 24.88 , 34 , 2.892 , 143.6 , 301 , 242 , 200 , 5403 ,-6.8 
 5.25 , .52 , 98.9 , 24.12 , 32 , 2.857 , 143.7 , 302 , 242 , 201 , 5404 ,-5.9 
 5.45 , .54 , 98.7 , 21.98 , 29 , 2.771 , 144.4 , 302 , 241 , 200 , 5406 ,-6.8 
