时间(S)	轴位移(mm)	力(kN)	力(kPa)	变形(mm)	 侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(kPa)	小体变(ml)
0.0	 91.9 	 8.18 	 116 	-7.698 	 0 	 299 	 240 	 178 	 5215 	-6.8 
 .5 	 92.3 	 8.27 	 .12 	-7.709 	 140 	 300 	 240 	 178 	 5214 	-7.1 
 1 	 92.3 	 8.25 	 .11 	-7.708 	 139 	 299 	 240 	 179 	 5219 	-6.3 
 1.5 	 92.4 	 8.21 	 .12 	-7.7 	 140 	 299 	 240 	 178 	 5219 	-6.9 
 2 	 92.1 	 8.3 	 .12 	-7.706 	 139 	 299 	 241 	 179 	 5217 	-6.5 
 2.5 	 92.5 	 8.27 	 .12 	-7.712 	 139 	 299 	 241 	 179 	 5216 	-7.1 
 3 	 92.1 	 8.46 	 .12 	-7.699 	 140 	 299 	 241 	 179 	 5215 	-7 
 3.5 	 92.5 	 8.25 	 .12 	-7.691 	 139 	 300 	 240 	 179 	 5217 	-6.5 
 4 	 92.2 	 8.4 	 .12 	-7.703 	 140 	 299 	 241 	 179 	 5213 	-6.6 
 4.5 	 92.1 	 8.47 	 .11 	-7.692 	 140 	 299 	 241 	 178 	 5215 	-6.3 
 5 	 92.3 	 8.43 	 .12 	-7.698 	 139 	 300 	 240 	 180 	 5216 	-6.8 
 5.5 	 92.1 	 8.61 	 .13 	-7.701 	 140 	 299 	 241 	 179 	 5217 	-7 
 6 	 92.2 	 8.6 	 .13 	-7.69 	 139 	 300 	 241 	 179 	 5211 	-6.3 
 6.5 	 92.2 	 8.7 	 .13 	-7.671 	 140 	 300 	 242 	 179 	 5218 	-6.9 
 7 	 92.2 	 8.89 	 .13 	-7.688 	 139 	 300 	 242 	 179 	 5217 	-6.6 
 7.5 	 92.5 	 9.17 	 .13 	-7.703 	 139 	 299 	 242 	 180 	 5218 	-6.9 
 8 	 92.2 	 9.09 	 .12 	-7.681 	 139 	 300 	 242 	 181 	 5214 	-6.8 
 8.5 	 92.2 	 9.48 	 .14 	-7.677 	 139 	 299 	 243 	 180 	 5217 	-6.8 
 9 	 92.2 	 9.72 	 .14 	-7.684 	 140 	 299 	 244 	 182 	 5215 	-6.6 
 9.5 	 92.2 	 9.87 	 .14 	-7.697 	 139 	 300 	 243 	 182 	 5215 	-6.5 
 10 	 92.4 	 10.05 	 .14 	-7.694 	 139 	 299 	 244 	 182 	 5219 	-6.6 
 10.5 	 92.3 	 10.25 	 .14 	-7.684 	 140 	 300 	 244 	 183 	 5217 	-6.5 
 11 	 92.4 	 10.11 	 .15 	-7.673 	 139 	 301 	 244 	 183 	 5214 	-6.9 
 11.5 	 92.4 	 10.33 	 .14 	-7.682 	 139 	 300 	 244 	 183 	 5217 	-7.1 
 12 	 92.1 	 10.29 	 .15 	-7.694 	 140 	 300 	 244 	 183 	 5214 	-7.1 
 12.5 	 92.3 	 10.33 	 .15 	-7.707 	 140 	 301 	 245 	 182 	 5217 	-7 
 13 	 92.3 	 10.32 	 .15 	-7.676 	 140 	 300 	 245 	 183 	 5217 	-6.8 
 13.5 	 92.3 	 10.09 	 .14 	-7.673 	 140 	 300 	 245 	 183 	 5216 	-6.8 
 14 	 92.6 	 10.31 	 .15 	-7.678 	 140 	 301 	 245 	 183 	 5220 	-6.8 
 14.5 	 92.3 	 10.36 	 .14 	-7.666 	 140 	 300 	 245 	 183 	 5218 	-6.4 
 15 	 92.5 	 10.06 	 .14 	-7.674 	 139 	 300 	 245 	 183 	 5215 	-6.8 
 15.5 	 92.4 	 10.03 	 .14 	-7.679 	 140 	 300 	 245 	 183 	 5218 	-6.9 
 16 	 92.4 	 9.89 	 .14 	-7.684 	 139 	 301 	 244 	 183 	 5216 	-6.3 
 16.5 	 92.6 	 9.96 	 .14 	-7.659 	 140 	 301 	 244 	 183 	 5217 	-6.9 
 17 	 92.2 	 9.57 	 .14 	-7.669 	 140 	 300 	 244 	 183 	 5216 	-6.5 
 17.5 	 92.6 	 9.5 	 .13 	-7.66 	 140 	 300 	 245 	 183 	 5218 	-6.6 
 18 	 92.4 	 9.47 	 .13 	-7.675 	 140 	 301 	 244 	 183 	 5219 	-6.8 
 18.5 	 92.4 	 9.44 	 .14 	-7.68 	 140 	 301 	 244 	 182 	 5216 	-6.9 
 19 	 92.3 	 9.16 	 .13 	-7.66 	 140 	 301 	 243 	 181 	 5216 	-7 
 19.5 	 92.3 	 9 	 .13 	-7.684 	 139 	 301 	 244 	 182 	 5216 	-6.5 
 20 	 92.5 	 8.85 	 .13 	-7.667 	 140 	 301 	 243 	 182 	 5218 	-6.5 
 20.5 	 92.3 	 8.88 	 .13 	-7.674 	 140 	 301 	 243 	 182 	 5217 	-6.6 
 21 	 92.3 	 8.69 	 .12 	-7.682 	 139 	 301 	 243 	 182 	 5215 	-6.4 
 21.5 	 92.4 	 8.68 	 .12 	-7.673 	 140 	 301 	 243 	 181 	 5218 	-6.6 
 22 	 92 	 8.73 	 .11 	-7.663 	 140 	 300 	 243 	 181 	 5216 	-6.5 
 22.5 	 92.3 	 8.52 	 .11 	-7.661 	 140 	 301 	 243 	 180 	 5217 	-6.6 
 23 	 92.2 	 8.54 	 .12 	-7.664 	 140 	 300 	 242 	 181 	 5217 	-6.4 
 23.5 	 92.2 	 8.62 	 .12 	-7.69 	 139 	 301 	 242 	 181 	 5215 	-6.4 
 24 	 92.5 	 8.46 	 .12 	-7.658 	 140 	 301 	 243 	 181 	 5216 	-6.9 
 24.5 	 92 	 8.45 	 .12 	-7.669 	 140 	 301 	 242 	 181 	 5218 	-6.3 
 25 	 92.4 	 8.51 	 .12 	-7.696 	 139 	 300 	 242 	 181 	 5216 	-6.6 
 25.5 	 92.4 	 8.5 	 .12 	-7.685 	 140 	 301 	 242 	 180 	 5217 	-6.4 
 26 	 92.3 	 8.42 	 .12 	-7.684 	 139 	 300 	 242 	 181 	 5215 	-7 
 26.5 	 92.1 	 8.54 	 .12 	-7.664 	 140 	 300 	 242 	 181 	 5216 	-6.6 
 27 	 92.2 	 8.46 	 .12 	-7.672 	 140 	 300 	 241 	 180 	 5218 	-6.5 
 27.5 	 92.4 	 8.32 	 .12 	-7.673 	 139 	 300 	 243 	 181 	 5221 	-7.1 
 28 	 92.3 	 8.49 	 .12 	-7.677 	 140 	 301 	 243 	 182 	 5216 	-6.8 
 28.5 	 92.3 	 8.45 	 .11 	-7.686 	 139 	 300 	 242 	 181 	 5217 	-6.6 
 29 	 92.4 	 8.42 	 .12 	-7.661 	 140 	 300 	 242 	 181 	 5219 	-6.9 
 29.5 	 92.1 	 8.4 	 .12 	-7.686 	 140 	 300 	 242 	 181 	 5217 	-6.8 
 30 	 92.3 	 8.34 	 .11 	-7.656 	 140 	 300 	 243 	 180 	 5218 	-7.4 
 30.5 	 92.1 	 8.36 	 .12 	-7.675 	 140 	 301 	 242 	 181 	 5219 	-7 
 31 	 92.4 	 8.47 	 .12 	-7.676 	 139 	 300 	 241 	 182 	 5215 	-6.9 
 31.5 	 92.4 	 8.58 	 .12 	-7.667 	 140 	 300 	 242 	 181 	 5217 	-6.9 
 32 	 92.1 	 8.46 	 .12 	-7.683 	 139 	 300 	 242 	 181 	 5216 	-6.5 
 32.5 	 92.4 	 8.45 	 .12 	-7.67 	 139 	 300 	 242 	 181 	 5216 	-6.5 
 33 	 92.3 	 8.43 	 .12 	-7.693 	 140 	 300 	 242 	 181 	 5219 	-6.4 
 33.5 	 92.5 	 8.4 	 .12 	-7.673 	 139 	 300 	 242 	 181 	 5219 	-6.8 
 34 	 92.5 	 8.45 	 .12 	-7.688 	 140 	 300 	 242 	 181 	 5218 	-7.3 
 34.5 	 92.2 	 8.38 	 .12 	-7.684 	 140 	 301 	 241 	 181 	 5222 	-6.6 
 35 	 92.5 	 8.46 	 .12 	-7.691 	 140 	 300 	 242 	 181 	 5219 	-6.9 
 35.5 	 92.1 	 8.32 	 .13 	-7.689 	 140 	 300 	 241 	 181 	 5218 	-6.8 
 36 	 92.6 	 8.44 	 .12 	-7.683 	 139 	 300 	 241 	 181 	 5220 	-6.1 
 36.5 	 92.2 	 8.52 	 .12 	-7.675 	 140 	 300 	 236 	 180 	 5221 	-6.6 
 37 	 92.5 	 8.36 	 .12 	-7.665 	 139 	 300 	 233 	 178 	 5228 	-6.8 
 37.5 	 92.5 	 8.55 	 .12 	-7.67 	 140 	 299 	 233 	 174 	 5242 	-6.9 
 38 	 92.2 	 8.36 	 .12 	-7.662 	 140 	 299 	 232 	 174 	 5246 	-6.5 
 38.5 	 92.6 	 8.33 	 .12 	-7.686 	 139 	 299 	 232 	 172 	 5250 	-6.6 
 39 	 92.2 	 8.26 	 .11 	-7.659 	 141 	 300 	 232 	 172 	 5252 	-6.9 
 39.5 	 92.6 	 8.28 	 .12 	-7.674 	 140 	 300 	 233 	 172 	 5251 	-6.1 
 40 	 92.5 	 8.09 	 .11 	-7.669 	 140 	 300 	 232 	 172 	 5253 	-6.8 
 40.5 	 92.2 	 8 	 .11 	-7.661 	 139 	 301 	 233 	 171 	 5252 	-6.5 
 41 	 92.7 	 7.98 	 .11 	-7.663 	 140 	 300 	 233 	 171 	 5256 	-6.8 
