时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 99.3 	 21.17 	 300 	 3.135 	 144.3 	 301 	 245 	 205 	 5407 	-7 
 .2 	 .02 	 99.2 	 21.25 	 29 	 3.153 	 144.4 	 301 	 247 	 206 	 5405 	-6.3 
 .4 	 .04 	 99.4 	 21.49 	 30 	 3.142 	 143.9 	 302 	 246 	 205 	 5408 	-6.8 
 .61 	 .06 	 99.1 	 21.78 	 31 	 3.15 	 145 	 301 	 246 	 205 	 5403 	-6.9 
 .81 	 .08 	 99.5 	 22.47 	 33 	 3.172 	 144.3 	 301 	 247 	 205 	 5405 	-6.6 
 1.01 	 .1 	 99.5 	 23.43 	 34 	 3.196 	 144.2 	 302 	 246 	 204 	 5407 	-6.9 
 1.21 	 .12 	 99.3 	 25.07 	 37 	 3.323 	 144.3 	 302 	 246 	 204 	 5404 	-6.5 
 1.41 	 .14 	 99.4 	 25.78 	 38 	 3.375 	 143.7 	 302 	 246 	 204 	 5403 	-6.6 
 1.62 	 .16 	 99.3 	 26.98 	 40 	 3.424 	 144.6 	 301 	 245 	 205 	 5403 	-6.4 
 1.82 	 .18 	 99.3 	 28.4 	 40 	 3.521 	 144.5 	 301 	 246 	 204 	 5406 	-6.4 
 2.02 	 .2 	 99.4 	 29.1 	 42 	 3.565 	 144.6 	 300 	 245 	 204 	 5407 	-6.5 
 2.22 	 .22 	 99.4 	 29.77 	 43 	 3.601 	 144.9 	 302 	 245 	 204 	 5402 	-6.5 
 2.42 	 .24 	 99.4 	 30.36 	 43 	 3.638 	 144 	 302 	 245 	 204 	 5403 	-6.5 
 2.63 	 .26 	 99.4 	 31.01 	 44 	 3.687 	 144.6 	 302 	 244 	 204 	 5404 	-7.1 
 2.83 	 .28 	 99.6 	 31.25 	 44 	 3.692 	 144.6 	 302 	 244 	 204 	 5407 	-7 
 3.03 	 .3 	 99.7 	 31.26 	 44 	 3.703 	 144 	 302 	 244 	 203 	 5402 	-6.5 
 3.23 	 .32 	 99.6 	 31.36 	 44 	 3.738 	 144.9 	 302 	 244 	 203 	 5406 	-6.6 
 3.43 	 .34 	 99.7 	 31.36 	 44 	 3.736 	 143.6 	 302 	 244 	 203 	 5408 	-7 
 3.64 	 .36 	 99.7 	 31.17 	 44 	 3.747 	 144.5 	 302 	 244 	 203 	 5400 	-6.3 
 3.84 	 .38 	 99.7 	 30.92 	 44 	 3.745 	 144.3 	 302 	 244 	 203 	 5405 	-6.8 
 4.04 	 .4 	 99.6 	 30.62 	 43 	 3.754 	 144.1 	 301 	 244 	 203 	 5405 	-6.5 
 4.24 	 .42 	 99.6 	 30.06 	 42 	 3.751 	 144.6 	 301 	 243 	 203 	 5404 	-6.8 
 4.44 	 .44 	 99.7 	 29.55 	 40 	 3.722 	 144 	 300 	 244 	 202 	 5405 	-6.6 
 4.65 	 .46 	 99.4 	 27.59 	 39 	 3.675 	 144.5 	 301 	 243 	 203 	 5407 	-6.8 
 4.85 	 .48 	 99.4 	 26.63 	 37 	 3.664 	 144.6 	 301 	 243 	 203 	 5404 	-6.6 
 5.05 	 .5 	 99.6 	 25.61 	 34 	 3.613 	 144.1 	 302 	 243 	 203 	 5402 	-7 
 5.25 	 .52 	 99.5 	 23.34 	 32 	 3.538 	 144.5 	 301 	 243 	 202 	 5406 	-6.3 
 5.45 	 .54 	 99.6 	 22.25 	 30 	 3.498 	 143.9 	 301 	 243 	 202 	 5402 	-6.5 
 5.66 	 .56 	 99.5 	 21.21 	 28 	 3.439 	 144.6 	 301 	 243 	 203 	 5406 	-6.9 
 5.86 	 .58 	 99.4 	 20.27 	 27 	 3.376 	 144.8 	 302 	 243 	 202 	 5402 	-6.4 
 6.06 	 .6 	 99.3 	 18.19 	 25 	 3.28 	 144.2 	 301 	 244 	 203 	 5404 	-6.8 
 6.26 	 .62 	 99.3 	 17.25 	 23 	 3.22 	 144.5 	 301 	 243 	 203 	 5404 	-6.5 
 6.46 	 .64 	 99.3 	 16.58 	 21 	 3.136 	 143.9 	 301 	 243 	 203 	 5404 	-6.8 
 6.67 	 .66 	 99.3 	 14.94 	 21 	 3.031 	 144.5 	 301 	 243 	 203 	 5405 	-7 
 6.87 	 .68 	 99.2 	 14.54 	 21 	 2.932 	 144.3 	 301 	 244 	 202 	 5403 	-6.6 
 7.07 	 .7 	 99.1 	 13.92 	 19 	 2.872 	 144 	 301 	 244 	 204 	 5404 	-6.5 
 7.27 	 .72 	 99 	 13.32 	 17 	 2.794 	 145 	 301 	 245 	 204 	 5403 	-6.3 
 7.47 	 .74 	 98.9 	 12.42 	 17 	 2.647 	 144.1 	 301 	 244 	 203 	 5402 	-6.6 
 7.68 	 .76 	 98.9 	 12 	 17 	 2.589 	 144.5 	 301 	 244 	 204 	 5407 	-6.9 
 7.88 	 .78 	 98.7 	 11.74 	 17 	 2.528 	 144.3 	 301 	 245 	 203 	 5405 	-6.6 
 8.08 	 .8 	 98.4 	 11.26 	 16 	 2.44 	 144.3 	 301 	 245 	 204 	 5407 	-6.6 
 8.28 	 .82 	 98.6 	 11.44 	 16 	 2.42 	 144.6 	 301 	 244 	 204 	 5403 	-6.8 
 8.48 	 .84 	 98.5 	 11.32 	 16 	 2.397 	 143.9 	 301 	 245 	 204 	 5408 	-6.9 
 8.69 	 .86 	 98.6 	 11.38 	 16 	 2.382 	 144.9 	 301 	 245 	 204 	 5405 	-6.6 
 8.89 	 .88 	 98.6 	 11.46 	 16 	 2.39 	 144.2 	 300 	 244 	 204 	 5405 	-6.3 
 9.09 	 .9 	 98.6 	 11.53 	 16 	 2.381 	 144.1 	 300 	 245 	 204 	 5406 	-6.8 
 9.29 	 .92 	 98.6 	 11.7 	 18 	 2.393 	 144.9 	 301 	 244 	 205 	 5403 	-7.1 
 9.49 	 .94 	 98.9 	 12.86 	 19 	 2.461 	 143.8 	 300 	 245 	 205 	 5406 	-6.6 
 9.7 	 .96 	 98.9 	 13.68 	 20 	 2.52 	 144.5 	 301 	 246 	 206 	 5405 	-6.6 
 9.9 	 .99 	 98.7 	 14.58 	 22 	 2.6 	 144.3 	 300 	 246 	 206 	 5405 	-6.8 
 10.1 	 1.01 	 98.9 	 16.49 	 25 	 2.752 	 144.4 	 300 	 248 	 206 	 5406 	-7.1 
 10.3 	 1.03 	 99 	 17.67 	 27 	 2.856 	 144.8 	 301 	 248 	 207 	 5407 	-6.8 
 10.5 	 1.05 	 99 	 18.73 	 28 	 2.97 	 143.8 	 300 	 247 	 207 	 5406 	-6.9 
 10.71 	 1.07 	 99.1 	 19.98 	 31 	 3.083 	 144.5 	 300 	 247 	 206 	 5404 	-6.8 
 10.91 	 1.09 	 99.2 	 22.63 	 34 	 3.253 	 144.7 	 301 	 246 	 206 	 5403 	-6.5 
 11.11 	 1.11 	 99.4 	 23.95 	 35 	 3.35 	 144 	 301 	 246 	 206 	 5405 	-6.8 
 11.31 	 1.13 	 99.1 	 25.14 	 38 	 3.426 	 145 	 301 	 246 	 205 	 5403 	-6.8 
 11.51 	 1.15 	 99.5 	 27.22 	 40 	 3.562 	 143.9 	 301 	 245 	 205 	 5403 	-6.8 
 11.72 	 1.17 	 99.5 	 28.39 	 41 	 3.607 	 144.5 	 301 	 245 	 205 	 5401 	-6.4 
 11.92 	 1.19 	 99.6 	 29.15 	 43 	 3.653 	 144.5 	 301 	 246 	 205 	 5407 	-6.5 
 12.12 	 1.21 	 99.8 	 30.3 	 43 	 3.743 	 144 	 301 	 245 	 203 	 5404 	-6.5 
 12.32 	 1.23 	 99.6 	 30.75 	 44 	 3.763 	 144.6 	 301 	 245 	 204 	 5405 	-6.6 
 12.52 	 1.25 	 99.9 	 31.2 	 43 	 3.787 	 143.7 	 301 	 245 	 204 	 5407 	-7.3 
 12.73 	 1.27 	 99.9 	 31.42 	 45 	 3.832 	 144.2 	 301 	 245 	 203 	 5403 	-6.9 
 12.93 	 1.29 	 99.8 	 31.76 	 45 	 3.876 	 144.5 	 301 	 244 	 204 	 5404 	-6.8 
