时间,振次,轴位移,力,变形,围压,孔压,反压,N,d1,pp
0.0,0.0,124.0,21.37,-0.679,304,229,208,0.0,0.0,0
0.2,0.02,124.1,21.36,-0.672,304,229,207,0.02,0.09999999999999432,0
0.4,0.04,124.0,21.55,-0.674,303,229,207,0.04,0.0,0
0.61,0.06,124.1,21.89,-0.6609999999999999,304,229,208,0.06,0.09999999999999432,0
0.81,0.08,124.1,23.04,-0.6409999999999999,303,230,207,0.08,0.09999999999999432,1
1.01,0.1,124.1,25.06,-0.568,303,229,207,0.1,0.09999999999999432,0
1.21,0.12,124.2,26.01,-0.522,304,229,208,0.12,0.20000000000000284,0
1.41,0.14,124.2,27.0,-0.49200000000000005,304,230,207,0.14,0.20000000000000284,1
1.62,0.16,124.3,27.96,-0.445,303,228,206,0.16,0.29999999999999716,-1
1.82,0.18,124.4,29.65,-0.366,304,228,206,0.18,0.4000000000000057,-1
2.02,0.2,124.3,30.34,-0.32899999999999996,305,227,206,0.2,0.29999999999999716,-2
2.22,0.22,124.4,31.15,-0.29,305,227,206,0.22,0.4000000000000057,-2
2.42,0.24,124.4,32.01,-0.231,305,226,204,0.24,0.4000000000000057,-3
2.63,0.26,124.5,32.43,-0.19899999999999998,305,226,204,0.26,0.5,-3
2.83,0.28,124.5,32.55,-0.174,304,227,204,0.28,0.5,-2
3.03,0.3,124.5,33.04,-0.147,305,226,204,0.3,0.5,-3
3.23,0.32,124.4,33.0,-0.145,305,226,204,0.32,0.4000000000000057,-3
3.43,0.34,124.6,32.73,-0.136,305,226,204,0.34,0.5999999999999943,-3
3.64,0.36,124.6,32.72,-0.129,304,226,204,0.36,0.5999999999999943,-3
3.84,0.38,124.7,32.58,-0.134,305,226,204,0.38,0.7000000000000028,-3
4.04,0.4,124.6,32.24,-0.15,305,226,204,0.4,0.5999999999999943,-3
4.24,0.42,124.4,31.38,-0.142,305,225,204,0.42,0.4000000000000057,-4
4.44,0.44,124.6,29.89,-0.16899999999999998,305,226,204,0.44,0.5999999999999943,-3
4.65,0.46,124.5,28.72,-0.184,305,225,204,0.46,0.5,-4
4.85,0.48,124.6,27.54,-0.221,304,226,204,0.48,0.5999999999999943,-3
5.05,0.5,124.4,26.33,-0.261,304,226,204,0.5,0.4000000000000057,-3
5.25,0.52,124.4,23.96,-0.322,304,226,204,0.52,0.4000000000000057,-3
5.45,0.54,124.2,22.63,-0.39299999999999996,303,226,205,0.54,0.20000000000000284,-3
5.66,0.56,124.4,21.69,-0.43200000000000005,303,227,205,0.56,0.4000000000000057,-2
5.86,0.58,124.1,19.45,-0.5489999999999999,303,228,206,0.58,0.09999999999999432,-1
6.06,0.6,124.2,18.46,-0.619,303,229,207,0.6,0.20000000000000284,0
6.26,0.62,124.1,17.4,-0.6859999999999999,302,230,207,0.62,0.09999999999999432,1
6.46,0.64,124.1,15.8,-0.848,302,231,209,0.64,0.09999999999999432,2
6.67,0.66,123.9,14.99,-0.9259999999999999,302,231,209,0.66,-0.09999999999999432,2
6.87,0.68,123.8,14.19,-1.0490000000000002,302,233,210,0.68,-0.20000000000000284,4
7.07,0.7,123.8,13.59,-1.133,302,232,211,0.7000000000000001,-0.20000000000000284,3
7.27,0.72,123.6,12.65,-1.3430000000000002,302,235,212,0.72,-0.4000000000000057,6
7.47,0.74,123.5,12.21,-1.4509999999999998,302,236,213,0.74,-0.5,7
7.68,0.76,123.3,11.75,-1.568,302,237,213,0.76,-0.7000000000000028,8
7.88,0.78,123.2,11.29,-1.767,302,238,216,0.78,-0.7999999999999972,9
8.08,0.8,123.2,11.23,-1.867,302,239,216,0.8,-0.7999999999999972,10
8.28,0.82,123.2,11.12,-1.94,302,239,216,0.8200000000000001,-0.7999999999999972,10
8.48,0.84,123.1,11.07,-1.995,302,240,217,0.84,-0.9000000000000057,11
8.69,0.86,123.0,11.04,-2.092,303,240,218,0.86,-1.0,11
8.89,0.88,122.9,11.03,-2.1,303,241,218,0.88,-1.0999999999999943,12
9.09,0.9,122.9,11.24,-2.12,303,241,219,0.9,-1.0999999999999943,12
9.29,0.92,122.9,11.15,-2.093,303,241,219,0.92,-1.0999999999999943,12
9.49,0.94,122.9,11.38,-2.089,303,241,219,0.9400000000000001,-1.0999999999999943,12
9.7,0.96,122.9,11.99,-2.033,303,242,219,0.96,-1.0999999999999943,13
9.9,0.99,123.1,12.75,-1.969,303,243,220,0.98,-0.9000000000000057,14
10.1,1.01,123.1,14.55,-1.776,302,243,221,1.0,-0.9000000000000057,14
10.3,1.03,123.3,15.45,-1.636,304,244,221,1.02,-0.7000000000000028,15
10.5,1.05,123.3,16.51,-1.4980000000000002,304,244,222,1.04,-0.7000000000000028,15
10.71,1.07,123.7,19.22,-1.188,305,243,220,1.06,-0.29999999999999716,14
10.91,1.09,123.7,20.64,-1.025,304,241,219,1.08,-0.29999999999999716,12
11.11,1.11,123.8,22.1,-0.868,305,239,218,1.1,-0.20000000000000284,10
11.31,1.13,124.0,25.39,-0.584,306,237,214,1.12,0.0,8
11.51,1.15,124.2,26.93,-0.489,307,235,213,1.1400000000000001,0.20000000000000284,6
11.72,1.17,124.3,28.22,-0.382,307,234,212,1.16,0.29999999999999716,5
11.92,1.19,124.3,29.49,-0.312,307,232,211,1.18,0.29999999999999716,3
12.12,1.21,124.6,31.32,-0.165,306,231,209,1.2,0.5999999999999943,2
12.32,1.23,124.5,31.94,-0.132,306,230,209,1.22,0.5,1
12.52,1.25,124.7,32.64,-0.08199999999999999,306,230,208,1.24,0.7000000000000028,1
12.73,1.27,124.6,33.28,-0.006999999999999999,307,229,208,1.26,0.5999999999999943,0
12.93,1.29,124.7,33.44,0.017,306,228,207,1.28,0.7000000000000028,-1
13.13,1.31,124.7,33.52,0.051,306,228,206,1.3,0.7000000000000028,-1
13.33,1.33,124.7,33.42,0.059000000000000004,306,228,207,1.32,0.7000000000000028,-1
13.53,1.35,124.6,33.21,0.073,306,227,206,1.34,0.5999999999999943,-2
13.74,1.37,124.8,32.96,0.081,305,227,206,1.36,0.7999999999999972,-2
13.94,1.39,124.7,32.84,0.08900000000000001,305,228,206,1.3800000000000001,0.7000000000000028,-1
14.14,1.41,124.8,32.14,0.083,305,228,206,1.4000000000000001,0.7999999999999972,-1
14.34,1.43,124.8,30.98,0.073,304,228,206,1.42,0.7999999999999972,-1
14.54,1.45,124.7,30.12,0.05,305,227,206,1.44,0.7000000000000028,-2
14.75,1.47,124.7,28.25,0.006,305,228,206,1.46,0.7000000000000028,-1
14.95,1.49,124.7,26.9,-0.026000000000000002,304,228,206,1.48,0.7000000000000028,-1
15.15,1.51,124.7,25.72,-0.068,304,228,206,1.5,0.7000000000000028,-1
15.35,1.53,124.5,24.38,-0.115,304,229,206,1.52,0.5,0
15.55,1.55,124.5,22.1,-0.222,303,229,207,1.54,0.5,0
15.76,1.57,124.4,21.09,-0.28300000000000003,303,230,207,1.56,0.4000000000000057,1
15.96,1.59,124.5,19.98,-0.337,303,230,208,1.58,0.5,1
16.16,1.61,124.3,17.88,-0.485,303,233,210,1.6,0.29999999999999716,4
16.36,1.63,124.3,17.17,-0.5479999999999999,302,233,210,1.62,0.29999999999999716,4
16.56,1.65,124.2,16.31,-0.648,301,234,212,1.6400000000000001,0.20000000000000284,5
16.77,1.67,124.2,15.47,-0.741,302,234,212,1.6600000000000001,0.20000000000000284,5
16.97,1.69,123.8,14.25,-0.9540000000000001,300,237,214,1.68,-0.20000000000000284,8
17.17,1.71,123.8,13.5,-1.045,301,237,215,1.7,-0.20000000000000284,8
17.37,1.73,123.8,13.04,-1.177,301,239,217,1.72,-0.20000000000000284,10
17.57,1.75,123.6,12.16,-1.405,302,241,218,1.74,-0.4000000000000057,12
17.78,1.77,123.5,11.85,-1.52,302,242,218,1.76,-0.5,13
17.98,1.79,123.4,11.53,-1.621,301,242,219,1.78,-0.5999999999999943,13
18.18,1.81,123.3,11.4,-1.81,302,243,220,1.8,-0.7000000000000028,14
18.38,1.83,123.1,11.28,-1.864,302,243,221,1.82,-0.9000000000000057,14
18.58,1.85,123.1,11.07,-1.936,302,244,221,1.84,-0.9000000000000057,15
18.79,1.87,123.0,10.93,-1.9580000000000002,302,244,221,1.86,-1.0,15
18.99,1.89,123.1,11.2,-1.975,303,244,221,1.8800000000000001,-0.9000000000000057,15
19.19,1.91,123.1,11.24,-1.976,303,245,222,1.9000000000000001,-0.9000000000000057,16
19.39,1.93,123.1,11.33,-1.9680000000000002,302,245,222,1.92,-0.9000000000000057,16
19.59,1.95,123.1,11.99,-1.906,302,244,223,1.94,-0.9000000000000057,15
19.8,1.97,123.3,12.91,-1.844,303,246,223,1.96,-0.7000000000000028,17
20.0,2.0,123.2,13.65,-1.746,303,247,223,1.98,-0.7999999999999972,18
