,时间,振次,轴位移,力,应力,变形,侧位移,围压,孔压,反压,体变,小体变
0,0.0,0.0,108.2,21.2,300,-6.606,234.5,300,221,201,2113,-8.5
1,0.2,0.02,108.1,21.18,30,-6.636,234.7,300,221,201,2115,-8.6
2,0.4,0.04,108.3,21.19,30,-6.63,233.7,300,221,200,2112,-8.1
3,0.61,0.06,108.1,21.26,31,-6.617999999999999,234.6,299,221,200,2113,-8.5
4,0.81,0.08,108.2,21.94,32,-6.629,234.6,300,221,200,2114,-8.6
5,1.01,0.1,108.2,22.5,32,-6.6339999999999995,234.5,300,220,201,2114,-8.1
6,1.21,0.12,108.3,22.82,33,-6.638999999999999,234.3,300,221,200,2114,-8.4
7,1.41,0.14,108.3,23.27,33,-6.631,234.3,301,221,200,2114,-8.4
8,1.62,0.16,108.3,23.59,34,-6.638999999999999,234.4,301,220,201,2113,-8.0
9,1.82,0.18,108.6,23.76,34,-6.62,234.6,301,221,200,2115,-8.4
10,2.02,0.2,108.6,23.8,34,-6.627999999999999,234.4,301,220,200,2112,-8.5
11,2.22,0.22,108.7,24.14,34,-6.641,234.2,301,219,200,2115,-8.1
12,2.42,0.24,108.8,24.29,34,-6.642,234.3,301,220,200,2113,-8.3
13,2.63,0.26,108.9,24.5,35,-6.656000000000001,235.1,301,220,199,2114,-8.5
14,2.83,0.28,109.2,24.79,35,-6.648,234.4,301,220,200,2113,-8.1
15,3.03,0.3,109.5,25.07,35,-6.627000000000001,234.4,301,220,200,2116,-8.4
16,3.23,0.32,109.4,25.18,36,-6.6370000000000005,234.6,301,220,200,2113,-8.0
17,3.43,0.34,109.6,25.47,36,-6.656000000000001,234.5,301,220,200,2112,-8.4
18,3.64,0.36,109.7,25.46,36,-6.651,234.6,301,220,200,2114,-8.9
19,3.84,0.38,109.7,25.44,36,-6.638999999999999,234.7,301,220,200,2112,-8.1
20,4.04,0.4,109.8,25.46,36,-6.629,234.2,301,221,200,2113,-8.4
21,4.24,0.42,109.9,25.37,35,-6.63,233.9,301,220,200,2116,-8.5
22,4.44,0.44,110.0,25.31,35,-6.638999999999999,234.7,301,220,200,2116,-8.3
23,4.65,0.46,110.0,25.11,36,-6.621,234.6,300,221,200,2114,-8.1
24,4.85,0.48,110.1,24.78,35,-6.622999999999999,234.1,301,221,200,2114,-8.0
25,5.05,0.5,110.0,24.49,35,-6.601,234.3,301,221,201,2113,-8.1
26,5.25,0.52,110.2,24.37,34,-6.609,234.6,301,221,201,2116,-8.3
27,5.45,0.54,110.1,24.15,33,-6.577000000000001,234.9,301,221,200,2112,-8.0
28,5.66,0.56,110.1,23.12,32,-6.632999999999999,234.1,300,221,201,2115,-8.6
29,5.86,0.58,109.9,22.52,31,-6.621,234.2,301,221,200,2115,-8.3
30,6.06,0.6,110.0,21.63,29,-6.617000000000001,234.4,300,221,200,2114,-8.3
31,6.26,0.62,109.9,20.3,28,-6.625,234.8,301,221,200,2116,-8.4
32,6.46,0.64,110.0,19.47,27,-6.622000000000001,234.3,301,221,200,2114,-8.4
33,6.67,0.66,110.0,18.97,26,-6.622000000000001,234.1,300,221,201,2113,-8.5
34,6.87,0.68,109.8,17.84,25,-6.6339999999999995,234.5,301,221,201,2114,-8.3
35,7.07,0.7,109.8,17.35,24,-6.643,234.7,301,222,201,2114,-8.4
36,7.27,0.72,109.7,16.96,23,-6.632999999999999,234.8,300,221,201,2114,-8.1
37,7.47,0.74,109.8,16.59,22,-6.631,234.2,300,222,201,2114,-8.3
38,7.68,0.76,109.7,15.99,23,-6.617000000000001,234.1,299,222,201,2113,-8.4
39,7.88,0.78,109.7,15.88,22,-6.622000000000001,234.5,300,222,202,2113,-8.4
40,8.08,0.8,109.7,15.68,22,-6.614,234.6,299,223,202,2115,-8.5
41,8.28,0.82,109.7,15.38,22,-6.611000000000001,234.6,299,222,202,2115,-8.5
42,8.48,0.84,109.8,15.54,22,-6.621,234.3,299,222,202,2113,-8.3
43,8.69,0.86,109.8,15.47,22,-6.622000000000001,234.5,300,223,201,2115,-8.1
44,8.89,0.88,109.7,15.55,22,-6.62,235.1,299,223,202,2113,-8.3
45,9.09,0.9,109.7,15.45,22,-6.632000000000001,234.6,300,223,203,2116,-8.4
46,9.29,0.92,109.6,15.57,22,-6.636,234.5,300,223,202,2115,-8.3
47,9.49,0.94,109.7,15.58,23,-6.615,234.2,299,223,203,2118,-8.5
48,9.7,0.96,109.7,16.65,24,-6.621,234.6,300,223,203,2115,-8.5
49,9.9,0.99,109.9,17.22,25,-6.627000000000001,234.6,300,223,203,2114,-8.6
50,10.1,1.01,109.6,17.91,27,-6.632999999999999,234.5,299,224,203,2115,-8.0
51,10.3,1.03,109.8,18.56,27,-6.655,234.4,300,224,202,2112,-8.4
52,10.5,1.05,109.9,20.03,29,-6.615,234.6,299,224,203,2111,-8.8
53,10.71,1.07,109.9,20.91,31,-6.61,234.8,299,224,203,2117,-8.6
54,10.91,1.09,109.9,21.49,32,-6.627999999999999,234.7,300,224,204,2116,-8.3
55,11.11,1.11,109.9,22.87,33,-6.617000000000001,234.1,300,224,203,2113,-8.9
56,11.31,1.13,110.1,23.62,35,-6.632999999999999,234.0,300,223,203,2115,-8.6
57,11.51,1.15,110.1,24.07,34,-6.624,234.6,300,224,203,2116,-8.0
58,11.72,1.17,110.4,24.94,36,-6.619,234.6,300,223,203,2113,-8.3
59,11.92,1.19,110.2,25.33,36,-6.61,234.3,300,224,203,2115,-8.3
60,12.12,1.21,110.3,25.49,37,-6.617000000000001,234.2,300,224,203,2114,-8.4
61,12.32,1.23,110.3,25.76,36,-6.629,234.7,300,223,203,2114,-8.3
62,12.52,1.25,110.3,26.16,37,-6.6339999999999995,234.8,300,223,201,2114,-8.4
63,12.73,1.27,110.5,26.29,37,-6.614,234.9,300,222,202,2114,-8.6
64,12.93,1.29,110.6,26.35,38,-6.622999999999999,234.5,301,222,202,2113,-8.1
65,13.13,1.31,110.8,26.38,38,-6.603,234.4,301,222,202,2114,-7.9
66,13.33,1.33,110.8,26.7,38,-6.6160000000000005,235.1,301,222,201,2115,-8.1
67,13.53,1.35,110.9,26.6,37,-6.629,234.9,301,222,202,2115,-8.6
68,13.74,1.37,110.9,26.47,38,-6.619,234.1,300,222,201,2112,-8.3
69,13.94,1.39,111.1,26.48,37,-6.629,234.3,301,222,202,2114,-8.9
70,14.14,1.41,111.0,26.38,37,-6.622000000000001,234.8,301,222,202,2116,-7.9
71,14.34,1.43,111.0,26.28,36,-6.6160000000000005,234.5,300,222,202,2114,-8.3
72,14.54,1.45,110.8,25.87,37,-6.624,234.8,301,223,202,2116,-8.6
73,14.75,1.47,111.0,25.59,36,-6.617000000000001,234.2,300,223,202,2114,-8.8
74,14.95,1.49,111.0,25.59,36,-6.6160000000000005,234.3,301,222,202,2115,-8.6
75,15.15,1.51,111.0,24.81,35,-6.615,234.5,300,222,201,2115,-8.5
76,15.35,1.53,111.0,24.06,34,-6.621,234.8,300,223,201,2114,-8.5
77,15.55,1.55,111.1,23.51,32,-6.603,234.2,301,222,202,2114,-8.3
78,15.76,1.57,110.9,22.64,30,-6.612,234.3,301,222,201,2114,-7.9
79,15.96,1.59,110.8,21.16,30,-6.607,234.6,300,222,202,2113,-8.5
80,16.16,1.61,110.8,20.35,28,-6.617000000000001,235.0,301,223,202,2116,-8.3
81,16.36,1.63,110.9,19.88,27,-6.601,234.6,300,222,201,2115,-8.0
82,16.56,1.65,110.9,18.53,26,-6.596,234.3,300,223,202,2116,-8.4
83,16.77,1.67,110.8,18.08,25,-6.609,234.6,300,223,202,2116,-8.6
84,16.97,1.69,110.8,17.43,24,-6.614,234.7,300,223,202,2114,-8.6
85,17.17,1.71,110.7,16.86,23,-6.596,234.6,300,223,202,2114,-8.5
86,17.37,1.73,110.8,16.19,22,-6.6129999999999995,234.6,300,224,203,2115,-8.0
87,17.57,1.75,110.7,15.93,23,-6.632000000000001,234.5,300,224,203,2116,-8.6
88,17.78,1.77,110.7,15.57,21,-6.651,234.5,300,224,203,2115,-8.0
89,17.98,1.79,110.5,15.34,22,-6.629,234.7,300,224,203,2113,-8.4
90,18.18,1.81,110.6,15.15,21,-6.626,234.8,300,224,204,2116,-8.3
91,18.38,1.83,110.4,15.11,21,-6.63,234.4,299,225,204,2114,-8.1
92,18.58,1.85,110.5,15.1,21,-6.625,234.5,299,224,204,2117,-8.1
93,18.79,1.87,110.5,15.19,21,-6.644,234.9,299,225,204,2114,-7.9
94,18.99,1.89,110.6,15.23,22,-6.624,234.6,300,226,204,2117,-8.3
95,19.19,1.91,110.5,15.27,21,-6.635,234.2,300,225,204,2116,-8.0
96,19.39,1.93,110.5,15.54,22,-6.636,234.4,300,225,205,2117,-8.4
97,19.59,1.95,110.5,15.81,23,-6.649,234.8,300,225,205,2114,-8.1
98,19.8,1.97,110.6,16.31,24,-6.642,235.1,300,226,204,2117,-8.5
99,20.0,2.0,110.6,17.66,25,-6.656000000000001,234.6,300,226,205,2112,-8.8
100,20.2,2.02,110.7,18.27,26,-6.635,234.5,300,226,204,2111,-8.3
101,20.4,2.04,110.7,19.16,28,-6.603,234.7,300,226,205,2114,-8.6
