,时间,振次,轴位移,力,变形,围压,孔压,反压,N,d1
0,0.0,0.0,142.9,21.47,-4.51,304,230,208,0.0,0.0
1,0.2,0.02,142.9,21.34,-4.495,304,230,209,0.02,0.0
2,0.4,0.04,142.9,21.54,-4.481,304,231,209,0.04,0.0
3,0.61,0.06,142.9,22.21,-4.47,304,231,209,0.06,0.0
4,0.81,0.08,142.9,23.01,-4.475,304,231,209,0.08,0.0
5,1.01,0.1,143.0,23.86,-4.444,304,231,209,0.1,0.09999999999999432
6,1.21,0.12,143.0,25.45,-4.405,304,230,209,0.12,0.09999999999999432
7,1.41,0.14,143.0,26.34,-4.37,303,230,209,0.14,0.09999999999999432
8,1.62,0.16,143.0,26.96,-4.353,304,230,208,0.16,0.09999999999999432
9,1.82,0.18,143.1,27.85,-4.332,304,230,208,0.18,0.19999999999998863
10,2.02,0.2,143.1,29.16,-4.29,304,229,208,0.2,0.19999999999998863
11,2.22,0.22,143.1,29.69,-4.2780000000000005,304,229,207,0.22,0.19999999999998863
12,2.42,0.24,143.1,29.94,-4.236000000000001,305,229,207,0.24,0.19999999999998863
13,2.63,0.26,143.2,30.68,-4.208,304,229,207,0.26,0.29999999999998295
14,2.83,0.28,143.2,30.9,-4.21,304,228,207,0.28,0.29999999999998295
15,3.03,0.3,143.2,30.99,-4.19,304,228,207,0.3,0.29999999999998295
16,3.23,0.32,143.1,31.05,-4.218999999999999,304,228,207,0.32,0.19999999999998863
17,3.43,0.34,143.2,31.0,-4.195,304,228,207,0.34,0.29999999999998295
18,3.64,0.36,143.2,30.97,-4.191,304,228,207,0.36,0.29999999999998295
19,3.84,0.38,143.2,30.83,-4.199,304,228,207,0.38,0.29999999999998295
20,4.04,0.4,143.2,30.18,-4.191,303,228,207,0.4,0.29999999999998295
21,4.24,0.42,143.2,29.53,-4.194,304,228,206,0.42,0.29999999999998295
22,4.44,0.44,143.1,28.86,-4.207,304,228,207,0.44,0.19999999999998863
23,4.65,0.46,143.2,27.02,-4.246,303,228,207,0.46,0.29999999999998295
24,4.85,0.48,143.2,26.12,-4.266,303,229,207,0.48,0.29999999999998295
25,5.05,0.5,143.1,25.17,-4.293,303,228,207,0.5,0.19999999999998863
26,5.25,0.52,143.1,24.23,-4.323,303,228,207,0.52,0.19999999999998863
27,5.45,0.54,143.0,22.28,-4.382,303,229,207,0.54,0.09999999999999432
28,5.66,0.56,143.0,21.18,-4.409,302,229,208,0.56,0.09999999999999432
29,5.86,0.58,143.0,20.21,-4.422,302,230,208,0.58,0.09999999999999432
30,6.06,0.6,142.8,18.7,-4.563,301,231,209,0.6,-0.09999999999999432
31,6.26,0.62,142.8,17.97,-4.5969999999999995,301,232,210,0.62,-0.09999999999999432
32,6.46,0.64,142.7,17.13,-4.647,301,233,211,0.64,-0.20000000000001705
33,6.67,0.66,142.7,16.66,-4.7139999999999995,301,234,213,0.66,-0.20000000000001705
34,6.87,0.68,142.6,15.4,-4.833,301,236,214,0.68,-0.30000000000001137
35,7.07,0.7,142.5,15.02,-4.887,300,237,215,0.7000000000000001,-0.4000000000000057
36,7.27,0.72,142.4,14.52,-4.96,301,238,216,0.72,-0.5
37,7.47,0.74,142.3,13.74,-5.053,300,240,218,0.74,-0.5999999999999943
