时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 119.3 	 21.13 	 299 	 2.257 	 236.2 	 300 	 242 	 220 	 2116 	-7.3 
 .2 	 .02 	 119.3 	 21.18 	 30 	 2.244 	 236.9 	 300 	 242 	 220 	 2115 	-7.1 
 .4 	 .04 	 119.2 	 21.21 	 30 	 2.247 	 236.5 	 300 	 242 	 220 	 2117 	-7.1 
 .61 	 .06 	 119.3 	 21.4 	 31 	 2.242 	 236.3 	 301 	 242 	 220 	 2116 	-7.4 
 .81 	 .08 	 119.3 	 21.7 	 31 	 2.259 	 236.3 	 301 	 242 	 220 	 2117 	-7.5 
 1.01 	 .1 	 119.3 	 22.61 	 33 	 2.29 	 236.8 	 301 	 242 	 219 	 2113 	-7.1 
 1.21 	 .12 	 119.3 	 23.12 	 34 	 2.311 	 236.7 	 301 	 241 	 220 	 2117 	-7.4 
 1.41 	 .14 	 119.4 	 23.79 	 35 	 2.345 	 236.3 	 301 	 241 	 219 	 2116 	-7.1 
 1.62 	 .16 	 119.3 	 24.27 	 36 	 2.375 	 236.4 	 301 	 241 	 219 	 2116 	-7.3 
 1.82 	 .18 	 119.4 	 25.43 	 36 	 2.419 	 236.6 	 302 	 241 	 218 	 2115 	-7.5 
 2.02 	 .2 	 119.5 	 25.93 	 37 	 2.461 	 236.4 	 302 	 240 	 218 	 2117 	-7.1 
 2.22 	 .22 	 119.4 	 26.4 	 38 	 2.469 	 236 	 301 	 240 	 219 	 2118 	-7.1 
 2.42 	 .24 	 119.4 	 27.07 	 39 	 2.501 	 236.4 	 302 	 240 	 218 	 2114 	-7.8 
 2.63 	 .26 	 119.5 	 27.35 	 40 	 2.512 	 236.5 	 302 	 239 	 218 	 2116 	-7.1 
 2.83 	 .28 	 119.5 	 27.51 	 39 	 2.519 	 236.2 	 302 	 240 	 217 	 2118 	-7.6 
 3.03 	 .3 	 119.5 	 27.68 	 39 	 2.535 	 236.4 	 302 	 240 	 218 	 2115 	-7.5 
 3.23 	 .32 	 119.5 	 27.73 	 39 	 2.536 	 236.8 	 302 	 239 	 217 	 2117 	-7.4 
 3.43 	 .34 	 119.5 	 27.85 	 39 	 2.542 	 236.8 	 302 	 240 	 218 	 2117 	-7.4 
 3.64 	 .36 	 119.5 	 27.82 	 39 	 2.538 	 236.5 	 302 	 240 	 217 	 2117 	-7.3 
 3.84 	 .38 	 119.5 	 27.88 	 39 	 2.543 	 236.3 	 302 	 239 	 217 	 2116 	-7.4 
 4.04 	 .4 	 119.5 	 27.62 	 38 	 2.522 	 236.6 	 302 	 240 	 217 	 2116 	-7.8 
 4.24 	 .42 	 119.6 	 27.38 	 38 	 2.547 	 236.5 	 302 	 240 	 217 	 2116 	-7.1 
 4.44 	 .44 	 119.5 	 26.44 	 36 	 2.526 	 236.3 	 302 	 239 	 218 	 2115 	-7 
 4.65 	 .46 	 119.5 	 25.79 	 35 	 2.509 	 236.7 	 302 	 240 	 217 	 2118 	-7.4 
 4.85 	 .48 	 119.5 	 25.08 	 34 	 2.496 	 236.7 	 302 	 240 	 217 	 2116 	-7.3 
 5.05 	 .5 	 119.5 	 24.32 	 33 	 2.469 	 236.3 	 302 	 239 	 217 	 2115 	-7.3 
 5.25 	 .52 	 119.5 	 22.92 	 32 	 2.413 	 236.3 	 302 	 240 	 218 	 2117 	-7.3 
