

时间(S),振次,轴位移(mm),力(kN),应力(kPa),变形(mm),侧位移(mm),围压(kPa),孔压(kPa),反压(kPa),体变(ml),小体变(ml)
0.00,0.00, 108.2 , 21.2 , 300 ,-6.606 , 234.5 , 300 , 221 , 201 , 2113 ,-8.5 
 .2 , .02 , 108.1 , 21.18 , 30 ,-6.636 , 234.7 , 300 , 221 , 201 , 2115 ,-8.6 
 .4 , .04 , 108.3 , 21.19 , 30 ,-6.63 , 233.7 , 300 , 221 , 200 , 2112 ,-8.1 
 .61 , .06 , 108.1 , 21.26 , 31 ,-6.618 , 234.6 , 299 , 221 , 200 , 2113 ,-8.5 
 .81 , .08 , 108.2 , 21.94 , 32 ,-6.629 , 234.6 , 300 , 221 , 200 , 2114 ,-8.6 
 1.01 , .1 , 108.2 , 22.5 , 32 ,-6.634 , 234.5 , 300 , 220 , 201 , 2114 ,-8.1 
 1.21 , .12 , 108.3 , 22.82 , 33 ,-6.639 , 234.3 , 300 , 221 , 200 , 2114 ,-8.4 
 1.41 , .14 , 108.3 , 23.27 , 33 ,-6.631 , 234.3 , 301 , 221 , 200 , 2114 ,-8.4 
 1.62 , .16 , 108.3 , 23.59 , 34 ,-6.639 , 234.4 , 301 , 220 , 201 , 2113 ,-8 
 1.82 , .18 , 108.6 , 23.76 , 34 ,-6.62 , 234.6 , 301 , 221 , 200 , 2115 ,-8.4 
 2.02 , .2 , 108.6 , 23.8 , 34 ,-6.628 , 234.4 , 301 , 220 , 200 , 2112 ,-8.5 
 2.22 , .22 , 108.7 , 24.14 , 34 ,-6.641 , 234.2 , 301 , 219 , 200 , 2115 ,-8.1 
 2.42 , .24 , 108.8 , 24.29 , 34 ,-6.642 , 234.3 , 301 , 220 , 200 , 2113 ,-8.3 
 2.63 , .26 , 108.9 , 24.5 , 35 ,-6.656 , 235.1 , 301 , 220 , 199 , 2114 ,-8.5 
 2.83 , .28 , 109.2 , 24.79 , 35 ,-6.648 , 234.4 , 301 , 220 , 200 , 2113 ,-8.1 
 3.03 , .3 , 109.5 , 25.07 , 35 ,-6.627 , 234.4 , 301 , 220 , 200 , 2116 ,-8.4 
 3.23 , .32 , 109.4 , 25.18 , 36 ,-6.637 , 234.6 , 301 , 220 , 200 , 2113 ,-8 
 3.43 , .34 , 109.6 , 25.47 , 36 ,-6.656 , 234.5 , 301 , 220 , 200 , 2112 ,-8.4 
 3.64 , .36 , 109.7 , 25.46 , 36 ,-6.651 , 234.6 , 301 , 220 , 200 , 2114 ,-8.9 
 3.84 , .38 , 109.7 , 25.44 , 36 ,-6.639 , 234.7 , 301 , 220 , 200 , 2112 ,-8.1 
 4.04 , .4 , 109.8 , 25.46 , 36 ,-6.629 , 234.2 , 301 , 221 , 200 , 2113 ,-8.4 
 4.24 , .42 , 109.9 , 25.37 , 35 ,-6.63 , 233.9 , 301 , 220 , 200 , 2116 ,-8.5 
 4.44 , .44 , 110 , 25.31 , 35 ,-6.639 , 234.7 , 301 , 220 , 200 , 2116 ,-8.3 
 4.65 , .46 , 110 , 25.11 , 36 ,-6.621 , 234.6 , 300 , 221 , 200 , 2114 ,-8.1 
 4.85 , .48 , 110.1 , 24.78 , 35 ,-6.623 , 234.1 , 301 , 221 , 200 , 2114 ,-8 
 5.05 , .5 , 110 , 24.49 , 35 ,-6.601 , 234.3 , 301 , 221 , 201 , 2113 ,-8.1 
 5.25 , .52 , 110.2 , 24.37 , 34 ,-6.609 , 234.6 , 301 , 221 , 201 , 2116 ,-8.3 
 5.45 , .54 , 110.1 , 24.15 , 33 ,-6.577 , 234.9 , 301 , 221 , 200 , 2112 ,-8 
 5.66 , .56 , 110.1 , 23.12 , 32 ,-6.633 , 234.1 , 300 , 221 , 201 , 2115 ,-8.6 
 5.86 , .58 , 109.9 , 22.52 , 31 ,-6.621 , 234.2 , 301 , 221 , 200 , 2115 ,-8.3 
 6.06 , .6 , 110 , 21.63 , 29 ,-6.617 , 234.4 , 300 , 221 , 200 , 2114 ,-8.3 
 6.26 , .62 , 109.9 , 20.3 , 28 ,-6.625 , 234.8 , 301 , 221 , 200 , 2116 ,-8.4 
 6.46 , .64 , 110 , 19.47 , 27 ,-6.622 , 234.3 , 301 , 221 , 200 , 2114 ,-8.4 
 6.67 , .66 , 110 , 18.97 , 26 ,-6.622 , 234.1 , 300 , 221 , 201 , 2113 ,-8.5 
 6.87 , .68 , 109.8 , 17.84 , 25 ,-6.634 , 234.5 , 301 , 221 , 201 , 2114 ,-8.3 
 7.07 , .7 , 109.8 , 17.35 , 24 ,-6.643 , 234.7 , 301 , 222 , 201 , 2114 ,-8.4 
 7.27 , .72 , 109.7 , 16.96 , 23 ,-6.633 , 234.8 , 300 , 221 , 201 , 2114 ,-8.1 
 7.47 , .74 , 109.8 , 16.59 , 22 ,-6.631 , 234.2 , 300 , 222 , 201 , 2114 ,-8.3 
 7.68 , .76 , 109.7 , 15.99 , 23 ,-6.617 , 234.1 , 299 , 222 , 201 , 2113 ,-8.4 
 7.88 , .78 , 109.7 , 15.88 , 22 ,-6.622 , 234.5 , 300 , 222 , 202 , 2113 ,-8.4 
 8.08 , .8 , 109.7 , 15.68 , 22 ,-6.614 , 234.6 , 299 , 223 , 202 , 2115 ,-8.5 
 8.28 , .82 , 109.7 , 15.38 , 22 ,-6.611 , 234.6 , 299 , 222 , 202 , 2115 ,-8.5 
 8.48 , .84 , 109.8 , 15.54 , 22 ,-6.621 , 234.3 , 299 , 222 , 202 , 2113 ,-8.3 
 8.69 , .86 , 109.8 , 15.47 , 22 ,-6.622 , 234.5 , 300 , 223 , 201 , 2115 ,-8.1 
 8.89 , .88 , 109.7 , 15.55 , 22 ,-6.62 , 235.1 , 299 , 223 , 202 , 2113 ,-8.3 
 9.09 , .9 , 109.7 , 15.45 , 22 ,-6.632 , 234.6 , 300 , 223 , 203 , 2116 ,-8.4 
 9.29 , .92 , 109.6 , 15.57 , 22 ,-6.636 , 234.5 , 300 , 223 , 202 , 2115 ,-8.3 
 9.49 , .94 , 109.7 , 15.58 , 23 ,-6.615 , 234.2 , 299 , 223 , 203 , 2118 ,-8.5 
 9.7 , .96 , 109.7 , 16.65 , 24 ,-6.621 , 234.6 , 300 , 223 , 203 , 2115 ,-8.5 
 9.9 , .99 , 109.9 , 17.22 , 25 ,-6.627 , 234.6 , 300 , 223 , 203 , 2114 ,-8.6 
