

时间(S),振次,轴位移(mm),力(kN),应力(kPa),变形(mm),侧位移(mm),围压(kPa),孔压(kPa),反压(kPa),体变(ml),小体变(ml)
0.00,0.00, 142.9 , 21.47 , 304 ,-4.51 , 241.4 , 304 , 230 , 208 , 2271 ,-7.3 
 .2 , .02 , 142.9 , 21.34 , 30 ,-4.495 , 241.7 , 304 , 230 , 209 , 2271 ,-6.9 
 .4 , .04 , 142.9 , 21.54 , 31 ,-4.481 , 241.3 , 304 , 231 , 209 , 2273 ,-7.1 
 .61 , .06 , 142.9 , 22.21 , 32 ,-4.47 , 241 , 304 , 231 , 209 , 2271 ,-7.4 
 .81 , .08 , 142.9 , 23.01 , 34 ,-4.475 , 241.1 , 304 , 231 , 209 , 2271 ,-7.1 
 1.01 , .1 , 143 , 23.86 , 35 ,-4.444 , 241.4 , 304 , 231 , 209 , 2271 ,-7.3 
 1.21 , .12 , 143 , 25.45 , 37 ,-4.405 , 241.3 , 304 , 230 , 209 , 2272 ,-7.1 
 1.41 , .14 , 143 , 26.34 , 38 ,-4.37 , 241.2 , 303 , 230 , 209 , 2272 ,-7.4 
 1.62 , .16 , 143 , 26.96 , 39 ,-4.353 , 241.1 , 304 , 230 , 208 , 2272 ,-7.3 
 1.82 , .18 , 143.1 , 27.85 , 41 ,-4.332 , 241.3 , 304 , 230 , 208 , 2269 ,-7.5 
 2.02 , .2 , 143.1 , 29.16 , 42 ,-4.29 , 241.7 , 304 , 229 , 208 , 2274 ,-7 
 2.22 , .22 , 143.1 , 29.69 , 43 ,-4.278 , 241.5 , 304 , 229 , 207 , 2272 ,-7 
 2.42 , .24 , 143.1 , 29.94 , 44 ,-4.236 , 241.1 , 305 , 229 , 207 , 2272 ,-7.5 
 2.63 , .26 , 143.2 , 30.68 , 44 ,-4.208 , 241.3 , 304 , 229 , 207 , 2270 ,-7.4 
 2.83 , .28 , 143.2 , 30.9 , 44 ,-4.21 , 241.7 , 304 , 228 , 207 , 2273 ,-7.4 
 3.03 , .3 , 143.2 , 30.99 , 44 ,-4.19 , 241.6 , 304 , 228 , 207 , 2270 ,-7 
 3.23 , .32 , 143.1 , 31.05 , 44 ,-4.219 , 241 , 304 , 228 , 207 , 2272 ,-7.4 
 3.43 , .34 , 143.2 , 31 , 44 ,-4.195 , 241 , 304 , 228 , 207 , 2271 ,-7 
 3.64 , .36 , 143.2 , 30.97 , 43 ,-4.191 , 241.5 , 304 , 228 , 207 , 2272 ,-7 
 3.84 , .38 , 143.2 , 30.83 , 43 ,-4.199 , 241.5 , 304 , 228 , 207 , 2272 ,-7.3 
 4.04 , .4 , 143.2 , 30.18 , 42 ,-4.191 , 241.2 , 303 , 228 , 207 , 2272 ,-7.4 
 4.24 , .42 , 143.2 , 29.53 , 41 ,-4.194 , 241.1 , 304 , 228 , 206 , 2272 ,-7.1 
 4.44 , .44 , 143.1 , 28.86 , 39 ,-4.207 , 241.1 , 304 , 228 , 207 , 2270 ,-7.1 
 4.65 , .46 , 143.2 , 27.02 , 37 ,-4.246 , 241.4 , 303 , 228 , 207 , 2271 ,-7.3 
 4.85 , .48 , 143.2 , 26.12 , 36 ,-4.266 , 241.4 , 303 , 229 , 207 , 2271 ,-7.4 
 5.05 , .5 , 143.1 , 25.17 , 34 ,-4.293 , 241.1 , 303 , 228 , 207 , 2273 ,-7.5 
 5.25 , .52 , 143.1 , 24.23 , 32 ,-4.323 , 241.1 , 303 , 228 , 207 , 2271 ,-7 
 5.45 , .54 , 143 , 22.28 , 31 ,-4.382 , 241.5 , 303 , 229 , 207 , 2272 ,-7.5 
 5.66 , .56 , 143 , 21.18 , 29 ,-4.409 , 241.3 , 302 , 229 , 208 , 2270 ,-7.5 
 5.86 , .58 , 143 , 20.21 , 27 ,-4.422 , 241.1 , 302 , 230 , 208 , 2273 ,-7.9 
 6.06 , .6 , 142.8 , 18.7 , 26 ,-4.563 , 241 , 301 , 231 , 209 , 2273 ,-7.3 
 6.26 , .62 , 142.8 , 17.97 , 25 ,-4.597 , 241.3 , 301 , 232 , 210 , 2271 ,-7.1 
 6.46 , .64 , 142.7 , 17.13 , 23 ,-4.647 , 241.3 , 301 , 233 , 211 , 2270 ,-7.1 
 6.67 , .66 , 142.7 , 16.66 , 22 ,-4.714 , 241.2 , 301 , 234 , 213 , 2272 ,-7 
 6.87 , .68 , 142.6 , 15.4 , 21 ,-4.833 , 240.8 , 301 , 236 , 214 , 2272 ,-7 
 7.07 , .7 , 142.5 , 15.02 , 20 ,-4.887 , 241.3 , 300 , 237 , 215 , 2271 ,-6.9 
 7.27 , .72 , 142.4 , 14.52 , 20 ,-4.96 , 241.4 , 301 , 238 , 216 , 2269 ,-7.3 
 7.47 , .74 , 142.3 , 13.74 , 19 ,-5.053 , 241.1 , 300 , 240 , 218 , 2270 ,-7.4 
 7.68 , .76 , 142.2 , 13.38 , 19 ,-5.115 , 241.1 , 300 , 241 , 219 , 2270 ,-7.6 
 7.88 , .78 , 142.2 , 13.2 , 18 ,-5.158 , 241.3 , 301 , 242 , 219 , 2271 ,-7.3 
 8.08 , .8 , 142 , 12.78 , 18 ,-5.283 , 241.6 , 301 , 244 , 221 , 2271 ,-7.3 
 8.28 , .82 , 142 , 12.62 , 18 ,-5.309 , 241.2 , 302 , 244 , 222 , 2271 ,-7.5 
 8.48 , .84 , 141.9 , 12.65 , 18 ,-5.324 , 241.1 , 301 , 245 , 222 , 2271 ,-7.6 
 8.69 , .86 , 142 , 12.63 , 18 ,-5.346 , 241.1 , 301 , 245 , 222 , 2272 ,-7.4 
 8.89 , .88 , 141.9 , 12.7 , 18 ,-5.358 , 241.8 , 302 , 245 , 222 , 2271 ,-7.3 
 9.09 , .9 , 142 , 12.73 , 18 ,-5.381 , 241.9 , 302 , 245 , 222 , 2272 ,-7 
 9.29 , .92 , 141.9 , 12.8 , 18 ,-5.386 , 241.2 , 302 , 245 , 223 , 2270 ,-7.4 
 9.49 , .94 , 141.9 , 13.27 , 19 ,-5.377 , 241.2 , 303 , 246 , 223 , 2272 ,-7.3 
 9.7 , .96 , 141.9 , 13.9 , 20 ,-5.345 , 241.6 , 302 , 246 , 223 , 2272 ,-7.1 
 9.9 , .99 , 142 , 14.54 , 22 ,-5.306 , 241.7 , 302 , 246 , 223 , 2271 ,-7.1 
 10.1 , 1.01 , 142 , 15.12 , 23 ,-5.257 , 241.2 , 303 , 246 , 223 , 2270 ,-7.1 
 10.3 , 1.03 , 142.1 , 16.85 , 25 ,-5.133 , 241.1 , 303 , 246 , 223 , 2271 ,-7.4 
 10.5 , 1.05 , 142.2 , 17.76 , 27 ,-5.044 , 241.7 , 303 , 246 , 223 , 2271 ,-7.1 
 10.71 , 1.07 , 142.4 , 18.83 , 29 ,-4.969 , 241.9 , 304 , 244 , 221 , 2271 ,-7.4 
 10.91 , 1.09 , 142.6 , 21.13 , 31 ,-4.786 , 241.6 , 305 , 241 , 219 , 2271 ,-7.4 
 11.11 , 1.11 , 142.7 , 22.52 , 34 ,-4.69 , 241.1 , 305 , 240 , 218 , 2272 ,-7.3 
 11.31 , 1.13 , 142.8 , 23.77 , 36 ,-4.592 , 241.5 , 306 , 238 , 216 , 2269 ,-7.4 
 11.51 , 1.15 , 142.9 , 25.06 , 38 ,-4.517 , 241.7 , 306 , 236 , 215 , 2271 ,-7.4 
 11.72 , 1.17 , 143 , 27.47 , 40 ,-4.4 , 242 , 306 , 234 , 212 , 2271 ,-7.3 
 11.92 , 1.19 , 143 , 28.27 , 41 ,-4.337 , 241.3 , 306 , 233 , 212 , 2270 ,-7.4 
 12.12 , 1.21 , 143.1 , 29.27 , 43 ,-4.303 , 241.5 , 306 , 233 , 210 , 2271 ,-7.4 
 12.32 , 1.23 , 143.2 , 30.49 , 43 ,-4.257 , 241.7 , 305 , 231 , 210 , 2269 ,-7.1 
 12.52 , 1.25 , 143.2 , 30.92 , 44 ,-4.226 , 241.8 , 306 , 231 , 209 , 2272 ,-7.6 
 12.73 , 1.27 , 143.2 , 31.14 , 45 ,-4.199 , 241.3 , 305 , 231 , 208 , 2273 ,-7.6 
 12.93 , 1.29 , 143.2 , 31.44 , 44 ,-4.176 , 241.2 , 304 , 230 , 208 , 2272 ,-7.4 
 13.13 , 1.31 , 143.2 , 31.47 , 45 ,-4.157 , 241.5 , 305 , 230 , 208 , 2274 ,-7.1 
 13.33 , 1.33 , 143.2 , 31.46 , 45 ,-4.152 , 241.7 , 304 , 230 , 208 , 2272 ,-7.4 
 13.53 , 1.35 , 143.2 , 31.45 , 44 ,-4.159 , 241.4 , 305 , 230 , 208 , 2270 ,-7.1 
 13.74 , 1.37 , 143.2 , 31.29 , 44 ,-4.17 , 241.4 , 304 , 230 , 208 , 2271 ,-7 
 13.94 , 1.39 , 143.2 , 31.23 , 44 ,-4.171 , 241.4 , 304 , 230 , 208 , 2269 ,-7.1 
 14.14 , 1.41 , 143.2 , 30.8 , 42 ,-4.17 , 241.8 , 304 , 230 , 208 , 2271 ,-7.1 
 14.34 , 1.43 , 143.2 , 29.4 , 41 ,-4.181 , 241.9 , 304 , 230 , 208 , 2270 ,-7.4 
