时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 146.4 	 21.27 	 301 	-.998 	 241.6 	 300 	 243 	 221 	 2273 	-7.8 
 .2 	 .02 	 146.5 	 21.43 	 30 	-.981 	 241.3 	 300 	 243 	 221 	 2271 	-7.1 
 .4 	 .04 	 146.5 	 21.49 	 31 	-.983 	 241.4 	 300 	 243 	 220 	 2272 	-7.3 
 .61 	 .06 	 146.5 	 21.79 	 31 	-.983 	 241.6 	 299 	 242 	 220 	 2273 	-7.5 
 .81 	 .08 	 146.5 	 23.25 	 34 	-.928 	 241.1 	 296 	 242 	 220 	 2272 	-7.6 
 1.01 	 .1 	 146.6 	 24.32 	 36 	-.907 	 242 	 296 	 242 	 220 	 2271 	-7.1 
 1.21 	 .12 	 146.6 	 25.25 	 37 	-.883 	 241.3 	 297 	 242 	 219 	 2272 	-7.4 
 1.41 	 .14 	 146.6 	 25.91 	 38 	-.847 	 241.8 	 296 	 241 	 219 	 2271 	-7.6 
 1.62 	 .16 	 146.6 	 27.7 	 39 	-.777 	 241.2 	 295 	 240 	 218 	 2271 	-7.5 
 1.82 	 .18 	 146.7 	 28.42 	 41 	-.766 	 241.3 	 296 	 240 	 217 	 2274 	-7.3 
 2.02 	 .2 	 146.6 	 29.14 	 41 	-.756 	 241.6 	 296 	 239 	 217 	 2272 	-7.3 
 2.22 	 .22 	 146.7 	 29.94 	 43 	-.727 	 241.5 	 294 	 238 	 216 	 2270 	-7.5 
 2.42 	 .24 	 146.7 	 30.38 	 44 	-.69 	 241.7 	 294 	 237 	 215 	 2272 	-7 
 2.63 	 .26 	 146.7 	 30.83 	 44 	-.668 	 241.4 	 296 	 237 	 215 	 2272 	-7.4 
 2.83 	 .28 	 146.8 	 31.27 	 43 	-.672 	 242.3 	 295 	 236 	 215 	 2273 	-7.5 
 3.03 	 .3 	 146.8 	 30.96 	 44 	-.656 	 241.5 	 294 	 237 	 214 	 2270 	-6.9 
 3.23 	 .32 	 146.7 	 31.2 	 44 	-.641 	 241.7 	 294 	 236 	 215 	 2272 	-7.5 
 3.43 	 .34 	 146.7 	 31.08 	 44 	-.651 	 241.4 	 295 	 237 	 215 	 2272 	-7.4 
 3.64 	 .36 	 146.8 	 30.97 	 44 	-.642 	 241.6 	 294 	 236 	 214 	 2271 	-7.3 
 3.84 	 .38 	 146.8 	 30.93 	 44 	-.641 	 241.7 	 293 	 237 	 214 	 2269 	-7.3 
 4.04 	 .4 	 146.8 	 30.84 	 42 	-.644 	 241.5 	 293 	 236 	 214 	 2273 	-7.5 
 4.24 	 .42 	 146.8 	 29.52 	 41 	-.663 	 241.8 	 294 	 236 	 215 	 2272 	-7.1 
 4.44 	 .44 	 146.7 	 28.72 	 40 	-.686 	 241.3 	 293 	 236 	 215 	 2272 	-7.4 
 4.65 	 .46 	 146.8 	 27.8 	 38 	-.706 	 241.8 	 292 	 237 	 214 	 2272 	-7.5 
 4.85 	 .48 	 146.8 	 26.95 	 36 	-.693 	 241.1 	 294 	 237 	 214 	 2273 	-7.3 
 5.05 	 .5 	 146.7 	 24.99 	 34 	-.768 	 241.9 	 294 	 237 	 215 	 2271 	-6.8 
 5.25 	 .52 	 146.7 	 23.81 	 32 	-.802 	 241.5 	 293 	 237 	 215 	 2274 	-7.6 
