时间(S)	轴位移(mm)	力(kN)	力(kPa)	变形(mm)	 侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(kPa)	小体变(ml)
0.0	 99.6 	 11.63 	 165 	-6.651 	 0 	 300 	 280 	 256 	 1250 	-8.1 
 .5 	 99.5 	 11.65 	 .16 	-6.638 	 220 	 300 	 281 	 257 	 1252 	-8.5 
 1 	 99.7 	 11.54 	 .16 	-6.631 	 220 	 300 	 281 	 257 	 1248 	-8.3 
 1.5 	 99.6 	 11.6 	 .16 	-6.615 	 220 	 300 	 280 	 257 	 1251 	-8.1 
 2 	 99.7 	 11.57 	 .17 	-6.639 	 220 	 300 	 281 	 256 	 1251 	-8.1 
 2.5 	 99.4 	 11.57 	 .17 	-6.635 	 220 	 300 	 281 	 257 	 1251 	-8.1 
 3 	 99.6 	 11.6 	 .16 	-6.639 	 220 	 300 	 280 	 257 	 1250 	-8 
 3.5 	 99.5 	 11.54 	 .16 	-6.633 	 220 	 300 	 281 	 257 	 1251 	-8 
 4 	 99.5 	 11.56 	 .17 	-6.624 	 220 	 300 	 281 	 256 	 1249 	-8 
 4.5 	 99.7 	 11.46 	 .16 	-6.622 	 220 	 300 	 281 	 256 	 1250 	-8.3 
 5 	 99.5 	 11.59 	 .16 	-6.626 	 220 	 300 	 281 	 257 	 1251 	-8.3 
 5.5 	 99.4 	 11.6 	 .17 	-6.636 	 220 	 300 	 281 	 257 	 1250 	-8.1 
 6 	 99.8 	 11.57 	 .17 	-6.625 	 220 	 301 	 281 	 257 	 1251 	-8.3 
 6.5 	 99.5 	 11.59 	 .16 	-6.63 	 220 	 301 	 281 	 257 	 1252 	-8.3 
 7 	 99.7 	 11.69 	 .16 	-6.619 	 220 	 300 	 281 	 257 	 1250 	-8.4 
 7.5 	 99.6 	 11.6 	 .16 	-6.606 	 221 	 300 	 280 	 257 	 1251 	-8.1 
 8 	 99.7 	 11.56 	 .16 	-6.629 	 220 	 300 	 281 	 257 	 1251 	-8.4 
 8.5 	 99.5 	 11.34 	 .16 	-6.628 	 220 	 301 	 281 	 256 	 1251 	-8.3 
 9 	 99.6 	 11.33 	 .16 	-6.619 	 220 	 300 	 280 	 257 	 1252 	-7.9 
 9.5 	 99.6 	 11.33 	 .16 	-6.622 	 220 	 300 	 280 	 256 	 1251 	-8 
 10 	 99.7 	 11.18 	 .16 	-6.622 	 220 	 300 	 280 	 256 	 1251 	-8.3 
 10.5 	 99.6 	 11.29 	 .16 	-6.613 	 220 	 301 	 280 	 256 	 1250 	-8.4 
 11 	 99.5 	 11.15 	 .16 	-6.62 	 221 	 300 	 280 	 256 	 1251 	-8.4 
 11.5 	 99.7 	 11.22 	 .16 	-6.611 	 220 	 300 	 279 	 256 	 1249 	-8 
 12 	 99.4 	 11.24 	 .16 	-6.618 	 220 	 300 	 280 	 256 	 1251 	-8 
 12.5 	 99.6 	 11.22 	 .16 	-6.628 	 220 	 300 	 280 	 256 	 1250 	-8 
 13 	 99.5 	 11.18 	 .17 	-6.624 	 221 	 300 	 280 	 256 	 1252 	-8 
 13.5 	 99.4 	 11.2 	 .16 	-6.616 	 220 	 301 	 280 	 255 	 1249 	-8.1 
 14 	 99.5 	 11.24 	 .16 	-6.623 	 220 	 300 	 280 	 255 	 1249 	-8.4 
 14.5 	 99.4 	 11.25 	 .16 	-6.631 	 220 	 300 	 279 	 255 	 1250 	-8.3 
 15 	 99.8 	 11.28 	 .16 	-6.625 	 220 	 301 	 280 	 256 	 1251 	-8.4 
 15.5 	 99.6 	 11.28 	 .16 	-6.626 	 220 	 301 	 279 	 256 	 1250 	-8.1 
 16 	 99.4 	 11.26 	 .16 	-6.634 	 220 	 301 	 279 	 255 	 1254 	-8.5 
 16.5 	 99.6 	 11.16 	 .15 	-6.631 	 220 	 300 	 279 	 255 	 1249 	-8.3 
 17 	 99.4 	 11.24 	 .16 	-6.649 	 220 	 300 	 279 	 256 	 1250 	-8.3 
 17.5 	 99.4 	 11.21 	 .16 	-6.647 	 220 	 300 	 280 	 255 	 1251 	-8.3 
 18 	 99.4 	 11.28 	 .16 	-6.627 	 220 	 301 	 279 	 255 	 1252 	-8 
 18.5 	 99.6 	 11.23 	 .16 	-6.631 	 220 	 301 	 279 	 255 	 1248 	-8.1 
 19 	 99.4 	 11.32 	 .16 	-6.626 	 220 	 300 	 279 	 256 	 1252 	-8.1 
 19.5 	 99.6 	 11.34 	 .16 	-6.627 	 220 	 300 	 280 	 255 	 1251 	-7.9 
 20 	 99.5 	 11.35 	 .16 	-6.62 	 220 	 300 	 279 	 256 	 1250 	-8 
 20.5 	 99.3 	 11.29 	 .16 	-6.634 	 220 	 300 	 280 	 255 	 1249 	-8.4 
 21 	 99.4 	 11.4 	 .16 	-6.638 	 221 	 300 	 280 	 256 	 1250 	-8.4 
 21.5 	 99.5 	 11.41 	 .16 	-6.633 	 220 	 301 	 280 	 256 	 1250 	-8.3 
 22 	 99.6 	 11.26 	 .16 	-6.615 	 220 	 300 	 280 	 255 	 1250 	-8.1 
 22.5 	 99.3 	 11.33 	 .16 	-6.632 	 220 	 300 	 280 	 256 	 1249 	-8.3 
 23 	 99.5 	 11.38 	 .16 	-6.622 	 220 	 300 	 280 	 256 	 1251 	-8.3 
 23.5 	 99.6 	 11.34 	 .16 	-6.624 	 220 	 300 	 280 	 256 	 1251 	-8 
 24 	 99.5 	 11.42 	 .16 	-6.627 	 220 	 300 	 280 	 256 	 1250 	-8 
 24.5 	 99.6 	 11.4 	 .16 	-6.618 	 220 	 300 	 280 	 256 	 1251 	-7.9 
 25 	 99.4 	 11.43 	 .16 	-6.63 	 220 	 300 	 280 	 256 	 1248 	-8 
 25.5 	 99.5 	 11.4 	 .16 	-6.633 	 220 	 300 	 280 	 256 	 1250 	-8.5 
 26 	 99.7 	 11.39 	 .16 	-6.64 	 220 	 300 	 271 	 255 	 1252 	-8.3 
 26.5 	 99.5 	 11.12 	 .16 	-6.629 	 220 	 299 	 257 	 251 	 1261 	-8.3 
