时间,振次,轴位移,力,变形,围压,孔压,反压,sigma_d,epsilon_d,d1,pore_pressure,back_pressure
0.0,0.0,144.2,21.27,1.138,299,255,235,0.0,0.0,0.0,0,0
0.2,0.02,144.2,21.27,1.1340000000000001,299,255,236,0.0,-6.666666666666302e-06,0.0,0,1
0.4,0.04,144.2,21.37,1.141,299,256,234,1.4147106052613119,5.000000000000189e-06,0.0,1,-1
0.61,0.06,144.2,22.33,1.122,300,256,234,14.995932415769676,-2.666666666666632e-05,0.0,1,-1
0.81,0.08,144.3,23.64,1.186,300,256,235,33.52864134469263,8.000000000000007e-05,0.00016666666666670455,1,0
1.01,0.1,144.3,26.11,1.273,299,255,233,68.47199329464652,0.00022500000000000002,0.00016666666666670455,0,-2
1.21,0.12,144.4,27.47,1.321,300,254,233,87.71205752620008,0.0003050000000000001,0.00033333333333336173,-1,-2
1.41,0.14,144.4,28.68,1.3780000000000001,300,254,233,104.83005584986174,0.00040000000000000034,0.00033333333333336173,-1,-2
1.62,0.16,144.5,30.98,1.4780000000000002,301,253,232,137.36839977087146,0.0005666666666666671,0.000500000000000019,-2,-3
1.82,0.18,144.5,31.95,1.528,302,252,231,151.09109264190596,0.0006500000000000002,0.000500000000000019,-3,-4
2.02,0.2,144.6,32.59,1.588,301,251,230,160.1452405155783,0.0007500000000000003,0.0006666666666666762,-4,-5
2.22,0.22,144.6,33.61,1.6440000000000001,302,250,230,174.57528868924342,0.0008433333333333337,0.0006666666666666762,-5,-5
2.42,0.24,144.7,34.42,1.7380000000000002,302,249,228,186.0344445918599,0.0010000000000000005,0.0008333333333333334,-6,-7
2.63,0.26,144.7,35.03,1.767,302,248,227,194.66417928395379,0.0010483333333333334,0.0008333333333333334,-7,-8
2.83,0.28,144.8,35.4,1.801,301,247,227,199.89860852342053,0.001105,0.001000000000000038,-8,-8
3.03,0.3,144.8,35.33,1.8719999999999999,301,247,226,198.90831109973763,0.0012233333333333332,0.001000000000000038,-8,-9
3.23,0.32,144.8,35.49,1.902,301,247,226,201.17184806815573,0.0012733333333333333,0.001000000000000038,-8,-9
3.43,0.34,144.8,35.3,1.922,301,247,225,198.48389791815922,0.0013066666666666667,0.001000000000000038,-8,-10
3.64,0.36,144.9,34.88,1.903,302,246,226,192.54211337606188,0.0012750000000000003,0.0011666666666666952,-9,-9
3.84,0.38,144.9,34.72,1.925,301,246,225,190.27857640764375,0.001311666666666667,0.0011666666666666952,-9,-10
4.04,0.4,144.9,34.5,1.92,300,246,225,187.1662130760689,0.0013033333333333334,0.0011666666666666952,-9,-10
4.24,0.42,144.8,34.04,1.9240000000000002,300,247,225,180.65854429186697,0.0013100000000000004,0.001000000000000038,-8,-10
4.44,0.44,144.8,31.5,1.864,299,247,225,144.72489491823018,0.0012100000000000004,0.001000000000000038,-8,-10
4.65,0.46,144.9,30.3,1.837,300,247,226,127.74836765509467,0.001165,0.0011666666666666952,-8,-9
4.85,0.48,144.7,28.61,1.804,300,247,227,103.83975842617882,0.0011100000000000003,0.0008333333333333334,-8,-8
5.05,0.5,144.7,25.86,1.704,299,247,226,64.9352167814933,0.0009433333333333335,0.0008333333333333334,-8,-9
5.25,0.52,144.7,24.36,1.6580000000000001,299,248,226,43.71455770257392,0.0008666666666666671,0.0008333333333333334,-7,-9
5.45,0.54,144.7,22.83,1.608,299,249,228,22.069485442076136,0.0007833333333333337,0.0008333333333333334,-6,-7
5.66,0.56,144.5,20.23,1.4609999999999999,298,250,229,-14.712990294717423,0.0005383333333333333,0.000500000000000019,-5,-6
5.86,0.58,144.5,19.03,1.391,298,251,229,-31.689517557852916,0.00042166666666666687,0.000500000000000019,-4,-6
6.06,0.6,144.4,17.77,1.294,297,253,231,-49.514871184145214,0.00026000000000000025,0.00033333333333336173,-2,-4
6.26,0.62,144.4,16.87,1.1840000000000002,297,254,232,-62.24726663149682,7.66666666666671e-05,0.00033333333333336173,-1,-3
6.46,0.64,144.2,14.9,0.919,296,257,235,-90.11706555514428,-0.00036499999999999976,0.0,2,0
6.67,0.66,144.0,14.35,0.7809999999999999,296,259,237,-97.8979738840814,-0.0005949999999999999,-0.0003333333333333144,4,2
6.87,0.68,143.9,13.53,0.615,296,260,240,-109.498600847224,-0.0008716666666666665,-0.0004999999999999716,5,5
7.07,0.7,143.6,12.37,0.261,296,264,242,-125.90924386825498,-0.0014616666666666665,-0.0009999999999999905,9,7
7.27,0.72,143.3,12.16,0.053,297,266,244,-128.8801361393037,-0.0018083333333333332,-0.001499999999999962,11,9
7.47,0.74,143.1,11.9,-0.165,297,267,245,-132.55838371298304,-0.0021716666666666664,-0.0018333333333333238,12,10
7.68,0.76,142.8,11.73,-0.42100000000000004,297,267,245,-134.96339174192724,-0.002598333333333333,-0.0023333333333332954,12,10
7.88,0.78,142.4,11.45,-0.848,298,268,246,-138.92458143665885,-0.0033099999999999996,-0.0029999999999999714,13,11
8.08,0.8,142.3,11.31,-1.092,298,269,246,-140.90517628402466,-0.0037166666666666667,-0.003166666666666629,14,11
8.28,0.82,141.9,11.4,-1.3119999999999998,298,268,246,-139.6319367392895,-0.004083333333333333,-0.003833333333333305,13,11
8.48,0.84,141.5,11.09,-1.749,298,269,245,-144.0175396155995,-0.004811666666666666,-0.0044999999999999814,14,10
8.69,0.86,141.3,11.15,-1.96,299,269,246,-143.16871325244273,-0.005163333333333333,-0.004833333333333295,14,11
8.89,0.88,141.2,11.07,-2.11,299,269,245,-144.30048173665176,-0.005413333333333333,-0.005,14,10
9.09,0.9,141.0,11.1,-2.237,299,267,245,-143.87606855507337,-0.005625,-0.005333333333333314,12,10
9.29,0.92,141.0,10.93,-2.39,299,268,245,-146.28107658401757,-0.00588,-0.005333333333333314,13,10
9.49,0.94,140.8,11.06,-2.457,299,268,245,-144.4419527971779,-0.005991666666666666,-0.005666666666666629,13,10
9.7,0.96,140.8,11.08,-2.432,299,267,246,-144.15901067612563,-0.0059499999999999996,-0.005666666666666629,12,11
9.9,0.99,140.9,11.49,-2.424,299,268,246,-138.35869719455434,-0.0059366666666666665,-0.005499999999999972,13,11
10.1,1.01,141.0,12.07,-2.384,298,270,247,-130.15337568403885,-0.005869999999999999,-0.005333333333333314,15,12
10.3,1.03,141.1,12.45,-2.256,299,270,248,-124.77747538404594,-0.005656666666666666,-0.005166666666666657,15,13
10.5,1.05,141.5,13.15,-1.851,298,273,252,-114.87450114721689,-0.004981666666666666,-0.0044999999999999814,18,17
10.71,1.07,141.7,13.71,-1.5630000000000002,298,274,253,-106.95212175775364,-0.004501666666666667,-0.004166666666666667,19,18
10.91,1.09,142.1,14.06,-1.27,300,276,253,-102.00063463933913,-0.004013333333333333,-0.0034999999999999905,21,18
11.11,1.11,142.5,14.73,-0.882,299,276,254,-92.52207358408847,-0.0033666666666666667,-0.0028333333333333145,21,19
11.31,1.13,143.2,17.28,0.024,301,273,250,-56.44695314992553,-0.0018566666666666664,-0.0016666666666666668,18,15
11.51,1.15,143.5,19.36,0.479,302,270,247,-27.020972560490677,-0.001098333333333333,-0.0011666666666666477,15,12
11.72,1.17,144.0,22.2,0.922,302,266,243,13.15680862893001,-0.00035999999999999975,-0.0003333333333333144,11,8
11.92,1.19,144.7,28.61,1.595,304,258,236,103.83975842617882,0.0007616666666666668,0.0008333333333333334,3,1
12.12,1.21,144.7,31.05,1.806,304,255,232,138.35869719455437,0.0011133333333333336,0.0008333333333333334,0,-3
12.32,1.23,144.9,32.84,1.965,305,254,232,163.68201702873154,0.0013783333333333336,0.0011666666666666952,-1,-3
12.52,1.25,145.2,34.79,2.186,304,250,229,191.26887383132666,0.0017466666666666668,0.0016666666666666668,-5,-6
12.73,1.27,145.2,35.19,2.262,303,248,227,196.9277162523718,0.0018733333333333336,0.0016666666666666668,-7,-8
12.93,1.29,145.3,35.54,2.345,303,247,226,201.87920337078634,0.0020116666666666672,0.0018333333333333712,-8,-9
13.13,1.31,145.3,35.88,2.379,303,247,226,206.6892194286748,0.0020683333333333335,0.0018333333333333712,-8,-9
13.33,1.33,145.3,35.71,2.469,302,247,225,204.28421139973057,0.0022183333333333334,0.0018333333333333712,-8,-10
13.53,1.35,145.4,35.3,2.4819999999999998,301,246,225,198.48389791815922,0.00224,0.0020000000000000282,-9,-10
13.74,1.37,145.4,35.27,2.489,301,246,224,198.0594847365809,0.0022516666666666666,0.0020000000000000282,-9,-11
13.94,1.39,145.4,34.8,2.4819999999999998,302,246,225,191.41034489185276,0.00224,0.0020000000000000282,-9,-10
14.14,1.41,145.5,34.58,2.5069999999999997,301,246,224,188.29798156027792,0.0022816666666666662,0.0021666666666666856,-9,-11
14.34,1.43,145.3,33.69,2.491,300,245,226,175.70705717345243,0.0022550000000000005,0.0018333333333333712,-10,-9
14.54,1.45,145.4,32.28,2.454,299,246,225,155.75963763926825,0.0021933333333333336,0.0020000000000000282,-9,-10
14.75,1.47,145.3,29.53,2.378,301,247,226,116.85509599458273,0.002066666666666667,0.0018333333333333712,-8,-9
14.95,1.49,145.4,27.9,2.331,301,246,225,93.79531312882364,0.0019883333333333333,0.0020000000000000282,-9,-10
15.15,1.51,145.4,26.51,2.3080000000000003,299,247,225,74.13083571569172,0.0019500000000000006,0.0020000000000000282,-8,-10
15.35,1.53,145.2,23.44,2.204,299,248,227,30.69922013417006,0.001776666666666667,0.0016666666666666668,-7,-8
15.55,1.55,145.1,22.23,2.126,299,249,227,13.581221810508413,0.0016466666666666667,0.0015000000000000096,-6,-8
15.76,1.57,145.1,20.61,2.076,297,250,228,-9.33708999472453,0.0015633333333333337,0.0015000000000000096,-5,-7
15.96,1.59,145.0,19.48,1.963,298,250,229,-25.323319834177113,0.0013750000000000004,0.0013333333333333524,-5,-6
16.16,1.61,145.0,17.06,1.784,297,253,231,-59.5593164815004,0.001076666666666667,0.0013333333333333524,-2,-4
16.36,1.63,144.7,16.26,1.6780000000000002,297,254,233,-70.87700132359069,0.0009000000000000004,0.0008333333333333334,-1,-2
16.56,1.65,144.7,15.17,1.545,297,257,234,-86.29734692093879,0.0006783333333333334,0.0008333333333333334,2,-1
16.77,1.67,144.4,13.6,1.24,296,259,238,-108.50830342354108,0.00017000000000000015,0.00033333333333336173,4,3
16.97,1.69,144.3,13.29,1.045,296,262,240,-112.8939062998511,-0.00015499999999999995,0.00016666666666670455,7,5
17.17,1.71,144.2,12.81,0.8640000000000001,296,263,242,-119.68451720510528,-0.0004566666666666663,0.0,8,7
17.37,1.73,143.7,12.17,0.46,296,268,245,-128.73866507877756,-0.00113,-0.0008333333333333334,13,10
17.57,1.75,143.4,11.82,0.223,296,268,246,-133.69015219719208,-0.0015249999999999999,-0.0013333333333333049,13,11
17.78,1.77,143.2,11.65,-0.026000000000000002,297,269,247,-136.09516022613627,-0.0019399999999999999,-0.0016666666666666668,14,12
17.98,1.79,143.0,11.56,-0.231,298,271,247,-137.36839977087143,-0.0022816666666666667,-0.001999999999999981,16,12
18.18,1.81,142.6,11.35,-0.711,298,272,248,-140.33929204192015,-0.003081666666666666,-0.002666666666666657,17,13
18.38,1.83,142.4,11.38,-0.93,298,271,248,-139.91487886034176,-0.003446666666666667,-0.0029999999999999714,16,13
18.58,1.85,142.2,11.32,-1.139,298,270,248,-140.76370522349853,-0.003795,-0.0033333333333333335,15,13
18.79,1.87,141.9,11.09,-1.482,298,271,248,-144.0175396155995,-0.004366666666666667,-0.003833333333333305,16,13
18.99,1.89,141.7,11.18,-1.618,300,270,248,-142.74430007086434,-0.004593333333333334,-0.004166666666666667,15,13
19.19,1.91,141.6,11.15,-1.733,300,270,248,-143.16871325244273,-0.004785,-0.004333333333333324,15,13
19.39,1.93,141.5,11.17,-1.7830000000000001,299,270,247,-142.88577113139047,-0.004868333333333334,-0.0044999999999999814,15,12
19.59,1.95,141.5,11.15,-1.8030000000000002,299,271,248,-143.16871325244273,-0.004901666666666666,-0.0044999999999999814,16,13
19.8,1.97,141.5,11.43,-1.815,300,270,248,-139.2075235577111,-0.004921666666666666,-0.0044999999999999814,15,13
20.0,2.0,141.5,11.69,-1.8090000000000002,299,271,248,-135.52927598403176,-0.004911666666666667,-0.0044999999999999814,16,13
20.2,2.02,141.7,12.57,-1.605,298,273,252,-123.07982265773238,-0.004571666666666667,-0.004166666666666667,18,17
20.4,2.04,141.9,12.93,-1.439,299,274,252,-117.98686447879174,-0.004295,-0.003833333333333305,19,17
20.6,2.06,142.1,13.39,-1.225,299,276,254,-111.47919569458979,-0.003938333333333334,-0.0034999999999999905,21,19
20.81,2.08,142.8,14.32,-0.613,299,278,255,-98.32238706565977,-0.002918333333333333,-0.0023333333333332954,23,20
21.01,2.1,143.0,14.86,-0.20199999999999999,299,277,255,-90.68294979724881,-0.0022333333333333333,-0.001999999999999981,22,20
21.21,2.12,143.5,16.0,0.21100000000000002,299,276,253,-74.55524889727008,-0.0015449999999999997,-0.0011666666666666477,21,18
21.41,2.14,143.9,17.44,0.674,302,273,250,-54.183416181507454,-0.0007733333333333331,-0.0004999999999999716,18,15
21.61,2.16,144.5,22.36,1.561,304,266,244,15.42034559734808,0.0007050000000000001,0.000500000000000019,11,9
21.82,2.18,145.0,25.79,1.936,304,261,238,63.944919357810384,0.00133,0.0013333333333333524,6,3
22.02,2.2,145.2,28.63,2.215,304,257,236,104.12270054723108,0.001795,0.0016666666666666668,2,1
22.22,2.22,145.5,32.86,2.597,305,253,232,163.96495914978374,0.0024316666666666666,0.0021666666666666856,-2,-3
22.42,2.24,145.7,33.89,2.722,306,252,231,178.53647838397504,0.00264,0.0025,-3,-4
22.62,2.26,145.8,34.51,2.8139999999999996,304,250,229,187.30768413659501,0.002793333333333333,0.0026666666666667047,-5,-6
