时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 144.2 	 21.27 	 301 	 1.138 	 40.8 	 299 	 255 	 235 	 6373 	-7.3 
 .2 	 .02 	 144.2 	 21.27 	 29 	 1.134 	 41.2 	 299 	 255 	 236 	 6370 	-7.6 
 .4 	 .04 	 144.2 	 21.37 	 31 	 1.141 	 40.4 	 299 	 256 	 234 	 6370 	-7.8 
 .61 	 .06 	 144.2 	 22.33 	 34 	 1.122 	 39.7 	 300 	 256 	 234 	 6372 	-7.3 
 .81 	 .08 	 144.3 	 23.64 	 36 	 1.186 	 41.1 	 300 	 256 	 235 	 6368 	-7.5 
 1.01 	 .1 	 144.3 	 26.11 	 39 	 1.273 	 41.2 	 299 	 255 	 233 	 6367 	-7.4 
 1.21 	 .12 	 144.4 	 27.47 	 41 	 1.321 	 39.8 	 300 	 254 	 233 	 6371 	-7.8 
 1.41 	 .14 	 144.4 	 28.68 	 43 	 1.378 	 40.7 	 300 	 254 	 233 	 6368 	-7.5 
 1.62 	 .16 	 144.5 	 30.98 	 46 	 1.478 	 41.2 	 301 	 253 	 232 	 6372 	-7.8 
 1.82 	 .18 	 144.5 	 31.95 	 46 	 1.528 	 40.2 	 302 	 252 	 231 	 6370 	-6.9 
 2.02 	 .2 	 144.6 	 32.59 	 47 	 1.588 	 40.6 	 301 	 251 	 230 	 6369 	-7.1 
 2.22 	 .22 	 144.6 	 33.61 	 48 	 1.644 	 40.8 	 302 	 250 	 230 	 6369 	-7.1 
 2.42 	 .24 	 144.7 	 34.42 	 49 	 1.738 	 39.6 	 302 	 249 	 228 	 6370 	-8 
 2.63 	 .26 	 144.7 	 35.03 	 51 	 1.767 	 40.3 	 302 	 248 	 227 	 6373 	-7.4 
 2.83 	 .28 	 144.8 	 35.4 	 51 	 1.801 	 40.5 	 301 	 247 	 227 	 6370 	-7.8 
 3.03 	 .3 	 144.8 	 35.33 	 50 	 1.872 	 39.6 	 301 	 247 	 226 	 6366 	-7.1 
 3.23 	 .32 	 144.8 	 35.49 	 50 	 1.902 	 40 	 301 	 247 	 226 	 6371 	-7.5 
 3.43 	 .34 	 144.8 	 35.3 	 50 	 1.922 	 40.3 	 301 	 247 	 225 	 6370 	-7.5 
 3.64 	 .36 	 144.9 	 34.88 	 50 	 1.903 	 39.5 	 302 	 246 	 226 	 6371 	-7.5 
 3.84 	 .38 	 144.9 	 34.72 	 49 	 1.925 	 39.8 	 301 	 246 	 225 	 6366 	-7 
 4.04 	 .4 	 144.9 	 34.5 	 47 	 1.92 	 40.8 	 300 	 246 	 225 	 6368 	-7.4 
 4.24 	 .42 	 144.8 	 34.04 	 46 	 1.924 	 39.4 	 300 	 247 	 225 	 6371 	-7.5 
 4.44 	 .44 	 144.8 	 31.5 	 43 	 1.864 	 39.7 	 299 	 247 	 225 	 6372 	-7.5 
 4.65 	 .46 	 144.9 	 30.3 	 40 	 1.837 	 40.8 	 300 	 247 	 226 	 6365 	-7.3 
 4.85 	 .48 	 144.7 	 28.61 	 38 	 1.804 	 39.7 	 300 	 247 	 227 	 6369 	-6.6 
