

时间(S),振次,轴位移(mm),力(kN),应力(kPa),变形(mm),侧位移(mm),围压(kPa),孔压(kPa),反压(kPa),体变(ml),小体变(ml)
0.00,0.00, 104.6 , 21.27 , 301 ,-6.042 , 37.3 , 300 , 240 , 219 , 6371 ,-8.4 
 .2 , .02 , 104.5 , 21.32 , 30 ,-6.06 , 36.6 , 300 , 241 , 219 , 6368 ,-8.3 
 .4 , .04 , 104.6 , 21.41 , 30 ,-6.049 , 37.5 , 299 , 241 , 219 , 6369 ,-8.4 
 .61 , .06 , 104.5 , 21.5 , 31 ,-6.038 , 37.3 , 299 , 241 , 219 , 6369 ,-8.3 
 .81 , .08 , 104.6 , 21.7 , 31 ,-6.04 , 36.7 , 300 , 241 , 219 , 6368 ,-8 
 1.01 , .1 , 104.6 , 22.33 , 32 ,-6.037 , 37.8 , 300 , 241 , 219 , 6369 ,-8 
 1.21 , .12 , 104.6 , 22.57 , 33 ,-6.018 , 36.6 , 300 , 241 , 219 , 6369 ,-8.4 
 1.41 , .14 , 104.6 , 22.98 , 33 ,-6.007 , 37.3 , 299 , 241 , 219 , 6368 ,-8.5 
 1.62 , .16 , 104.8 , 23.37 , 33 ,-5.955 , 37.5 , 300 , 241 , 219 , 6368 ,-8.5 
 1.82 , .18 , 104.7 , 23.57 , 34 ,-5.934 , 36.9 , 300 , 241 , 218 , 6370 ,-8.6 
 2.02 , .2 , 104.8 , 23.75 , 34 ,-5.895 , 37.8 , 300 , 240 , 219 , 6369 ,-8.3 
 2.22 , .22 , 104.8 , 23.9 , 35 ,-5.858 , 36.9 , 300 , 240 , 218 , 6369 ,-8.6 
 2.42 , .24 , 105 , 24.14 , 35 ,-5.734 , 37.8 , 300 , 240 , 218 , 6370 ,-8.5 
 2.63 , .26 , 105.1 , 24.42 , 35 ,-5.693 , 37.4 , 300 , 240 , 218 , 6368 ,-8 
 2.83 , .28 , 105 , 24.61 , 35 ,-5.685 , 36.8 , 300 , 240 , 218 , 6369 ,-8.4 
 3.03 , .3 , 105.2 , 24.73 , 35 ,-5.613 , 37.7 , 300 , 239 , 217 , 6368 ,-8.1 
 3.23 , .32 , 105.2 , 24.76 , 35 ,-5.581 , 36.5 , 300 , 240 , 217 , 6370 ,-8.4 
 3.43 , .34 , 105.2 , 24.87 , 35 ,-5.536 , 38 , 300 , 240 , 218 , 6368 ,-8.4 
 3.64 , .36 , 105.2 , 24.87 , 35 ,-5.486 , 37.1 , 300 , 239 , 218 , 6368 ,-8.3 
 3.84 , .38 , 105.4 , 24.87 , 35 ,-5.479 , 36.6 , 300 , 239 , 218 , 6369 ,-8.1 
 4.04 , .4 , 105.3 , 24.6 , 35 ,-5.451 , 37.6 , 300 , 240 , 217 , 6368 ,-8.1 
 4.24 , .42 , 105.4 , 24.68 , 34 ,-5.452 , 36.7 , 300 , 239 , 218 , 6369 ,-8.4 
 4.44 , .44 , 105.4 , 24.3 , 35 ,-5.409 , 37.5 , 300 , 239 , 217 , 6371 ,-8.1 
 4.65 , .46 , 105.3 , 24.23 , 34 ,-5.432 , 36.9 , 300 , 239 , 218 , 6368 ,-8.3 
 4.85 , .48 , 105.4 , 24.08 , 34 ,-5.438 , 36.8 , 300 , 239 , 218 , 6367 ,-8.5 
 5.05 , .5 , 105.4 , 24.01 , 34 ,-5.427 , 37.7 , 300 , 239 , 217 , 6368 ,-8.1 
 5.25 , .52 , 105.4 , 23.85 , 34 ,-5.423 , 36.4 , 300 , 239 , 217 , 6370 ,-8.4 
 5.45 , .54 , 105.4 , 23.66 , 34 ,-5.418 , 37.5 , 300 , 239 , 218 , 6370 ,-8 
 5.66 , .56 , 105.3 , 23.14 , 31 ,-5.429 , 37.1 , 299 , 240 , 218 , 6368 ,-7.9 
 5.86 , .58 , 105.4 , 21.8 , 30 ,-5.433 , 37 , 299 , 239 , 218 , 6368 ,-8.4 
 6.06 , .6 , 105.5 , 21.48 , 30 ,-5.439 , 37.6 , 300 , 239 , 217 , 6370 ,-8.4 
 6.26 , .62 , 105.4 , 20.98 , 29 ,-5.447 , 36.4 , 300 , 239 , 217 , 6368 ,-8.3 
 6.46 , .64 , 105.4 , 19.91 , 28 ,-5.479 , 37.7 , 299 , 239 , 217 , 6371 ,-8.1 
 6.67 , .66 , 105.4 , 19.67 , 27 ,-5.476 , 37 , 300 , 239 , 217 , 6370 ,-8.4 
 6.87 , .68 , 105.2 , 19.28 , 26 ,-5.502 , 37.3 , 300 , 239 , 217 , 6368 ,-8.6 
 7.07 , .7 , 105.2 , 18.91 , 26 ,-5.52 , 37.1 , 300 , 240 , 218 , 6369 ,-8 
 7.27 , .72 , 105.3 , 18.2 , 26 ,-5.538 , 36.7 , 299 , 239 , 217 , 6367 ,-8 
 7.47 , .74 , 105.2 , 17.89 , 25 ,-5.545 , 37.7 , 300 , 240 , 217 , 6368 ,-8.3 
 7.68 , .76 , 105.2 , 17.74 , 25 ,-5.559 , 36.5 , 300 , 239 , 217 , 6368 ,-8.4 
 7.88 , .78 , 105.3 , 17.35 , 25 ,-5.57 , 37.5 , 299 , 239 , 217 , 6369 ,-8.3 
 8.08 , .8 , 105.2 , 17.24 , 24 ,-5.57 , 36.9 , 299 , 239 , 217 , 6369 ,-8.1 
 8.28 , .82 , 105.2 , 17.2 , 24 ,-5.579 , 36.6 , 300 , 239 , 217 , 6369 ,-8.1 
 8.48 , .84 , 105.3 , 17.21 , 24 ,-5.578 , 37.5 , 299 , 239 , 218 , 6369 ,-8.1 
 8.69 , .86 , 105.1 , 17.1 , 24 ,-5.579 , 36.4 , 300 , 239 , 217 , 6367 ,-8 
 8.89 , .88 , 105.2 , 17.09 , 24 ,-5.584 , 37.7 , 299 , 239 , 217 , 6366 ,-8.3 
 9.09 , .9 , 105.3 , 17.17 , 24 ,-5.588 , 36.8 , 299 , 239 , 217 , 6368 ,-8.3 
 9.29 , .92 , 105.2 , 17.08 , 25 ,-5.577 , 36.6 , 299 , 239 , 217 , 6368 ,-8.5 
 9.49 , .94 , 105.1 , 17.26 , 24 ,-5.587 , 37.3 , 299 , 239 , 218 , 6367 ,-8.4 
 9.7 , .96 , 105.1 , 17.59 , 26 ,-5.588 , 36.4 , 299 , 239 , 218 , 6369 ,-8.3 
 9.9 , .99 , 105.2 , 18.67 , 26 ,-5.577 , 37.6 , 299 , 240 , 217 , 6370 ,-8.3 
 10.1 , 1.01 , 105.3 , 18.97 , 28 ,-5.572 , 36.6 , 299 , 239 , 217 , 6369 ,-8.4 
 10.3 , 1.03 , 105.2 , 19.51 , 29 ,-5.554 , 37 , 299 , 239 , 218 , 6370 ,-8 
 10.5 , 1.05 , 105.2 , 19.95 , 30 ,-5.549 , 37.4 , 299 , 240 , 218 , 6368 ,-8.1 
 10.71 , 1.07 , 105.3 , 21.12 , 30 ,-5.529 , 36.4 , 299 , 240 , 218 , 6368 ,-8.1 
 10.91 , 1.09 , 105.3 , 21.66 , 31 ,-5.503 , 37.7 , 299 , 240 , 218 , 6369 ,-8.6 
