时间(S)	轴位移(mm)	力(kN)	力(kPa)	变形(mm)	 侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(kPa)	小体变(ml)
0.0	 102.6 	 13.18 	 186 	-7.219 	 0 	 300 	 295 	 270 	 5830 	-8.5 
 .5 	 102.6 	 13.2 	 .19 	-7.211 	 30 	 300 	 295 	 270 	 5831 	-8.4 
 1 	 102.5 	 13.29 	 .19 	-7.207 	 30 	 300 	 295 	 270 	 5831 	-8.3 
 1.5 	 102.6 	 13.25 	 .19 	-7.212 	 30 	 300 	 295 	 270 	 5832 	-8.6 
 2 	 102.7 	 13.36 	 .19 	-7.212 	 29 	 300 	 295 	 270 	 5830 	-8.5 
 2.5 	 102.7 	 13.34 	 .19 	-7.207 	 30 	 300 	 295 	 270 	 5829 	-8.5 
 3 	 102.6 	 13.32 	 .19 	-7.207 	 30 	 300 	 295 	 270 	 5831 	-8.4 
 3.5 	 102.6 	 13.35 	 .19 	-7.211 	 30 	 300 	 295 	 270 	 5832 	-7.8 
 4 	 102.4 	 13.34 	 .19 	-7.213 	 29 	 300 	 295 	 270 	 5832 	-8.5 
 4.5 	 102.6 	 13.33 	 .2 	-7.208 	 29 	 300 	 295 	 270 	 5833 	-8.5 
 5 	 102.5 	 13.32 	 .19 	-7.209 	 29 	 300 	 294 	 270 	 5830 	-8.4 
 5.5 	 102.5 	 13.29 	 .19 	-7.213 	 30 	 300 	 295 	 270 	 5831 	-8.3 
 6 	 102.4 	 13.22 	 .19 	-7.218 	 30 	 301 	 295 	 270 	 5832 	-8.4 
 6.5 	 102.6 	 13.38 	 .19 	-7.217 	 30 	 300 	 295 	 271 	 5828 	-8.1 
 7 	 102.5 	 13.45 	 .19 	-7.216 	 30 	 300 	 295 	 270 	 5831 	-8.4 
 7.5 	 102.5 	 13.36 	 .2 	-7.211 	 29 	 300 	 295 	 270 	 5830 	-8.3 
 8 	 102.4 	 13.29 	 .19 	-7.216 	 30 	 300 	 295 	 270 	 5833 	-8.5 
 8.5 	 102.4 	 13.41 	 .19 	-7.218 	 30 	 300 	 295 	 270 	 5833 	-7.9 
 9 	 102.4 	 13.34 	 .18 	-7.214 	 30 	 300 	 295 	 270 	 5829 	-8.1 
 9.5 	 102.4 	 13.28 	 .19 	-7.22 	 30 	 300 	 295 	 270 	 5832 	-8.3 
 10 	 102.5 	 13.35 	 .19 	-7.213 	 29 	 300 	 295 	 270 	 5835 	-8.5 
 10.5 	 102.5 	 13.37 	 .19 	-7.214 	 29 	 300 	 294 	 270 	 5829 	-8.4 
 11 	 102.5 	 13.13 	 .18 	-7.222 	 30 	 301 	 294 	 271 	 5833 	-8.5 
 11.5 	 102.5 	 13.12 	 .18 	-7.212 	 30 	 300 	 294 	 270 	 5829 	-8.4 
 12 	 102.5 	 12.91 	 .19 	-7.207 	 30 	 300 	 295 	 269 	 5831 	-8.3 
 12.5 	 102.4 	 12.89 	 .18 	-7.211 	 29 	 300 	 295 	 269 	 5831 	-8.4 
 13 	 102.4 	 12.85 	 .17 	-7.215 	 29 	 300 	 295 	 270 	 5829 	-8.3 
