时间,振次,轴位移,力,变形,围压,孔压,反压,N,d1,pp
0.0,0.0,137.3,21.4,-6.126,300,227,206,0.0,0.0,0
0.2,0.02,137.3,21.4,-6.141,301,227,206,0.02,0.0,0
0.4,0.04,137.3,21.62,-6.142,300,227,205,0.04,0.0,0
0.61,0.06,137.3,21.8,-6.148,300,228,206,0.06,0.0,1
0.81,0.08,137.3,23.94,-6.1,301,227,206,0.08,0.0,0
1.01,0.1,137.4,25.31,-6.075,301,227,206,0.1,0.09999999999999432,0
1.21,0.12,137.5,26.54,-6.072,300,227,206,0.12,0.19999999999998863,0
1.41,0.14,137.5,28.89,-6.039,301,226,204,0.14,0.19999999999998863,-1
1.62,0.16,137.6,29.86,-5.968,301,225,203,0.16,0.29999999999998295,-2
1.82,0.18,137.6,30.3,-5.95,301,225,204,0.18,0.29999999999998295,-2
2.02,0.2,137.8,31.84,-5.894,301,223,202,0.2,0.5,-4
2.22,0.22,137.8,32.38,-5.847,301,222,200,0.22,0.5,-5
2.42,0.24,137.9,32.72,-5.807,302,221,200,0.24,0.5999999999999943,-6
2.63,0.26,137.9,33.02,-5.778,301,221,199,0.26,0.5999999999999943,-6
2.83,0.28,138.0,33.42,-5.707999999999999,301,218,197,0.28,0.6999999999999886,-9
3.03,0.3,138.2,33.66,-5.676,300,217,197,0.3,0.8999999999999773,-10
3.23,0.32,138.2,33.66,-5.644,301,218,196,0.32,0.8999999999999773,-9
3.43,0.34,138.2,33.61,-5.5920000000000005,300,217,196,0.34,0.8999999999999773,-10
3.64,0.36,138.3,33.49,-5.565,301,216,196,0.36,1.0,-11
3.84,0.38,138.3,33.17,-5.5760000000000005,300,217,196,0.38,1.0,-10
4.04,0.4,138.3,32.97,-5.561,301,217,196,0.4,1.0,-10
4.24,0.42,138.3,32.47,-5.547999999999999,299,217,196,0.42,1.0,-10
4.44,0.44,138.4,31.51,-5.562,299,217,195,0.44,1.0999999999999943,-10
4.65,0.46,138.3,30.29,-5.566,299,217,196,0.46,1.0,-10
4.85,0.48,138.3,28.21,-5.5920000000000005,300,216,197,0.48,1.0,-11
5.05,0.5,138.3,26.7,-5.604,298,218,195,0.5,1.0,-9
5.25,0.52,138.2,25.54,-5.651,298,217,196,0.52,0.8999999999999773,-10
5.45,0.54,138.1,22.73,-5.728,299,218,198,0.54,0.799999999999983,-9
5.66,0.56,138.0,21.47,-5.76,298,219,197,0.56,0.6999999999999886,-8
5.86,0.58,138.0,20.07,-5.7829999999999995,297,220,199,0.58,0.6999999999999886,-7
6.06,0.6,137.9,18.96,-5.8389999999999995,297,220,199,0.6,0.5999999999999943,-7
