时间(S)	轴位移(mm)	力(kN)	力(kPa)	变形(mm)	 侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(kPa)	小体变(ml)
0.0	 90.4 	 12.49 	 177 	-6.966 	 0 	 300 	 296 	 270 	 3411 	-8.1 
 .5 	 90.5 	 12.55 	 .18 	-6.968 	 145 	 300 	 296 	 271 	 3412 	-7.9 
 1 	 90.7 	 12.68 	 .18 	-6.98 	 146 	 300 	 296 	 271 	 3411 	-8.1 
 1.5 	 90.6 	 12.58 	 .18 	-6.966 	 146 	 300 	 296 	 271 	 3412 	-8.1 
 2 	 90.5 	 12.11 	 .17 	-6.979 	 146 	 300 	 296 	 271 	 3413 	-7.6 
 2.5 	 90.7 	 12.09 	 .17 	-6.969 	 145 	 300 	 296 	 271 	 3411 	-8.3 
 3 	 90.5 	 12.17 	 .17 	-6.972 	 146 	 300 	 296 	 271 	 3414 	-8 
 3.5 	 90.6 	 12.2 	 .18 	-6.976 	 146 	 300 	 296 	 271 	 3414 	-8.1 
 4 	 90.7 	 12.18 	 .17 	-6.96 	 146 	 300 	 296 	 271 	 3412 	-8.4 
 4.5 	 90.5 	 12.22 	 .18 	-6.971 	 146 	 299 	 296 	 271 	 3413 	-8 
 5 	 90.7 	 12.12 	 .17 	-6.959 	 146 	 300 	 296 	 271 	 3411 	-8.4 
 5.5 	 90.7 	 12.31 	 .18 	-6.958 	 146 	 300 	 296 	 271 	 3412 	-8 
 6 	 90.7 	 12.38 	 .18 	-6.966 	 146 	 300 	 295 	 271 	 3413 	-7.9 
 6.5 	 90.7 	 12 	 .18 	-6.954 	 146 	 300 	 296 	 271 	 3413 	-8 
 7 	 90.7 	 12.26 	 .17 	-6.949 	 145 	 300 	 296 	 271 	 3411 	-8.1 
 7.5 	 90.6 	 12.29 	 .18 	-6.955 	 146 	 300 	 296 	 271 	 3413 	-8.4 
 8 	 90.7 	 12.3 	 .17 	-6.959 	 146 	 300 	 296 	 270 	 3411 	-8.1 
 8.5 	 90.6 	 12.16 	 .17 	-6.975 	 145 	 300 	 296 	 271 	 3410 	-7.9 
 9 	 90.7 	 11.97 	 .17 	-6.961 	 146 	 301 	 296 	 271 	 3411 	-8.1 
 9.5 	 90.8 	 11.8 	 .17 	-6.95 	 146 	 300 	 296 	 271 	 3412 	-8 
 10 	 90.6 	 11.8 	 .17 	-6.978 	 146 	 300 	 296 	 271 	 3411 	-7.9 
 10.5 	 90.7 	 11.83 	 .17 	-6.965 	 145 	 300 	 296 	 271 	 3413 	-8 
 11 	 90.6 	 11.68 	 .17 	-6.954 	 145 	 300 	 296 	 270 	 3411 	-8.4 
 11.5 	 90.7 	 11.69 	 .16 	-6.968 	 146 	 299 	 296 	 270 	 3413 	-8.1 
 12 	 90.5 	 11.72 	 .17 	-6.959 	 146 	 300 	 296 	 270 	 3411 	-8.3 
