

时间(S),振次,轴位移(mm),力(kN),应力(kPa),变形(mm),侧位移(mm),围压(kPa),孔压(kPa),反压(kPa),体变(ml),小体变(ml)
0.00,0.00, 137.3 , 21.4 , 303 ,-6.126 , 193.2 , 300 , 227 , 206 , 5764 ,-8.4 
 .2 , .02 , 137.3 , 21.4 , 31 ,-6.141 , 193 , 301 , 227 , 206 , 5765 ,-7.6 
 .4 , .04 , 137.3 , 21.62 , 31 ,-6.142 , 193.3 , 300 , 227 , 205 , 5765 ,-7.6 
 .61 , .06 , 137.3 , 21.8 , 33 ,-6.148 , 193.4 , 300 , 228 , 206 , 5764 ,-8.1 
 .81 , .08 , 137.3 , 23.94 , 35 ,-6.1 , 193.4 , 301 , 227 , 206 , 5762 ,-8.4 
 1.01 , .1 , 137.4 , 25.31 , 38 ,-6.075 , 193.3 , 301 , 227 , 206 , 5767 ,-8.5 
 1.21 , .12 , 137.5 , 26.54 , 40 ,-6.072 , 193.2 , 300 , 227 , 206 , 5763 ,-8 
 1.41 , .14 , 137.5 , 28.89 , 41 ,-6.039 , 193 , 301 , 226 , 204 , 5765 ,-8.3 
 1.62 , .16 , 137.6 , 29.86 , 43 ,-5.968 , 193.1 , 301 , 225 , 203 , 5763 ,-8.6 
 1.82 , .18 , 137.6 , 30.3 , 44 ,-5.95 , 192.8 , 301 , 225 , 204 , 5764 ,-8 
 2.02 , .2 , 137.8 , 31.84 , 45 ,-5.894 , 193.5 , 301 , 223 , 202 , 5760 ,-8.5 
 2.22 , .22 , 137.8 , 32.38 , 47 ,-5.847 , 193.3 , 301 , 222 , 200 , 5763 ,-8.5 
 2.42 , .24 , 137.9 , 32.72 , 47 ,-5.807 , 193.2 , 302 , 221 , 200 , 5764 ,-8 
 2.63 , .26 , 137.9 , 33.02 , 48 ,-5.778 , 193.2 , 301 , 221 , 199 , 5766 ,-8 
 2.83 , .28 , 138 , 33.42 , 48 ,-5.708 , 193.2 , 301 , 218 , 197 , 5767 ,-8.8 
 3.03 , .3 , 138.2 , 33.66 , 48 ,-5.676 , 193.1 , 300 , 217 , 197 , 5763 ,-8.8 
 3.23 , .32 , 138.2 , 33.66 , 48 ,-5.644 , 193.3 , 301 , 218 , 196 , 5763 ,-8.5 
 3.43 , .34 , 138.2 , 33.61 , 47 ,-5.592 , 193.1 , 300 , 217 , 196 , 5767 ,-8.4 
 3.64 , .36 , 138.3 , 33.49 , 47 ,-5.565 , 193.1 , 301 , 216 , 196 , 5765 ,-8.4 
 3.84 , .38 , 138.3 , 33.17 , 47 ,-5.576 , 193.4 , 300 , 217 , 196 , 5765 ,-8.5 
 4.04 , .4 , 138.3 , 32.97 , 46 ,-5.561 , 193.2 , 301 , 217 , 196 , 5765 ,-8 
