时间(S)	振次	轴位移(mm)	力(kN)	应力(kPa)	变形(mm)	侧位移(mm)	围压(kPa)	孔压(kPa)	反压(kPa)	体变(ml)	小体变(ml)
0.00	0.00	 171.4 	 21.51 	 304 	-6.359 	 196.2 	 298 	 239 	 217 	 5767 	-8.3 
 .2 	 .02 	 171.5 	 21.51 	 31 	-6.354 	 196.2 	 299 	 239 	 217 	 5767 	-8.1 
 .4 	 .04 	 171.4 	 21.36 	 31 	-6.331 	 196.2 	 299 	 239 	 217 	 5768 	-8.3 
 .61 	 .06 	 171.4 	 21.62 	 31 	-6.345 	 196.1 	 299 	 240 	 217 	 5766 	-8 
 .81 	 .08 	 171.6 	 21.82 	 32 	-6.335 	 196.2 	 298 	 239 	 217 	 5768 	-7.8 
 1.01 	 .1 	 171.5 	 22.83 	 33 	-6.332 	 196 	 299 	 239 	 217 	 5768 	-8.4 
 1.21 	 .12 	 171.5 	 23.17 	 33 	-6.315 	 196.3 	 298 	 238 	 216 	 5767 	-7.8 
 1.41 	 .14 	 171.6 	 24 	 34 	-6.311 	 196.1 	 298 	 238 	 216 	 5765 	-7.9 
 1.62 	 .16 	 171.6 	 24.69 	 36 	-6.294 	 196.1 	 297 	 239 	 216 	 5768 	-8.5 
 1.82 	 .18 	 171.6 	 25.21 	 37 	-6.275 	 196.1 	 298 	 238 	 215 	 5767 	-7.9 
 2.02 	 .2 	 171.7 	 25.73 	 37 	-6.284 	 196.3 	 298 	 238 	 216 	 5765 	-8.1 
 2.22 	 .22 	 171.7 	 26.57 	 39 	-6.267 	 195.5 	 298 	 237 	 216 	 5765 	-8.1 
 2.42 	 .24 	 171.5 	 26.75 	 38 	-6.249 	 196 	 297 	 237 	 215 	 5768 	-8 
 2.63 	 .26 	 171.7 	 26.85 	 38 	-6.234 	 196.3 	 298 	 238 	 214 	 5766 	-7.9 
 2.83 	 .28 	 171.7 	 27.16 	 39 	-6.228 	 196.1 	 298 	 236 	 215 	 5765 	-8 
 3.03 	 .3 	 171.6 	 27.26 	 39 	-6.236 	 196 	 298 	 237 	 215 	 5766 	-8.4 
 3.23 	 .32 	 171.6 	 27.36 	 38 	-6.24 	 196.4 	 298 	 236 	 214 	 5765 	-8.4 
 3.43 	 .34 	 171.7 	 27.37 	 39 	-6.232 	 196.3 	 297 	 237 	 214 	 5767 	-8 
 3.64 	 .36 	 171.8 	 27.24 	 39 	-6.239 	 196.3 	 297 	 236 	 215 	 5766 	-8 
 3.84 	 .38 	 171.7 	 27.31 	 38 	-6.232 	 195.9 	 297 	 236 	 214 	 5769 	-7.9 
 4.04 	 .4 	 171.6 	 27.18 	 38 	-6.244 	 196.2 	 297 	 237 	 214 	 5764 	-7.8 
 4.24 	 .42 	 171.8 	 27.22 	 37 	-6.224 	 196.2 	 297 	 236 	 215 	 5769 	-7.8 
 4.44 	 .44 	 171.8 	 26.35 	 36 	-6.239 	 196 	 296 	 236 	 214 	 5768 	-7.9 
 4.65 	 .46 	 171.7 	 25.63 	 36 	-6.24 	 196.1 	 296 	 237 	 215 	 5767 	-8.3 
 4.85 	 .48 	 171.8 	 25.5 	 35 	-6.221 	 196.3 	 297 	 236 	 213 	 5765 	-8.4 
 5.05 	 .5 	 171.7 	 24.37 	 34 	-6.255 	 196.4 	 296 	 236 	 215 	 5766 	-8.1 
 5.25 	 .52 	 171.7 	 23.75 	 33 	-6.258 	 196.6 	 297 	 237 	 215 	 5766 	-8 
 5.45 	 .54 	 171.6 	 22.98 	 32 	-6.264 	 196.2 	 296 	 237 	 215 	 5768 	-8.1 
 5.66 	 .56 	 171.7 	 22.01 	 30 	-6.291 	 196.2 	 295 	 237 	 216 	 5768 	-8 
 5.86 	 .58 	 171.5 	 21.28 	 30 	-6.303 	 196.1 	 296 	 237 	 215 	 5766 	-8 
 6.06 	 .6 	 171.5 	 20.59 	 29 	-6.317 	 196.1 	 297 	 238 	 216 	 5765 	-8.4 
 6.26 	 .62 	 171.5 	 20 	 28 	-6.32 	 196.2 	 295 	 238 	 216 	 5769 	-8 
 6.46 	 .64 	 171.5 	 18.98 	 26 	-6.335 	 196 	 295 	 239 	 217 	 5766 	-8.5 
 6.67 	 .66 	 171.5 	 18.42 	 25 	-6.343 	 196.3 	 295 	 239 	 216 	 5769 	-7.8 
 6.87 	 .68 	 171.5 	 18.11 	 24 	-6.378 	 195.9 	 295 	 240 	 217 	 5767 	-7.8 
 7.07 	 .7 	 171.4 	 17.43 	 25 	-6.379 	 196.1 	 295 	 240 	 218 	 5762 	-7.9 
 7.27 	 .72 	 171.3 	 17.07 	 24 	-6.398 	 196.4 	 295 	 241 	 218 	 5767 	-8.3 
 7.47 	 .74 	 171.3 	 16.81 	 23 	-6.406 	 196.2 	 295 	 241 	 219 	 5765 	-7.6 
 7.68 	 .76 	 171.4 	 16.54 	 23 	-6.404 	 196.7 	 294 	 242 	 219 	 5769 	-7.5 
 7.88 	 .78 	 171.2 	 16.24 	 23 	-6.442 	 196.2 	 295 	 242 	 221 	 5772 	-8.3 
 8.08 	 .8 	 171.2 	 16.3 	 23 	-6.449 	 196 	 295 	 242 	 220 	 5765 	-8.4 
 8.28 	 .82 	 171.1 	 16.17 	 22 	-6.461 	 195.9 	 294 	 243 	 221 	 5765 	-8.1 
 8.48 	 .84 	 171.2 	 15.95 	 23 	-6.455 	 196.1 	 295 	 243 	 220 	 5766 	-8.1 
 8.69 	 .86 	 171.2 	 16.09 	 23 	-6.49 	 196.3 	 294 	 243 	 221 	 5767 	-7.9 
 8.89 	 .88 	 171.2 	 16.26 	 22 	-6.461 	 196.2 	 295 	 244 	 221 	 5765 	-7.8 
 9.09 	 .9 	 171.2 	 16.22 	 23 	-6.465 	 196.1 	 296 	 243 	 221 	 5770 	-8.5 
 9.29 	 .92 	 171.2 	 16.4 	 23 	-6.461 	 196.2 	 295 	 244 	 221 	 5768 	-8.1 
 9.49 	 .94 	 171.1 	 16.42 	 24 	-6.461 	 196.6 	 295 	 243 	 221 	 5765 	-7.6 
 9.7 	 .96 	 171.3 	 17.08 	 25 	-6.472 	 196.2 	 296 	 244 	 221 	 5766 	-7.6 
 9.9 	 .99 	 171.2 	 17.79 	 26 	-6.445 	 196.1 	 296 	 244 	 221 	 5768 	-7.8 
 10.1 	 1.01 	 171.3 	 18.16 	 27 	-6.445 	 196.1 	 295 	 244 	 221 	 5766 	-8.6 
 10.3 	 1.03 	 171.3 	 19.08 	 28 	-6.427 	 196 	 296 	 244 	 221 	 5766 	-8 
 10.5 	 1.05 	 171.3 	 20.16 	 29 	-6.399 	 195.8 	 296 	 244 	 220 	 5765 	-7.3 
 10.71 	 1.07 	 171.3 	 20.76 	 31 	-6.39 	 196.2 	 296 	 243 	 220 	 5766 	-7.5 
 10.91 	 1.09 	 171.4 	 21.43 	 32 	-6.389 	 195.9 	 296 	 242 	 220 	 5767 	-7.8 
 11.11 	 1.11 	 171.5 	 22.16 	 33 	-6.357 	 196.2 	 297 	 242 	 220 	 5769 	-7.9 
 11.31 	 1.13 	 171.5 	 23.41 	 34 	-6.328 	 196.3 	 297 	 241 	 219 	 5765 	-7.9 
 11.51 	 1.15 	 171.5 	 24.15 	 35 	-6.32 	 196.1 	 297 	 240 	 218 	 5767 	-7.6 
 11.72 	 1.17 	 171.5 	 24.47 	 36 	-6.29 	 196.2 	 297 	 239 	 218 	 5765 	-7.9 
 11.92 	 1.19 	 171.6 	 25.77 	 37 	-6.269 	 196.2 	 298 	 239 	 217 	 5768 	-7.6 
 12.12 	 1.21 	 171.6 	 25.97 	 38 	-6.241 	 196.2 	 298 	 238 	 216 	 5767 	-8.1 
