

时间(S),振次,轴位移(mm),力(kN),应力(kPa),变形(mm),侧位移(mm),围压(kPa),孔压(kPa),反压(kPa),体变(ml),小体变(ml)
0.00,0.00, 104.6 , 21.12 , 299 ,-6.133 , 190.6 , 300 , 225 , 203 , 5713 ,-8.6 
 .2 , .02 , 104.5 , 21.12 , 30 ,-6.133 , 191 , 301 , 224 , 203 , 5707 ,-7.6 
 .4 , .04 , 104.6 , 21.23 , 30 ,-6.139 , 191 , 300 , 225 , 203 , 5707 ,-8.5 
 .61 , .06 , 104.7 , 21.29 , 31 ,-6.15 , 190.6 , 299 , 224 , 203 , 5710 ,-8.6 
 .81 , .08 , 104.6 , 22.24 , 31 ,-6.135 , 190.6 , 299 , 225 , 203 , 5707 ,-8.3 
 1.01 , .1 , 104.7 , 22.94 , 33 ,-6.108 , 190.1 , 299 , 225 , 204 , 5709 ,-8.8 
 1.21 , .12 , 104.7 , 23.49 , 34 ,-6.077 , 191.2 , 299 , 224 , 204 , 5710 ,-8.1 
 1.41 , .14 , 104.7 , 24.07 , 33 ,-6.017 , 190.6 , 299 , 224 , 203 , 5709 ,-8.1 
 1.62 , .16 , 104.8 , 24.11 , 35 ,-5.963 , 190.6 , 299 , 224 , 203 , 5711 ,-8.5 
 1.82 , .18 , 105.1 , 24.33 , 35 ,-5.886 , 190.7 , 299 , 224 , 202 , 5710 ,-8.6 
 2.02 , .2 , 105.3 , 24.72 , 34 ,-5.716 , 191 , 299 , 224 , 202 , 5707 ,-8.3 
 2.22 , .22 , 105.5 , 24.71 , 36 ,-5.615 , 190.6 , 299 , 224 , 202 , 5711 ,-8.8 
 2.42 , .24 , 105.7 , 25.04 , 35 ,-5.466 , 190.6 , 298 , 223 , 202 , 5710 ,-8.3 
 2.63 , .26 , 105.8 , 25.33 , 36 ,-5.331 , 190.7 , 299 , 224 , 202 , 5710 ,-8.4 
 2.83 , .28 , 106.4 , 25.67 , 37 ,-5.012 , 190.8 , 298 , 223 , 202 , 5708 ,-8.1 
 3.03 , .3 , 106.6 , 25.74 , 37 ,-4.85 , 190.7 , 298 , 223 , 201 , 5709 ,-8 
 3.23 , .32 , 106.8 , 26.01 , 37 ,-4.67 , 190.2 , 298 , 224 , 202 , 5710 ,-8.3 
 3.43 , .34 , 107 , 26.13 , 37 ,-4.353 , 191.1 , 298 , 223 , 201 , 5710 ,-8.3 
 3.64 , .36 , 107.1 , 26.21 , 37 ,-4.202 , 190.6 , 298 , 223 , 201 , 5710 ,-8.1 
 3.84 , .38 , 107.3 , 26.35 , 37 ,-4.082 , 190.6 , 298 , 224 , 201 , 5707 ,-8.4 
 4.04 , .4 , 107.5 , 26.09 , 37 ,-3.975 , 190.5 , 298 , 222 , 201 , 5710 ,-8 
 4.24 , .42 , 107.6 , 26.15 , 37 ,-3.838 , 190.6 , 298 , 223 , 201 , 5712 ,-8.3 
 4.44 , .44 , 107.6 , 25.85 , 37 ,-3.776 , 190.7 , 298 , 222 , 201 , 5708 ,-8.4 
 4.65 , .46 , 107.6 , 25.78 , 36 ,-3.747 , 190.6 , 297 , 222 , 202 , 5708 ,-8.3 
 4.85 , .48 , 107.8 , 25.21 , 35 ,-3.736 , 190.5 , 298 , 223 , 202 , 5708 ,-8.5 
 5.05 , .5 , 107.7 , 25.06 , 35 ,-3.717 , 190.8 , 298 , 223 , 201 , 5708 ,-8.5 
 5.25 , .52 , 107.8 , 24.69 , 33 ,-3.729 , 190.4 , 298 , 224 , 202 , 5707 ,-7.9 
 5.45 , .54 , 107.7 , 23.08 , 32 ,-3.733 , 190.8 , 297 , 224 , 202 , 5710 ,-8.1 
